Samsung P2,Samsung,2007-09,,DAP," 0008 4/8",Flash,,100 × 52,9.9,83,5.10
Sansa Fuze,SanDisk,2008-03-17,,DAP," 0008 2/4/8",Flash,microSDHC,78.7 × 48.3,7.6,59.5,01.02.28  ; 02.03.33
Sansa Fuze+,SanDisk,2010-09-01,,PMP," 0008 4/8/16",Flash,microSD microSDHC,96.5 × 50.7,11.1,170,02.38.06
Sansa View,SanDisk,2007-10-26,,PMP," 0032 8/16/32",Flash,microSDHC,4.29×1.95inmmabbr=ondisp=output number only,0.41inmmdisp=output number only,2.9ozgdisp=output number only,01.03.02a
Walkman NWZ-A820 series,Sony,2008-03-28,,DAP," 0008 4/8/16",Flash,,3.5×1.7inmmabbr=ondisp=output number only,0.4inmmdisp=output number only,1.9ozgdisp=output number only,1.02
Walkman NWZ-E580 series,Sony,2013-07-10,,DAP," 0008 8/16",,,42.1 x 92.1,8,49,
ZEN,Creative,2007-09-14,Micro,PMP," 0032 2/4/8/16/32",Flash,SDHC
ZEN X-Fi,Creative,2008-07-10,Micro,PMP," 0032 8/16/32",Flash,SD,3.27×2.17inmmabbr=ondisp=output number only,0.5inmmdisp=output number only,2.43ozgdisp=output number only,1.03.01
ZEN Vision W,Creative,2006-08-30,Mid,PMP," 0060 30/60",HDD,CF,5.27×2.95inmmabbr=ondisp=output number only,0.86inmmdisp=output number only,9.73ozgdisp=output number only,1.10.01
Zune 30,Microsoft,2006-11-14,Mid,PMP," 0030 30",HDD,,4.4×2.4inmmabbr=ondisp=output number only,0.58inmmdisp=output number only,5.6ozgdisp=output number only," 3.3"
"! Zune 4/8",Microsoft,2007-11-13,Micro,PMP," 0008 4/8",Flash,,3.6×1.63inmmabbr=ondisp=output number only,0.33inmmdisp=output number only,1.66ozgdisp=output number only," 3.3"
"! Zune 16",Microsoft,2008-09-16,Micro,PMP," 0016 16",Flash,,3.6×1.63inmmabbr=ondisp=output number only,0.33inmmdisp=output number only,1.66ozgdisp=output number only," 3.3"
"! Zune 80",Microsoft,2007-11-13
"! Zune 120",Microsoft,2008-09-16,Mid,PMP," 0120 120",HDD,,4.26×2.41inmmabbr=ondisp=output number only,0.51inmmdisp=output number only,4.52ozgdisp=output number only," 3.3"
Zune HD,Microsoft,2009-09-15,Mini,PMP," 0064 16/32/64",Flash,,4.08×2.07inmmabbr=ondisp=output number only,0.35inmmdisp=output number only,2.6ozgdisp=output number only,4.5
Zvue 260,Zvue,2007-07-17,,DAP," 0000 None",HDD,SDHC
Name,Manufacturer,Release,Size,Type," Capacity (GB)",Storage,External,Dimensions (mm × mm),"   Depth (mm)","   Weight (g)",Firmware
