[ Model
, Type of device
, Brand
, Release year
, Operating System
, OS version
, Kernel
, UI and version
, Comment
],
 | Smartphone, | Nokia, | , | Symbian OS, | 9.1, | , | S60 3rd Edition version 3, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 9.1, | , | S60 3rd Edition version 3, | ,
 | Smartphone, | Nokia, | 2006, | Symbian OS, | 9.1, | , | S60 3rd Edition version 3, | ,
 | Smartphone, | Nokia, | 2007, | Symbian OS, | 9.1, | , | S60 3rd Edition version 3, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 9.1, | , | S60 3rd Edition version 3, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Nokia, | 2007, | Symbian OS, | 9.1, | , | S60 3rd Edition version 3, | ,
 | Smartphone, | Nokia, | 2008, | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Nokia, | 2010, | Symbian^3, | 9.5, | EKA2, | Symbian^3 version 5.2, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 9.1, | , | S60 3rd Edition version 3, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, |, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, | 2009, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, | , | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Nokia, | 2005, | Symbian OS, | 8.1a, | , | S60 2nd Edition Feature Pack 3 version 2.8, | ,
 | Smartphone, | Nokia, | 2006, | Symbian OS, | 9.1, | , | S60 3rd Edition version 3, | ,
 | Smartphone, | Nokia, | 2006, | Symbian OS, | 8.1a, | , | S60 2nd Edition Feature Pack 3 version 2.8, | ,
 | Smartphone, | Nokia, | 2006, | Symbian OS, | 9.1, | , | S60 3rd Edition version 3, | ,
 | Smartphone, | Nokia, | 2007, | Symbian OS, | 9.1, | , | S60 3rd Edition version 3, | ,
 | Smartphone, | Nokia, | 2007, | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Nokia, | 2007, | Symbian OS, | 9.1, | , | S60 3rd Edition version 3, | ,
 | Smartphone, | Nokia, | 2008, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, | 2008, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, | 2010, | Symbian^3, | 9.5, | EKA2, | Symbian^3 version 5.2, | ,
 | Smartphone, | Nokia, | 2006, | Symbian OS, | 9.1, | , | S60 3rd Edition version 3, | ,
 | Smartphone, | Nokia, | 2007, | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Nokia, | 2007, | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Nokia, | 2007, | Symbian OS, | 9.2, | , | S60 3rd Edition Feature Pack 1 version 3.1, | ,
 | Smartphone, | Nokia, | 2008, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
 | Smartphone, | Nokia, | 2009, | Symbian OS, | 9.3, | , | S60 3rd Edition Feature Pack 2 version 3.2, | ,
