Name,Developer(s),Operating system(s),License,Price,WWW,Notes
The Panorama Factory v5," Smoky City Design, LLC",Windows 98 or later; Mac OS X 10.3.9 or later,Proprietary,$80,[http://www.panoramafactory.com/ panoramafactory.com],
PixMaker Lite / Home / Business,dunno,Windows 95 or later,Proprietary,data-sort-value="$0" Lite: Free / Home: $20 / Business: $349,[https://web.archive.org/web/20090317092123/http://web.singnet.com.sg/pixaround/index.html Singnet.com],
PTAssembler,Max Lyons,Windows only,Proprietary,data-sort-value="$49" $49 / $299,[http://www.tawbaware.com/ptasmblr.htm Tawbaware.com],Based on Panorama Tools
PTgui / PTgui Pro,New House Internet Services BV,Windows; Mac OS X,Proprietary,€79 (personal) / €180 (company); Pro: €149 (personal / €349 (company) (+taxes),[http://ptgui.com/ ptgui.com],Based on Panorama Tools.
Autopano Pro / Giga / Server,Kolor,Windows 2000 or later; Mac OS X 10.5 or later with Intel processor; Linux 2.6 or later,Proprietary,data-sort-value="€99" Ceased trading September 2018,[http://www.kolor.com www.kolor.com],Free trial version (watermarked)
Autostitch,Matthew Brown  ; David Lowe,Windows; Mac OS X; Android 4.0.3 and up,Proprietary,data-sort-value="$0" Time limited demo only,[http://matthewalunbrown.com/autostitch/autostitch.html Autostitch home page],
Calico Panorama,Kekus,Mac only,Proprietary,$39,[http://www.kekus.com/ kekus.com],Based on Autostitch.
Hugin,Pablo dAngelo et al.," Windows, Mac, Linux, FreeBSD",GPL,data-sort-value="$0" Free,[http://hugin.sf.net/ hugin.sf.net],Based on Panorama Tools.
Stitcher 4,3DVista,Windows  ; Mac,Proprietary,€99,[https://web.archive.org/web/20080805001922/http://www.3dvista.com/],
D Joiner," D Vision Works, Ltd.",Windows 95 or later,Proprietary,£300,[http://www.d-vw.com/D_Joiner/ d-vw.com],
Panorama Maker 6," Arcsoft, Inc.",Windows XP/Vista/7; Mac OS X,Proprietary,$79.99,[http://www.arcsoft.com/panorama-maker/ arcsoft.com]," Video input, 3D output"
Photovista Panorama," iseemedia, inc.",Windows 98 SE or later; Mac OS 9.1 or later,Proprietary,$250,[https://web.archive.org/web/20080724174158/http://www.iseephotovista.com/products/panorama/product_info.html iseephotovista.com],
PanoramaStudio / Pro,Tobias Hüllmandel Software,Windows 2000 or later,Proprietary,€35/€70,[http://www.tshsoft.de/ tshsoft.de],RAW file support. Multirow stitching only with Pro version.
Stitcher Unlimited 2009,Autodesk,Windows Vista SP2 or later; Mac OS X 10.4.10 or later,Proprietary,$400,[https://web.archive.org/web/20090910072111/http://usa.autodesk.com/adsk/servlet/index?siteID=123112 ;id=11390049 autodesk.com]," Export to Flash, VRML, QTVR."
ADG Panorama Tools / Pro,Albatross Design Group,Windows 95 or later,Proprietary,$40 / $99,[http://www.albatrossdesign.com/products/panorama/ albatrossdesign.com],Pro version has ability to create hot spots for virtual tours.
Panorama Composer 3,FirmTools,Windows 95 or later,Proprietary,$30,[http://panorama.firmtools.com/ Panorama.FirmTools.com]," Includes Flash, Java based viewers for web."
Image Composite Editor,Microsoft,Windows Vista SP2 or later,Proprietary,data-sort-value="$0" Free for non-commercial use,[http://research.microsoft.com/en-us/um/redmond/groups/ivm/ICE/ research.microsoft.com],Video input (Windows 7+)
Panorama Perfect,Michal Pohanka,Windows 2000 or later,Proprietary,$29,[http://www.volny.cz/panopohanka/ volny.cz],
Photoshop CS5,Adobe Systems,Windows; Mac OS X,Proprietary,$699,[http://www.adobe.com/products/photoshop/family/ adobe.com],
Photoshop CS6,Adobe Systems,Windows; Mac OS X,Proprietary,$699,[http://www.adobe.com/products/photoshop/family/ adobe.com],Can do auto stitching
AIPR Lite 1," Mayachitra, Inc.",Windows*; Mac OS X 10.6+*,Proprietary,$29.95,[http://www.mayachitra.com/aiprlite AIPR Lite],(*) both 32 and 64 bit versions available.
Gigapan Stitch 1.0,Gigapan Systems,Windows; Mac OS X 10.4 or later,Proprietary,$79,[http://www.gigapan.com/cms/support/download-gigapan-stitch Gigapan Stitch 1.0]," Assumes images form approximate grid.  Works well on large numbers of images ( hundreds, thousands ) "
PanoramaMaker,STOIK Imaging,Windows; Mac OS X,Proprietary,€39,[http://www.stoik.com/products/photo/STOIK-PanoramaMaker/ STOIK.com],Requires all images to be the same size
Montage Image Mosaic," Caltech/IPAC, ISI",Unix,3-Clause BSD,data-sort-value="$0" Free,[http://montage.ipac.caltech.edu official Web site],Produces science-grade mosaics for astronomical research
[http://www.boltnev.com/panoramastitcher/ Panorama Stitcher]," Alexander Boltnev, Olga Kacher",Mac OS X,Proprietary,$15,[http://www.panoramastitcher.com Panorama Stitcher]," Automatic stitching, exposure leveling. Interactive projection editor."
PhotoStitcher,Maxim Gapchenko,Windows; Mac OS X,Proprietary,$19.99,[http://www.photostitcher.com www.photostitcher.com],Stitch panoramic images in one click without any preferences
SharpStitch,Libor Tinka,Windows,Proprietary,data-sort-value="$995" Full: $995.00; Source code: $4995.00,[https://web.archive.org/web/20131020194651/http://www.imagingshop.com/sharpstitch www.imagingshop.com],Image alignment and stitching library for .NET
StitchUp,Michel Mürner,Mac OS X,Proprietary,$6.99,[http://www.stitchup.ch www.stitchup.ch],
Pano2VR / Pano2VR pro,Garden Gnome Software,Windows; Mac OS X; Linux,Proprietary,data-sort-value="€99" regular: €99; pro: €299 (+taxes),[http://ggnome.com/pano2vr ggnome.com/pano2vr],Free trial version (watermarked)
Lapentor,Starfruit JSC,Windows; Mac OS X; Linux,Proprietary,$15,http://lapentor.com/,Create beautiful  ; professional Virtual Tour
Name,Developer(s),Operating system(s),License,Price,WWW,Notes
