}," 10.510.5 (6-cell, 5600mAh, 63Wh)",92%,1.3 MP," Touchpad 2-buttons below, multitouch",None,XP Home,
Asus,Eee PC 1001PX-EU0X,",",10.1," 6144001024×600WSVGA, matte",117,Atom N450,?,,Intel UMA,VGA,HDD,160 (XP) / 250 (Win 7) + 10 Eee Storage," 1, 2 (one slot, field upgradable"," 4.54.5 (3 cell, 23Wh)"," 99 (6-cell, 48Wh)",95%,0.3 MP," Touchpad 2-buttons below, multitouch",None,XP Home or 7 Starter,
Asus,Eee PC 1015CX,",",10.1,1024x600 WSVGA,117,Intel Atom N2600,1.6,,Intel NM10 (Chipset),"VGA, HDMI",HDD,320 / 500,1 - 2 (DDR3),"5 (3-cell, 23Wh)","11 (6-cell, 47Wh)",?,0.3 MP,Touchpad 2-buttons below,-,7 Starter,[https://www.asus.com/Notebooks/Eee_PC_1015CX/HelpDesk_Manual/ Eee PC 1015CX Manual]
Asus,Eee PC 1016P,",",10.1,1024x600 WSVGA,117,Intel Atom N455,1.66,,Intel NM10 (Chipset),VGA,HDD,160 / 250 / 320,1 - 2 (DDR3),"4.5 (3-cell, 23Wh)","13 (6-cell, 63Wh)",?,0.3 MP,Touchpad 2-buttons below,-,7 Pro  7 Home Premium,[https://www.asus.com/Notebooks/Eee_PC_1016P/HelpDesk_Manual/ Eee PC 1016P Manual]
Asus,Eee PC T91,",",8.9,6144001024×600  WSVGA touchscreen,133,Atom Z520,1.33,,GMA 500,VGA,SSD + SDHC,16 + 20 Eee Storage,1," (Internal LiPo,? cell, 3850 mAh)",4.04.0,92%,0.3 MP,Touchpad 2-buttons below,dunno,XP Home,
Asus,Eee PC T91MT,",",8.9,6144001024×600  WSVGA touchscreen,133,Atom Z520,1.33,,GMA 500,VGA,SSD + SDHC,32 + 500 Eee Storage,1," (Internal LiPo,? cell, 3850 mAh)",5.05.0,92%,0.3 MP,Touchpad 2-buttons below,dunno,7 Home,
Asus,Eee PC T101MT,",",10.1,6144001024×600  WSVGA touchscreen,117,Intel Atom N450 / N570,1.66,,GMA 3150,VGA," HDD + SDXC",160/320 + 500 Eee Storage," 1, 2"," LiPo,4 cell,?, 4900 mAh 35 Wh)",6.56.5,dunno,0.3 MP,Touchpad 2-buttons below,dunno,7 S/HB/HP,
Asus,Eee PC 1225B,",",11.6,1366x768 WXGA,135,AMD APU E450 / C60,1.65 / 1.0,,6290,"VGA, HDMI",HDD,320 / 500 / 750 + 3 (Web Storage),1 - 4 (DDR3),"7 (6-cell, 56Wh)","7 (6-cell, 56Wh)",?,0.3 MP,Touchpad 2-buttons below,-,7 Home Premium,[https://www.asus.com/Notebooks/Eee_PC_1225B/HelpDesk_Manual/ Eee PC 1225B Manual]
Asus,Eee PC 1225C,",",11.6,1366x768 WXGA,135,Intel Atom N2600 / N2800,1.6 / 1.86,,?,"VGA, HDMI",HDD,320 / 500,1 - 2 (DDR3),"5 (3-cell, 2.6Ah)","7.5 (6-cell, 2.2Ah)",?,0.3 MP,Touchpad 2-buttons below,Ubuntu,-,[https://www.asus.com/Notebooks/Eee_PC_1225C/HelpDesk_Manual/ Eee PC 1225C Manual]
Asus,Eee PC 1215P,",",12.1,1366x768 WXGA,129,Intel Atom N550,1.5,,?,VGA,HDD,250 / 320,1 - 2 (DDR),8 (6-cell),8 (6-cell),?,0.3 MP,Touchpad 2-buttons below,-,7 Home Premium / 7 Starter,[https://www.asus.com/Notebooks/Eee_PC_1215P/HelpDesk_Manual/ Eee PC 1215P Manual]
Asus,Eee PC 1215B,",",12.1,1366x768 WXGA,129,AMD APU E450 / E350 / C30 / C50 / C60,1.65 / 1.6 / 1.2 / 1.0,,6310 / 6250 / 6290,"VGA, HDMI",HDD,250 / 320 / 500 + 3 (Web Storage),1 - 4 (DDR3),"8 (6-cell, 56Wh)","8 (6-cell, 56Wh)",?,0.3 MP,Touchpad 2-buttons below,?,7 Home Premium,[https://www.asus.com/Notebooks/Eee_PC_1215B/HelpDesk_Manual/ Eee PC 1215B Manual]
Asus,Eee PC 1215N,",",12.1,1366x768 WXGA,129,Intel Atom D525,1.8,,?,"VGA, HDMI",HDD,250 / 320 + Web Storage,1 - 4 (DDR),6 (6-cell),6 (6-cell),?,0.3 MP,Touchpad 2-buttons below,-,7 Home Premium,[https://www.asus.com/Notebooks/Eee_PC_1215N/HelpDesk_Manual/ Eee PC 1215N Manual]
Asus,Eee PC 1215T,",",12.1,1490x900 WXGA+,147,AMD Athlon II Neo K125,1.7,,AMD HD 4250,"VGA, HDMI",HDD,250 / 320,1 - 2 (DDR3),? (6-cell),? (6-cell),?,0.3 MP,Touchpad 2-buttons below,-,7 Home Premium,[https://www.asus.com/Notebooks/Eee_PC_1215T/HelpDesk_Manual/ Eee PC 1215T Manual]
AVERATEC
Averatec,Buddy,",",10.2,?dunno,?dunno,Atom,1.6,,dunno,VGA,HDD,160,1,dunno,dunno,dunno,dunno,,,,dunno,XP,
Axioo,Pico,",",10,6144001024×600  WSVGA,118,Atom N270,1.6,,dunno,dunno,HDD,120,1 group=Notepico," dunno (3 cells, 2200 mAh)"," dunno (6 cells, 5200 mAh)",dunno,dunno,,dunno,XP,
BELCO,450R,",",7,384000800x480,133," DM ;P PDX-600 (Vortex86dx, i486DX compatible)",1,,XGI Z9s (no 3D acceleration),dunno,SSD,4/8,0.5,dunno 2000 mAh,dunno,dunno,dunno,,dunno,dunno,
BENQ
BenQ,Joybook Lite U101,",",10.1,6144001024×576 WSVGA 16:9 LED glossy,117,Atom N270,1.66,,GMA 950,VGA,SSD+HDD," 4 (SSD) 80, 120, 160 (HDD)"," 1.5, 2.5 (512MB built in)",dunno,44,90%,dunno,,,Linux Lite,XP Home,
Datacask,Jupiter 1014a,",",10.2,6144001024x600,116,Atom,1.6,,GMA 945,VGA,HDD," 80, 160"," 0.5, 1, 2",4 (4000 mAh),dunno,83%,1.3 MP,Touchpad 2-buttons below,Knoppix Variant,XP,
DELL
Manufacturer,",Weight  ;#91;kg ;#93;,Weight  ;#91;lb ;#93;," Display size "",Display resolution,Display DPIgroup=Notedispdpi,CPU,Speed  ;#91;GHz ;#93;,HSDPA,Video chipset,Video connection(s),Storage type,Storage  ;#91;GB ;#93;,RAM  ;#91;GB ;#93;,Battery life  ;#91;h ;#93; (low end),Battery life  ;#91;h ;#93; (high end),Keyboard size in %group=Notekbdpct,Camera,Mouse layout,Unix OS choice(s),Windows OS choice(s),Manual / DataSheet
Dell,Mini 9,",",8.9,6144001024×600  WSVGA glossy,133,Atom,1.6,,GMA 950,VGA,SSD + SDHC," 4, 8, 16, 32, 64"," 0.5, 1, 2 (one slot, field upgradable)",3.53.5 (4-cell),3.53.5 (4-cell),83%,dunno,Touchpad 2-buttons below,Dell Ubuntu NBR,XP,
Dell,Mini 10,",",10,5898241366x768 1024x576,156 117,Atom,1.3 / 1.6,,GMA 500,HDMI (VGA on 10v),HDD,120 / 160,1,,,92%,dunno,,Dell Ubuntu NBR,XP,
Dell,Mini 12,",",12.1,9600001200x800,119,Atom,1.3 / 1.6,,GMA 500,VGA,HDD,60 / 80,1,33 (3-cell),6.56.5 (6-cell),91.9%,dunno,Touchpad 2-buttons below,Ubuntu NBR,Vista Home Basic,
Dell,Latitude 2100,",",10.1,9600001024x576,116,Atom,1.6,,GMA 950,VGA,SSD or HDD,16(ssd) / 80 / 180 /250," .5 1 1.5 2 (one slot, field upgradable)",2.242.24 (3-cell),4.474.47 (6-cell),89%,dunno,,Ubuntu,XP,
Dell,Latitude 2120,",",10.1,9600001024x600 Wide SVGA matte,116,Intel Atom N550,1.5,,GMA 3150 8MB,VGA,SSD or HDD,16(ssd) / 80 / 180 /250," .5 1 1.5 2 (one slot, field upgradable)",2.242.24 (3-cell),4.474.47 (6-cell),89%,1.3 MP,Touchpad 2-buttons below,Ubuntu,XP,[https://downloads.dell.com/manuals/all-products/esuprt_laptop/esuprt_latitude_laptop/latitude-2120_service%20manual_en-us.pdf/ 2120 Service Manual] [http://downloads.dell.com/manuals/all-products/esuprt_laptop/esuprt_latitude_laptop/latitude-2120_setup%20guide_en-us.pdf/ BIOS Setup Features]
E-LEAD
E-Lead,Noahpad,",",7,384000 800×480  WVGA,133,?C7-M,1,,dunno,dunno,HDD,30,0.5,dunno,dunno,dunno,dunno,,Ubuntu,dunno,
ELONEX
Elonex,ONE,",",7.0,384000800×480 WVGA,133,LNX Code 8,0.3,,dunno,None,SSD,1,0.125,dunno,dunno,dunno,dunno,,Linos,dunno,
EMACHINES
Emachines,E350,",",10.1,9600001024x600,116,Atom N450,1.66,,GMA 3150,VGA,HDD,160,1,33 (3-cell),6.56.5 (6-cell),92%,1.3 MP,Touchpad 2-buttons below,N/A,XP,
EMTEC
EMTEC,Gdium,",",10,6144001024x600 WVGA,118,MIPS Loongson 2F,0.9,,dunno,VGA,G-Key removable USB Flash,16,0.5,,dunno,dunno,dunno,dunno,Mandriva G-Linux,None (not x86 based),
EVEREX
Everex,CloudBook,",",7,384000800×480  WVGA,133,C7-M ULV,1.2,,UniChrome Pro IGP,DVI-I,HDD,30,0.5,dunno,dunno,dunno,dunno,,gOS Rocket,dunno,
GATEWAY
Manufacturer,",Weight  ;#91;kg ;#93;,Weight  ;#91;lb ;#93;," Display size "",Display resolution,Display DPIgroup=Notedispdpi,CPU,Speed  ;#91;GHz ;#93;,HSDPA,Video chipset,Video connection(s),Storage type,Storage  ;#91;GB ;#93;,RAM  ;#91;GB ;#93;,Battery life  ;#91;h ;#93; (low end),Battery life  ;#91;h ;#93; (high end),Keyboard size in %group=Notekbdpct,Camera,Mouse layout,Unix OS choice(s),Windows OS choice(s),Manual / DataSheet
" Gateway"," LT2001u, LT2021u",",",10.1,6144001024×600,117,Atom,1.6,dunno,dunno,VGA,HDD,160,1,(3-Cell Li),(3-Cell Li),dunno,0.3,Touchpad with 1 button below,N/A,Windows XP Home,
" Gateway"," LT3103u, LT3114u",",",11.6,10490881366×768,135,Athlon 64,1.2,,Radeon X1270,VGA,HDD,250,2,5 (6-cell Li),5 (6-cell Li),,0.3,Touchpad with 1-button below,N/A,Vista Home Basic,
GIGABYTE
Gigabyte Technology,M912,",",8.9,9830401280x768  WXGA touchscreen,167,Atom,1.6,,dunno,None,HDD," 120, 160, 250"," 1, 2",dunno,dunno,dunno,dunno,,Ubuntu,XP,
Gigabyte,M912X,",",8.9,9830401280×768,167,Atom,1.6,,dunno,VGA,HDD,80,1,dunno,dunno,dunno,dunno,,dunno,XP,
Hillman,IA1001,",",10.2,6144001024x600,116,Atom N270,1.6,,GMA 950,,HDD,160,1,2 (3-cell),,,1.3 MP,Touchpad 2-buttons below,Linux,,
HP
HP,Mini note 2133,",",8.9,10240001280×800  WXGAglossy,169,C7-M,1–1.6,,dunno,VGA," SSD, HDD"," 4, 120, 160",0.5–2,22 (3-cell),44 (6-cell),92%,dunno,,Suse," XP, Vista",
HP,Mini note 2140,",",10.1,5898241024x576 1366x768,116 155,Atom N270,1.6,,GMA 950,dunno," SSD, HDD"," 80, 160",1-2,44 (3-cell),88 (6-cell),92%,dunno,Touchpad buttons on each side,Suse," Vista, XP",
HP,HP Mini 5101,",",10.1,5898241024x600 1366x768,117 155,Atom N280,1.667,,GMA 950,VGA," SSD, HDD"," 80, 128, 160, 250, 320",1-2,4.54.5 (4-cell),99 (6-cell),92%,2MP,Touchpad buttons below,Suse,XP Home,
" Impulse, a division of Carapelli Computers Limited",NPX-9000,",",7,155520480x324,82,X-Scale ARM,0.4,,dunno,dunno,NAND,1,0.125,2100 mAh LiP,dunno,80%,dunno,," Linux 2.4 based Highne 2008,Xenium",None (non-x86 based),
INTEL
" ECS",Classmate PC,",",7,384000800×480 WVGA matte,133,Celeron-M,0.9,,dunno,None,NAND,2,0.25,dunno,dunno,dunno,dunno,," Mandriva, Debian",XP,
INVENTEC
Inventec,Kohjinsha SC3,",",7,6144001024x600,169,Atom,1.33,,dunno,dunno,SSD,dunno,dunno,dunno,dunno,dunno,dunno,,dunno,Vista Ultimate,
Inventec,Kohjinsha SX3,",",8.9,10060801280x768,168,Atom,1.3,,dunno,dunno,SSD,dunno,dunno,dunno,dunno,dunno,dunno,,dunno,Vista,
LEMOTE
Manufacturer,",Weight  ;#91;kg ;#93;,Weight  ;#91;lb ;#93;," Display size "",Display resolution,Display DPIgroup=Notedispdpi,CPU,Speed  ;#91;GHz ;#93;,HSDPA,Video chipset,Video connection(s),Storage type,Storage  ;#91;GB ;#93;,RAM  ;#91;GB ;#93;,Battery life  ;#91;h ;#93; (low end),Battery life  ;#91;h ;#93; (high end),Keyboard size in %group=Notekbdpct,Camera,Mouse layout,Unix OS choice(s),Windows OS choice(s),Manual / DataSheet
Lemote,Lemote YeeLoong (?),",",8.9,6144001024×600  WSVGA,133,Loongson,0.9,,SM 712,VGA,HDD/SSD,160,1,2.52.5 (3-cell),5.55.5 (6-cell),95%,dunno,,Debian,None (not x86 based),
LENOVO
Lenovo,IdeaPad S10,",",10.2,6144001024×600  WSVGA matte,116,Atom,1.6,,GMA 950,VGA,HDD,160,1,33 (3-cell),66 (6-cell),85%,1.3MP,,SUSE Linux (no longer offered Apr 2009)," XP, 7",
LG
LG,(MSI Wind)group=Noteakoyawind,",",10,6144001024×600 WSVGA matte,118,Atom,1.6,,dunno,dunno,HDD," 80, 120, 160"," 0.5, 1",dunno,dunno,dunno,dunno,,dunno,XP,
LG,Xnote B8310,",",4.8,384000800×480,194,Atom,dunno,,dunno,dunno,HDD,dunno,1,dunno,dunno,dunno,dunno,,dunno,dunno,
MAXDATA BELINEA,,,,,,,,,,,,,,,,,,,,,,
Maxdata Belinea,S-Book,",",8.9,dunno,dunno,C7-M,1–1.2,,dunno,dunno,SSD,dunno,dunno,dunno,dunno,dunno,dunno,,dunno,Vista,
MEDION
Medion,Akoya E1210 Mini (MSI Wind)group=Noteakoyawind,",",10,6144001024×600 WSVGA matte,118,Atom,1.6,,dunno,VGA,HDD," 80, 160",1,dunno,dunno,dunno,dunno,,dunno,XP,
MSI
MSI,Wind U100,",",10,6144001024×600  WSVGA matte,118,Atom,0.8 ~ 1.6 / 2.0 oc.,,GMA 950,VGA,HDD,80 / 120 / 160," 0.5, 1",2.52.5 (3-cell),5.55.5 (6-cell),95%,1.3MP,,Suse,XP,
MSI,Wind U120,",",10,6144001024×600  WSVGA,118,Atom,1.6,,dunno,VGA," HDD, SSD",80/160,1,dunno,dunno,dunno,dunno,,dunno,XP,
NetColors,Mini 10-N270,",",8.9," 6144001024×600 WSVGA, glossy",133,Atom N270,1.6,,GMA 950,dunno," SSD + SDHC, HDD"," 16, 32 / 160, 320"," 1GB, 2GB",33 (3-cell),66–7 (6-cell),89%,dunno,," Ubuntu",XP,
NTT System,Corrino 100A,",",10.2,6144001024×600,116,Geode LX800,0.5,,dunno,dunno,HDD,60,1,dunno Li-Po,dunno Li-Po (4200 mAh),dunno,dunno,,Unspecified,XP,
One,A110,",",7,384000800x480,133,C7,1.0,,S3 VX800,VGA," SSD, HDD "," 2, 4  / 60",0.5,dunno,dunno,dunno,dunno,,Linpus,XP,
One,A440,",",10.2,6144001024x600,116,C7,1.6,,dunno,dunno,HDD,80,1," dunno (3 cells, 2200 mAh)",dunno,dunno,dunno,,Linpus,XP,
Nokia
Nokia,Nokia Booklet 3G,",",10.1,1280×720,dunno,Intel Atom Z530,1.6,dunno,dunno,dunno,HDD,120,1024,No,dunno,dunno,dunno,dunno,dunno,7,
PACKARD BELL
Manufacturer,",Weight  ;#91;kg ;#93;,Weight  ;#91;lb ;#93;," Display size "",Display resolution,Display DPIgroup=Notedispdpi,CPU,Speed  ;#91;GHz ;#93;,HSDPA,Video chipset,Video connection(s),Storage type,Storage  ;#91;GB ;#93;,RAM  ;#91;GB ;#93;,Battery life  ;#91;h ;#93; (low end),Battery life  ;#91;h ;#93; (high end),Keyboard size in %group=Notekbdpct,Camera,Mouse layout,Unix OS choice(s),Windows OS choice(s),Manual / DataSheet
Packard Bell,Easy Note XS,dunno,dunno,7.0,6144001024×600 WVGA,169,C7-M,1.2,,dunno,dunno,HDD,30,1,dunno,dunno,dunno,dunno,,dunno," XP, Vista",
OPEN PANDORA
,OpenPandora,Pandora,",",4.3,384000800x480,216,OMAP3530,0.6-0.9,,PowerVR SGX 530,None,Dual SDHC slots,N/A,0.25,10+hrs (4000 mAh),dunno (4000 mAh),?%,dunno,,dunno,dunno,
PCWorld,(MSI Wind)group=Noteakoyawind,",",10,6144001024×600  WSVGA matte,118,Atom,1.6,,dunno,VGA,HDD,80,1,2.52.5 (3-cell),5.55.5 (6-cell),95%,dunno,,dunno,dunno,
PROLiNK,Glee TA-009,",",10.1,6144001024×600 WSVGA,117,Atom,1.6,HSUPA 3.75GDL: 7.2MUL: 5.2Moptional,GMA 950,VGA,HDD,160,1,2.52.5 (3-cell),5.55.5 (6-cell),95%,1.3 MP,Touchpad buttons on each side,Ubuntu optional,XP optional,
Quanta Computer,OLPC XO-1,",",7.5,1080000 1200×900,200,Geode LX700,0.433,,dunno,None,NAND,1,0.25,dunno,dunno,dunno,dunno,,Fedora,XP,
Raon Digital,Everun Note,",",7,6144001024×600,169,Turion 64 X2,1.2,,dunno,dunno," SSD, HDD"," 16, 24; 30, 60, 80",1,dunno,dunno,dunno,dunno,,Ubuntu,XP,
SAMSUNG
Manufacturer,",Weight  ;#91;kg ;#93;,Weight  ;#91;lb ;#93;," Display size "",Display resolution,Display DPIgroup=Notedispdpi,CPU,Speed  ;#91;GHz ;#93;,HSDPA,Video chipset,Video connection(s),Storage type,Storage  ;#91;GB ;#93;,RAM  ;#91;GB ;#93;,Battery life  ;#91;h ;#93; (low end),Battery life  ;#91;h ;#93; (high end),Keyboard size in %group=Notekbdpct,Camera,Mouse layout,Unix OS choice(s),Windows OS choice(s),Manual / DataSheet
Samsung,N120,",",10.2,6144001024x600 glossy LED,116,Atom 280,1.6,,GMA 950,VGA,HDD,160,1,88 (6-cell),1111 (9-cell),93%,dunno,,dunno,XP,
Samsung,N110,",",10.2,6144001024x600 glossy,116,Atom,1.6,,GMA 950,VGA,HDD,160,1,4.64.6 (6-cell),7.57.5 (6-cell),93%,dunno,,dunno,XP,
Samsung,NC10 group=Notesamsung,",",10.2,6144001024x600 matte,116,Atom N270,1.6,,GMA 950,VGA,HDD,160,1,4.64.6 (6-cell)," 7.57.5 (6-cell)",93%,1.3,,dunno,XP,
Samsung,NC20,",",12.1,10240001280x800 glossy,124,Nano,1.3+,,VIA VX800,VGA,HDD,160,1,dunno,dunno,97%,dunno,,dunno,XP,
Samsung,NB30,",",10.1,1024x600  WSVGA matte LED,,Atom N450,1.66,no,Intel GMA3150,VGA,HDD + removable SDHC,250," 1, 2 (one slot, field upgradable)",," 10.5 (6-cell, 66Wh, 5900mAh)",,0.3 MP ?," Touchpad 2-buttons below, multitouch",,7 Starter,
Samsung,N220,",",10.1,1024x600 WSVGA matte LED,,Atom N450,1.66,no,Intel GMA3150,VGA,HDD + removable SDHC,250," 1, 2 (one slot, field upgradable)",,11,,0.3 MP ?," Touchpad 2-buttons below, multitouch",,7 Starter,
SHARP
Sharp,Willcom D4,",",5,9830401024×768,256,Atom,1.6,,dunno,dunno,HDD,dunno,1,dunno,dunno,dunno,dunno,,dunno,dunno,
Sinomanic,Tianhua GX-1C,dunno,dunno,8.4,13107201280x1024 SXGA,195,Loongson I,0.5 0.4 – 0.6,,dunno,dunno,HDD,40,0.125,dunno,dunno,dunno,dunno,,Debian,None (not x86 based),
Skytone,HiVision NB0700,",",7.0,384000800×480 WVGA,133,MIPS Jz4730,0.4,,dunno,dunno,SSD,1,dunno,dunno,dunno,?,dunno,,Custom,None (not x86 based),
Skytone / 3K,Razorbook,",",7,384000800×480,133,MIPS,0.4,,dunno,dunno,NAND,4,0.5,33 (2-cell),33 (2-cell),dunno,dunno,,dunno,None (not x86 based) Windows CE only,
Skytone,Skytone Alpha-400,",",7,384000800×480,133,MIPS,0.4,,dunno,None (VGA on some models),NAND,1,0.125,33 (2-cell),33 (2-cell),dunno,dunno,,Linux 2.4,None (not x86 based),
Sony
Sony,P-Series,",",8,12288001600x768,221,Atom,1.3,,GMA 500,dunno,SSD/HDD,128/64/60,2,3:08 CNet video playback,dunno,88%,dunno,,dunno,Vista,
SYSTEM76
System76,Starling Netbook 4,",",10.1,12288001024x600,117,Intel Atom N550,1.5,,Intel GMA 3150,One VGA,SSD/HDD,250/320/500/600HDD 40/80/120/160SSD,2,3 (3-cell),6 (6-cell),95%,0.3 MP,Touchpad 2-buttons below (50/50%),Ubuntu Netbook Edition 10.04,None,
Sylvania Computers,G Netbook,",",7,384000800×480,133,C7-M ULV,1.2,,dunno,dunno,HDD,30,1,dunno,dunno,dunno,dunno,,Ubuntu,XP,
TOSHIBA
Manufacturer,",Weight  ;#91;kg ;#93;,Weight  ;#91;lb ;#93;," Display size "",Display resolution,Display DPIgroup=Notedispdpi,CPU,Speed  ;#91;GHz ;#93;,HSDPA,Video chipset,Video connection(s),Storage type,Storage  ;#91;GB ;#93;,RAM  ;#91;GB ;#93;,Battery life  ;#91;h ;#93; (low end),Battery life  ;#91;h ;#93; (high end),Keyboard size in %group=Notekbdpct,Camera,Mouse layout,Unix OS choice(s),Windows OS choice(s),Manual / DataSheet
Toshiba,AC100,",",10.1 LED,1024×600,117,Tegra 250,1.0,no,Tegra 250,HDMI,SSD,8,512 MB,7,48,dunno,1.3 MP,Touchpad,Android 2.1 to 2.2,none (non-x86),
Toshiba,NB100,",",8.9,6553601024x640,135,Atom,1.6,,GMA 950,VGA,HDD," 80 (Linux), 120 (XP)"," 0.5 (Linux), 1 (XP), up to 2 GB",(4 cell),dunno,dunno,1.3 MP,Touchpad 2-buttons below (60/40%),Ubuntu Netbook Remix,XP,
Toshiba,NB105,dunno,dunno,8.9 LED,dunno,dunno,Atom,1.6,,dunno,dunno,HDD,120,1,dunno,dunno,dunno,dunno,,dunno,XP,
Toshiba,NB200,Linux not avail,XP or 7 Starter,
VIA
VIA,Nanobook,",",7.0,384000800×480 WVGA Touchscreen,133,C7-M,1.2,,dunno,DVI-I,HDD,30,1,dunno,dunno,dunno,dunno,,Linux," XP, Vista",
VIA," Openbook (reference design, not product)",",",8.9,6144001024×600 WSVGA,133,C7-M ULV,1.6,,dunno,VGA,HDD,80,2,dunno,dunno,dunno,dunno,,Linux," XP, Vista",
Zelybron,Micro Nina,",",10.2,1024000 1280×600WXGAglossy,147,C7-M,1.6,,dunno,dunno,HDD,120,11 – 4,22 (3-cell),44 (6-cell),92%,,Touchpad 2-buttons below.,ZelybronBSD,
