[ Afrikaans 
 hoezo? waarom? , how come? how so? why?,
 hoe gaat het? hoe is het? , how's it going?,
 voortgezet onderwijs small(Netherlands)/smallbr/ secundair onderwijs small(Belgium)/small , high school secondary school,
 Nederlands (taal) , Dutch (language),
 horloge , watch,
 ziekenhuis gasthuis br/small''hospitaal'' mostly used in a military context/small, hospital,
 lift , lift elevator ,
 abonnement inschrijving , subscription ,
 leukheid , fun party,
 juli , July,
 juni , June,
 kaartje ticket , ticket,
 giraffe br/small''kameelpaard'' and ''kameelpardel'' considered archaic/small, giraffe,
 campagne br/smallsimilar pronunciation/small , campaign,
 Canada , Canada ,
 Kerstmis small(Catholic)/smallbr/ Kerstfeestsmall (Protestant)/small , Christmas,
 geldautomaat bankautomaat , cash machine ATM,
 krant br/small''courant'' older term/small , newspaper,
 keuken br/small''kombuis'' means "galley"/small , kitchen,
 conservatief , conservative,
 copyright auteursrecht , copyright,
 magistraat , magistrate,
 leggen liggen , lie lay,
landmacht leger , army ,
 limoen br/lemmetje small(Suriname)/small , lime,
 sinaasappel small (Netherlands)/small br/appelsien small(Belgium)/small, orange,
 parlementslid kamerlid , Member of Parliament (MP),
 songtekst , lyrics,
 trailer , film trailer,
 luchtmacht , air force,
 luchthaven vliegveld , airport,
 luchtpost , airmail,
 luchtvaartmaatschappij , airline,
 stewardess br/small''luchtwaardin'' older Belgian purism/small, air hostessbr / air stewardess,
 gehakt , mincemeat,
 gek op , mad about,
 motorkap , bonnet small(UK)/smallbr / hood small(US)/smallbr /,
 meisje meid , girl,
 elkaar br/small''mekaar'' dialectal/small , each other,
 milkshake , milkshake,
 homo , gay effeminate man,
 metro , metro subway train,
 mogelijk , possible,
 behang , wallpaper,
 naar , to,
 na , after,
 dichtbij nabij , close to,
 weekend br/small ''weekeinde'' sometimes used /small , weekend,
 niet , not,
 nichtje , niece,
 Nieuw-Zeeland , New Zealand,
 nieuws , news,
 opinieblad nieuwsblad , news magazine news letter ,
 ondertitels , subtitles ,
 moment ogenblik , moment ,
 openen openmaken , to open ,
 nasynchronisatie , dubbing,
 origineel br/small''oorspronkelijk'' used only in relation to the origin or beginning/small , original,
 oost , east,
 naamloze vennootschap (NV) , public limited company,
 kerel gozer , guy bloke ,
 automatisch , automatic  ,
 kikker br/small''pad'' means "toad"/small , frog,
 passagier , passenger,
 paard , horse,
 snack tussendoortje , snacks,
 banaan small''pisang'' less common term /small , banana,
 pinguïn vetgans , penguin,
 politieagent br/small''politiebeambte'' used formally/small, police officer,
 politiebureau br/small''politiekantoor'' rare term/small, police station,
 postbus , post office box,
 postkantoor , post office,
 postbode , postman  ,
 advocaat , attorney solicitor lawyer ,
 ananas br/small''pijnappel'' older term now means "pine cone"/small, pineapple,
 honingdas br/''ratel'' considered archaic , honey badger,
 reisbureau small(Netherlands)/smallbr /reisagentschap small(Belgium)/small , travel agentbr / travel agency ,
 computer br/small''rekentuig'' purism considered dated/small , computer,
 neushoorn br/small''renoster'' considered archaic/small , rhinoceros,
 film br/small''rolprent'' considered dated/small, film ,
 columnist , newspaper columnist,
 rekenmachine zakrekenmachine calculator , calculator,
 paraplu br/small''sombreel'' means "parasol"/small , umbrella ,
 champignon , mushroom ,
 's avonds , in the evening ,
 zeggen , say ,
 nijlpaard br/small''zeekoe'' older term now means "sea cow"/small,
 mobiele telefoon mobieltje small(Netherlands)/smallbr/GSM small(Belgium)/smallbr/cellulair cell small(Suriname)/small , mobile phonesmall(UK)/smallbr/ cellphonesmall(US South Africa)/small,
 cent , cent,
 jongen br/small''zoontje'' means "(small) son"/small , boy young man  ,
 cynisch , cynical,
 golfplaat , corrugated iron,
 chocolade , chocolate,
 schaduw schaduwbeeld , shadow,
 bellen br/small''schakelen'' means "to change gear"/small , dial call (telephone number),
 migraine , migraine,
 laptop br/small''schootcomputer'' sometimes used/small , laptop,
 ruw br/small''schurft'' means "scabies"/small , rough,
 slachtoffer , victim,
 frieten , french fries chips,
 prullenmand , wastepaper basket,
 zoet  , sweet,
 voetbal , football soccer,
 als zoals , like such as,
 spin br/small''spinnenkop'' sometimes used/small, spider,
 snelheid , speed ,
 civiele dienst small(Netherlands)/smallbr/ overheidsdienst small(Belgium)/small , civil service public service ,
 station br/small''statie'' older term/small, station ,
 Gemenebest van Naties br/ small''statenbond'' sometimes used for "confederation"/small, Commonwealth of Nations,
 stationwagen , station wagon estate,
 streek gewest regio , region,
 stuur , steering wheel,
 zuid , south ,
 zuiver , clean ,
 citroen , lemon  ,
 stoep trottoir voetpad , pavement small(UK)/smallbr/ sidewalk small(US)/small,
 cheque , cheque check ,
 toeter claxon , hooter small(UK)/smallbr/ horn small(US)/small,
 huisdier , pet (animal),
 homepagina thuispagina , homepage ,
 editie uitgavebr/small''uitgaven'' can also mean "expenditure"/small , edition version ,
 omroep uitzending br/small''uitzaaiing'' means "metastasis"/small , broadcasting ,
 zandloper , hourglass,
 achternaam van , surname,
 vanavond , this evening,
 vanmorgen , this morning,
 pakken , seize clutch ,
 kameleon br/small''verkleurmannetje'' considered archaic/small , chameleon,
 voor , for,
 niveau peil , level ,
 steward , air steward flight attendant ,
 verdwijn! , get lost! away with you!,
 vrieskist diepvries diepvriezer vrieskast , freezer,
 tankstation , filling station petrol station service station,
 lucifer br/small''vuurhoutje'' considered dated/small , match light,
 wagen , wagon ,
 wasbak wastafel , washbasin sink ,
 welke wie , which who ,
 website br/small''webstek'' purism/small, website ,
 krijgsmacht br/small''weermacht'' sometimes used/small , defence force armed forces,
 wereldwijd , worldwide ,
 zijn br/small''wezen'' sometimes used informally/small , to be,
 west , west,
 appartement flat , apartment flat,
 ijskast koelkast , refrigerator,
 IJsland , Iceland,
 ijzer , iron,
,
