Provider,Win.11,Linux11,Mac11,Android11,iOS11,Encrypted storage,Zero knowledge22,Secure Key Management33,Limited MB plan44,Unlimited MB plan44,$/MB plan44,Unlimited BW 1616,Provider,Cloud hosted Net Drive55,Sync77,Autodetect changes1212,Public file hosting88,physical media restore99,Server location(s)1010,Free online storage (non-trial)1313,Maximum per-file size,External hard drive support1414,Hybrid Option1515,Green Hosting,OpenSaaS
OneDrive,yes," no, see note",yes,yes,yes,yes,no,?,yes,no,,,OneDrive,no,yes,,,,," 5 GB for new users, 25 GB for older users",100 GB,,," partial, 29%",no
SpiderOak,yes,yes,yes,Download Only,Download Only,yes,yes,?,yes,Business only (min 10 users),yes,yes,SpiderOak,no,yes,yes,yes,,,(2 GB free for 60 days only),No limit,yes,yes,,no
SugarSync,yes,no,yes,yes,yes,yes,no,?,yes,no,no,,SugarSync,,yes,yes,yes (SugarSync account needed for folders),,,no,100 MB (web) No limit (client app),,,,
Syncplicity,Yes,No,Yes,Yes,Yes,yes,no,?,,,Yes,,Syncplicity,,Yes,Yes,Yes,,USA,10 GB,,,,,
Tarsnap,Yes via Cygwin,yes,yes,no,no,Yes,yes,?,no,no,yes,,Tarsnap,no,,,,,,no,,,," no, Amazon AWS",no
Trend Micro SafeSync,yes,partial,yes," yes, via Storage Made Easy client"," yes, via Storage Made Easy client",,no,?,,,yes,,Trend Micro SafeSync,date=June 2014,yes,,yes,,UK,,,,,,
Tresorit,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,Tresorit,yes,yes,yes,yes,no," IRL, NLD",3 GB," 0.5 GB (free), 10 GB (paid)",yes,no,,
Unitrends Vault2Cloud,yes,yes,yes,,,yes,no,?,no,yes,yes,,Unitrends Vault2Cloud,date=June 2014,yes,,no,yes,USA,no,,,,,
UpdateStar Online Backup,yes,no,no,,,yes,no,?,yes,yes,,,UpdateStar Online Backup,,,,,,EUR,,,,,,
Yandex.Disk,yes,yes,yes,yes,yes,no,no,?,yes,,,,Yandex.Disk,yes,yes,yes,yes,,RUS,10 GB,50 GB,,,,
Zetta.net,yes,yes,yes,,,yes,no,?,yes,no,yes,yes,Zetta.net,yes,yes,yes,no,yes,USA,no,No limit,yes,yes,,
Zmanda Cloud Backup,yes,no,no,,,optional,optional
