Brand,Model name,Sensor size,Effective megapixels,Lens mount,(% of the frame)Viewfinder coverage,Metering zones,Focus points,Lowest ISO,Highest ISO,data-sort-type=number (sensor) overall scoreDxO score,Noise levels: what is the highest ISO level that still gives a specific print quality?DxO ISO,(fps)Cont. shtg,(inch)LCD size,Live view,Movie mode,storageMemory card,Video,(W x H x D)Dimensions (mm),Weight (g),Announced (date),Reference
,Nikon,D300S,APS-C,12.3,F-mount,100,1005,51,100,6400,70,787,6,3,yes,yes,CF+SD,,147x114x74,918,Jul 2009,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D300s][https://web.archive.org/web/20100207180210/http://www.nikonusa.com/Find-Your-Nikon/Product/Digital-SLR/25464/D300S.html]
,Nikon,D7000,APS-C,16.2,F-mount,100,2016,39,100,25600,80,1167,6,3,yes,yes,SD (x2),,132x105x77,690 (without battery),Sep 2010,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D7000]
,Nikon,D90,APS-C,12.3,F-mount,96,420,11,100,6400,73,977,4.5,3,yes,yes,SD,,132x103x77,620 (without battery),Aug 2008,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D90][https://web.archive.org/web/20130909045722/http://www.nikonusa.com/en/Nikon-Products/Product/Digital-SLR-Cameras/25446/D90.html]
,Nikon,D5100,APS-C,16.2,F-mount,95,420,11,100,25600,80,1183,4,3,yes,yes,SD,,127x97x79,560 (without battery),Apr 2011,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D5100][http://www.nikonusa.com/Nikon-Products/Product/Digital-SLR-Cameras/25478/D5100.html]
,Nikon,D5000,APS-C,12.3,F-mount,95,420,11,100,6400,72,868,4,2.7,yes,yes,SD,,127x104x80,560 (without battery),Apr 2009,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D5000][https://web.archive.org/web/20100209211852/http://nikonusa.com/Find-Your-Nikon/Product/Digital-SLR/25452/D5000.html]
,Nikon,D3200,APS-C,24.2,F-mount,95,420,11,100,12800,81,1131,4,3,yes,yes,SD,,125x96x79,505,Apr 2012,[http://www.dxomark.com/index.php/Publications/DxOMark-Reviews/Nikon-D3200-Review/Sensor-performance] [http://www.nikonusa.com/Nikon-Products/Product/Digital-SLR-Cameras/25492/D3200.html]
,Nikon,D3100,APS-C,14.2,F-mount,95,420,11,100,12800,67,919,4.4,3.2,yes,yes,SD,,124x96x74.5,505,Aug 2010,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D3100][http://www.dpreview.com/reviews/nikond3100/page2.asp]
,Nikon,D3000,APS-C,10.2,F-mount,95,420,11,100,3200,62,563,3,3,no,no,SD,,126x97x64,536,Jul 2009,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D3000] [https://web.archive.org/web/20100723153016/http://www.nikonusa.com/Find-Your-Nikon/Product/Digital-SLR/25462/D3000.html]
,Olympus,E-5,Four Thirds,12.3,MFT,100,49,11,100,6400,56,519,5,3.0,yes,yes,"CF, SD",,142x116x75,813 (without battery),Sep 2010,[https://web.archive.org/web/20120316002002/http://www.olympusamerica.com/cpg_section/product.asp?product=1525 ;page=specs]
,Olympus,E-3,Four Thirds,10.1,MFT,100,49,11,100,3200,56,571,5,2.5,yes,no,"CF, xD",,142x116x75,800 (without battery),Oct 2007,[http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Olympus/E3][http://www.olympusamerica.com/cpg_section/product.asp?product=1323 ;page=specs]
