| [[Green Hills Software]],| ARM x86 PowerPC,| Same as host,| Linux [[Windows]],| INTEGRITY native Linux [[Android (operating system)|Android]] [[AUTOSAR]] Windows (on some platforms),| {{Proprietary}},
| [[Hewlett-Packard]],| [[IA-64]],| IA-64,| [[HP-UX]],| [[HP-UX]] Windows Linux ([[OpenVMS]] announced),| {{Proprietary}},
| [[Oxford University]],| Any running the [[Java Virtual Machine]],| x86,| Java Virtual Machine,| DOS Linux Windows up to 3.0,| {{free|[[Gpl version 2|GPL version 2]]}},
| [[Qumranet]] now Red Hat,| x86 x86-64 IA-64 with [[x86 virtualization]] s390 PowerPCref name="linux-kvm" / [[ARM architecture|ARM]] ref name="rhel.kvm.arm" /,| Same as host,| Linux FreeBSD illumos,| FreeBSD Linux Solaris Windows [[Plan 9 from Bell Labs|Plan 9]],| {{free|[[Gpl version 2|GPL version 2]]}},
| Community project,| x86 x86-64 IA-64 Alpha PowerPC 64 [[PA-RISC]] 64 SPARC64 ARM [[S/390]] SH/66 MIPS,| Compatible,| Linux,| Linux variants,| {{free|[[Gpl version 2|GPL version 2]]}},
| [[LynuxWorks]],| x86,| x86,| No host OS,| [[LynxOS]] Linux Windows,| {{Proprietary}},
| Community project [[Canonical Ltd.]],| x86 x86-64 IA-64 PowerPC 64 SPARC64 Itanium ARM,| Same as host,| Linux,| Linux variants,| {{free|[[Gpl version 2|GPL version 2]]}},
| [[Open Kernel Labs]] acquired by [[General Dynamics Corporation]],| ARM x86 MIPS,| ARM (v5 v6 v7 v8; [[paravirtualization]]) ARMv7VE (hardware virtualization),| No Host OS,| Various OSes and RTOSes including Linux Android [[QNX]],| {{Proprietary}},
| Community project supported by [[SWsoft]] now [[Parallels Inc.]],| x86 x86-64 IA-64 PowerPC 64 SPARC64,| Same as host,| Linux,| same as host (shared Linux kernel) choice of userland distribution,| {{free|[[GNU General Public License|GPL]]}},
| [[Oracle Corporation]],| x86 x86-64,| x86 x86-64,| No host OS,| Microsoft Windows [[Oracle Linux]] [[Red Hat Enterprise Linux]] [[Solaris (operating system)|Solaris]],| {{free|[[GPLv2]]}} Oracle VM Server; Manager is proprietary,
| OVP,| x86,| OR1K MIPS32 ARC600/700 ARM; and public API which enables users to write custom processor models RISC CISC DSP VLIW all possible,| Microsoft Windows Linux,| Depends on target machine for example includes MIPS Malta that runs Linux or SMP-Linux; and includes public API which enables users to write custom peripheral and system models,| {{proprietary}} [[Apache License|Apache 2.0]] for models,
| Parallels Inc.,| x86,| x86 x86-64,| macOS,| DOS Windows Linux macOS FreeBSD OS/2 eComStation Solaris [[Haiku (operating system)|Haiku]],| {{Proprietary}},
| Parallels Inc.,| x86,| x86,| Windows Linux,| Windows Linux FreeBSD [[OS/2]] [[eComStation]] DOS Solaris [[Haiku (operating system)|Haiku]],| {{Proprietary}},
| [[Sebastian Biallas]],| x86 x86-64 PowerPC,| PowerPC,| Windows Linux {{nowrap|OS X}} FreeBSD NetBSD,| {{nowrap|Mac OS X}} [[Darwin (operating system)|Darwin]] Linux,| {{free|[[GNU General Public License|GPL]]}},
| [[SYSGO]] AG,| PowerPC x86 ARM MIPS SPARC SuperH,| Same as host,| No host OS Linux or Windows as dev. hosts,| PikeOS native Linux POSIX AUTOSAR Android [[RTEMS]] [[OSEK]] [[ARINC 653]] APEX [[ITRON]],| {{Proprietary}},
| [[Proxmox]],| x86-64,| x86 x86-64,| Debian Based,| Windows Linux Linux variants Solaris FreeBSD [[OSx86]] (as FreeBSD) [[virtual appliance]]s Netware OS/2 SCO BeOS [[Haiku (operating system)|Haiku]] [[Darwin (operating system)|Darwin]],| {{free|[[GNU Affero General Public License|AGPLv3]]}},
| [[Oracle Corporation]],| [[UltraSPARC T1]] [[UltraSPARC T2]] UltraSPARC T2+ [[SPARC T3]] [[SPARC T4]],| Compatible,| [[Solaris (operating system)|Solaris 10 Solaris 11]],| Oracle support: Solaris; unsupported: Linux FreeBSD,| {{Proprietary}},
| [[IBM]],| [[POWER4]] [[POWER5]] [[POWER6]] [[POWER7]] [[POWER8]] ,| POWER4/5/6/7/8 x86 ([[Lx86|PowerVM-Lx86]]),| PowerVM Firmware,| Linux PowerPC x86; [[AIX]] [[IBM i]],| {{Proprietary}},
| [[Fabrice Bellard]] other developers,| x86 x86-64 IA-64 PowerPC SPARC 32/64 ARM S/390 MIPS,| x86 x86-64 Alpha ARM CRIS LM32 [[M68k]] MicroBlaze MIPS OpenRisc32 PowerPC S/390 SH4 SPARC 32/64 Unicore32 Xtensa,| Windows Linux macOS Solaris FreeBSD OpenBSD BeOS,| Changes regularlyref name="QEMU" /,| {{free|[[GNU General Public License|GPL]]/[[LGPL]]}},
| [[Fabrice Bellard]],| x86 x86-64,| Same as host,| Linux FreeBSD OpenBSD Solaris Windows,| Changes regularlyref name=QEMU/,| {{free|[[GNU General Public License|GPL]]/[[LGPL]]}},
| Paul Brook,| x86,| x86,| Linux NetBSD Windows,| Changes regularly,| {{free|[[GNU General Public License|GPL]]}},
| [[Transitive Corp.]],| x86 x86-64 IA-64 POWER,| MIPS PowerPC SPARC x86,| Linux {{nowrap|OS X}} Solaris,| Linux {{nowrap|OS X}} Irix Solaris,| {{Proprietary}},
| [[Real-Time Systems (company)|Real-Time Systems GmbH]],| x86 x86-64,| x86 x86-64,| No host OS,| Windows Linux Windows Embedded QNX RTOS-32 VxWorks OS-9 T-Kernel,| {{Proprietary}},
| ScaleMP,| x86 x86-64,| Same as host,| No host OS,| Linux,| {{Proprietary}},
| Bob Supnik The Computer History Simulation Project,| Alpha ARM HPPA x86 IA-64 x86-64 M68K MIPS MIPSel POWER s390 SPARC,| [[Data General]] [[Data General Nova|Nova]] [[Data General Eclipse|Eclipse]]; [[Digital Equipment Corporation]] [[PDP-1]] [[PDP-4]] [[PDP-7]] [[PDP-8]] [[PDP-9]] [[PDP-10]] PDP-11 [[PDP-15]] VAX; GRI Corporation GRI-909; [[IBM]] [[IBM 1401|1401]] [[IBM 1620|1620]] [[IBM 1130|1130]] [[IBM 7090|7090/7094]] [[IBM System/3|System/3]]; [[Interdata]] ([[Perkin-Elmer]]) 16b/[[Interdata 7/32 and 8/32|32b]] systems; Hewlett-Packard 2114 2115 2116 2100 21MX; [[Honeywell]] H316/H516; [[Micro Instrumentation and Telemetry Systems|MITS]] [[Altair 8800]] with [[Intel 8080|8080]] and [[Zilog Z80|Z80]]; [[Royal McBee]] [[LGP-30]] LGP-21; [[Scientific Data Systems]] [[SDS 940]],| BSD Linux Solaris VMS Windows,| Depends on target machine includes NetBSD/VAX OpenBSD/VAX [[OpenVMS|VAX/VMS]] [[Version 6 Unix|Unix v6]] [[Version 7 Unix|Unix v7]] [[TOPS-10]] [[TOPS-20]] [[Incompatible Timesharing System|ITS]],| {{free|BSD-like unique}},
| [[Wind River Systems|Wind River]],| x86 x86-64,| 8051 68000 ARM (v4 v5 v6 v7) MIPS32 MIPS64 Cavium cnMIPS Broadcom XLR MIPS Freescale (e300 e500 e600 e5500 e6500) IBM (POWER PPC44x PPC46x 47x) SPARC v8 (LEON) SPARC v9 (UltraSparc) x86 (from 80286 to Sandy Bridge) x86-64 (from Pentium4 to Sandy Bridge) TI [[Texas Instruments TMS320|TMS320C64xx]] Renesas H8 Renesas SH,| Windows 32-bit and 64-bit Linux 32-bit and 64-bit,| Depends on target machine typically runs unmodified software stacks from the corresponding real target including [[VxWorks]] VxWorks 653 [[Operating System Embedded|OSE]] QNX Linux Solaris Windows FreeBSD [[RTEMS]] [[TinyOS]] Wind River Hypervisor VMware ESX and others,| {{Proprietary}},
| [[Sun Microsystems]],| x86-64 SPARC,| Same as host,| No host OS,| Windows XP 2003 Server (x86-64 only) Linux Solaris,| {{free|[[Gpl version 3|GPL version 3]]}},
| [[Serenity Systems International]],| x86,| x86,| Windows OS/2 Linux,| Windows Linux OS/2 BSD,| {{Proprietary}},
| [http://www.trango-vp.com TRANGO Virtual Processors Grenoble France],| ARM [[XScale]] MIPS PowerPC,| [[Paravirtualization|Paravirtualized]] ARM MIPS PowerPC,| No host OS Linux or Windows as dev. hosts,| Linux [[eCos]] [[MicroC/OS-II|µC/OS-II]] [[WindowsCE]] [[Nucleus RTOS|Nucleus]] VxWorks,| {{Proprietary}},
| [[Jeff Dike]] other developers,| x86 x86-64 PowerPC,| Same as host,| Linux,| Linux,| {{free|[[Gpl version 2|GPL version 2]]}},
| Innotek acquired by [[Oracle Corporation]],| x86 x86-64,| x86 x86-64 (with Intel VT-x or AMD-V and VirtualBox 2 or later),| Windows Linux macOS Solaris FreeBSD eComStation,| DOS Linux macOSref name="virtualbox" / FreeBSD [[Haiku (operating system)|Haiku]] OS/2 Solaris Syllable Windows and OpenBSD (with Intel VT-x or AMD-V due to otherwise tolerated incompatibilities in the emulated memory management).,| GPL version 2; full version with extra enterprise features is proprietary:,
| Virtual Iron Software Inc. acquired by Oracle,| x86 VT-x x86-64 AMD-V,| x86 x86-64,| No host OS,| Windows Linux,| {{proprietary}} some components GPLv2ref name="oracle" /,
| [[Connectix]] and [[Microsoft]],| x86 x86-64,| x86,| [[Windows Vista]] (Business Enterprise Ultimate) XP Pro XP Tablet PC Edition,| DOS Windows OS/2 Linux (SUSE Xubuntu) OpenSolaris (Belenix),| {{Proprietary}},
| Connectix and Microsoft,| x86 x86-64 with Intel VT-x or AMD-V,| x86,| Windows 7,| Windows XP Windows Vista Windows 7 Windows Server 2003 Windows Server 2008,| {{Proprietary}},
| Connectix and Microsoft,| PowerPC,| x86,| {{nowrap|Mac OS X}},| Windows OS/2 Linux,| {{Proprietary}},
| VirtualLogix,| ARM TI DSP C6000 x86 PowerPC,| Same as host,| No host OS,| Linux Windows XP C5 [[VxWorks]] Nucleus [[DSP/BIOS]] proprietary,| {{Proprietary}},
| Connectix and Microsoft,| x86 x86-64,| x86 x86-64,| Windows Server 2003 2008 XP (Requires IIS),| Windows NT 2000 2003 2008 Linux (Red Hat SUSE Ubuntu),| {{Proprietary}},
| [[CoWare]],| x86 x86-64 SPARC v9,| Devices including (multi) cores from ARM MIPS PowerPC [[Toshiba]] [[MeP]] [[Renesas]] SH [[Texas Instruments]] [[Tensilica]] [[ZSP]],| Windows Linux Solaris,| Depends on guest CPU; includes: [[Linux]] (various flavors) [[µITRON]] (various flavors) Windows CE [[Symbian]] more,| {{Proprietary}},
| [[SWsoft]] now [https://virtuozzo.com/ Virtuozzo Inc],| x86 IA-64 x86-64,| same as host,| Linux,| save as host (shared Linux kernel),| {{Proprietary}},
| [[Matthew Dillon]] / [[DragonFly BSD]],| x86-64,| same as host,| [[DragonFly BSD]],| any compatible vkernel binary of DragonFly,| {{free|[[BSD licence|BSD]]}},
| [[OpenBSD]],| x86 x86-64,| same as host,| OpenBSD,| OpenBSD and Linux guests,| {{free|[[BSD licenses|BSD]]}},
| [[VMware]],| x86 x86-64,| x86 x86-64,| No host OS,| Windows Linux Solaris FreeBSD [[OSx86]] (as FreeBSD) [[virtual appliance]]s Netware OS/2 SCO BeOS [[Haiku (operating system)|Haiku]] [[Darwin (operating system)|Darwin]] others: runs arbitrary OS{{efn|name="VMware ESX Server"}},| {{Proprietary}},
| VMware,| x86 x86-64,| x86 x86-64,| No host OS,| Same as VMware ESX Server,| {{Proprietary}},
| VMware,| x86 x86-64,| x86 x86-64,| macOS,| Same as VMware ESX Server,| {{Proprietary}},
| VMware,| x86 x86-64,| x86 x86-64,| Windows Linux,| Same as VMware ESX Server,| {{Proprietary}},
| VMware,| x86-64{{efn|Older versions of [[VMware Workstation]] support [[x86]].}},| x86 x86-64,| Windows Linux,| Same as VMware ESX Server,| {{Proprietary}},
| VMware,| x86-64{{efn|Older versions of [[VMware Player]]/VMware Workstation Player support x86.}},| x86 x86-64,| Windows Linux,| Same as VMware ESX Server,| {{Proprietary}} free for personal non-commercial use,
| Wind River,| x86 x86-64 PowerPC ARM,| Same as host,| No host OS,| Linux VxWorks unmodified guests (including MS Windows and RTOSes such ach OSE QNX and others) bare metal virtual board,| {{Proprietary}},
| [[Xensource]] Now [[Citrix Systems]],| x86 x86-64 ARM IA-64 (inactive) PowerPC (inactive),| Same as host,| GNU/Linux Unix-like,| GNU/Linux FreeBSD MiniOS NetBSD Solaris Windows 7/XP/Vista/Server 2008 (requires Intel VT-x (Vanderpool) or AMD-V (Pacifica)-capable CPU) [[Plan 9 from Bell Labs|Plan 9]],| {{free|[[GNU GPLv2]] +}},
| By Vates SAS,| x86 x86-64 ARM IA-64 (inactive) PowerPC (inactive),| Same as host,| No host OS,| GNU/Linux FreeBSD MiniOS NetBSD Solaris Windows Windows Server 2008 (with Intel VT-x or AMD-V) [[Plan 9 from Bell Labs|Plan 9]],| {{free|[[GNU GPLv2]] +}},
| By [[Citrix Systems]],| x86 x86-64 ARM IA-64 (inactive) PowerPC (inactive),| Same as host,| No host OS,| GNU/Linux FreeBSD MiniOS NetBSD Solaris Windows 7/XP/Vista/Server 2008 (with Intel VT-x or AMD-V) [[Plan 9 from Bell Labs|Plan 9]],| {{free|[[GNU GPLv2]] +}},
| fentISS,| SPARC v8 LEON2/3/4 ARM v7,| Same as host,| No host OS,| GPOS: Linux RTOS: LithOS RTEMS,| {{Proprietary}} [[GPL version 2]] depending on versions,
| [[IBM]],| z/Architecture,| z/Architecture z/VM does not run on predecessor mainframes,| No host OS itself (single or multiple levels/versions deep; e.g. VM/ESA running in z/VM 4.4 in z/VM 5.2 in z/VM 5.1.),| [[Linux on IBM Z]] [[z/OS]] [[z/VSE]] [[z/TPF]] z/VM [[VM/CMS]] [[MUSIC/SP]] [[OpenSolaris for System z]] predecessors,| {{Proprietary}},
| IBM,| z/Architecture,| z/Architecture,| Integrated in firmware of [[System z]] mainframes,| Linux on IBM Z z/OS z/VSE z/TPF z/VM MUSIC/SP and predecessors,| {{proprietary}},
! Creator,! Host CPU,! Guest CPU,! Host OS(s),! Guest OS(s),! License,
,
