Linux Mint,Clement Lefebvre,dev team,2006iso,20,~3 years (LMDE); 5 years (main editions),2020-06-27iso,X," Debian(LMDE), Ubuntu (main editions)",desktop,None,site active
Linux Lite,Jerry Bezencon,Linux Lite Team,2012,5.0,dunno,2020-05-31,X,Ubuntu,desktop,None,site active
Mageia,Mageia Community,mageia.org,2010iso,7.1,1 year,2019-07-01iso,X,Mandriva Linux,general,None,site active
Mandriva Linux,Mandrakesoft S.A.,Mandriva S.A.,1998iso,2011,dunno,2011-08-28iso,X,Red Hat Linux,general,Some editions are free of charge,site inactive
Manjaro Linux,Roland Singer,dev team,2012iso,Rolling,Rolling,Rolling,X,Arch Linux,general,None,site active
MEPIS,Warren Woodford,MEPIS LLC,2003iso,11.9.90,dunno,dunno,X,Debian," desktop, server",None,site inactive
Musix GNU+Linux,Musix team,Musix team,2008iso,3.0.1,dunno,2014-03-13iso,100% Free: GNU FSDG,Debian,multimedia,None,site inactive
Netrunner,Blue Systems,dev team,2009iso,20.01,as per Debian,2020-02-23iso,X,Debian,desktop,None,site active
NixOS,Eelco Dolstra and Armijn Hemel,NixOS Foundation,2003iso,19.09,0.5 years,2019-05-02iso,X,–," general, server, desktop",None,site active
Novell Open Enterprise Server,Novell," Novell, Inc. dev team",2003iso,OES 2018 SP1,dunno,dunno,X,SUSE Linux Enterprise Server,server,Commercial,site active
OpenELEC," Stephan Raue, OpenELEC Team",OpenELEC Team,2011iso,8.0.4,dunno,2017-06-04iso,X,Kodi,multimedia,None,site inactive
openSUSE,SUSE Linux,openSUSE Project,2006iso,Leap 15.2,3 years,2020-07-02iso,X,SLS/Slackware," general, desktop",None,site active
OpenWrt,dunno,OpenWrt team,2007iso,18.06.4,dunno,2019-07-01iso,X,–,embedded systems,None,site active
OpenMandriva Lx,OpenMandriva Association,OpenMandriva Association,2013iso,4.1,dunno,2020-02-01iso,X,Mandriva Linux,general,None,site active
Oracle Linux,Oracle Corporation,Oracle Corporation,2006iso,8.1,dunno,2019-11-17iso,X,Red Hat Enterprise Linux (RHEL),server,None,site active
Parabola GNU/Linux-libre,Parabola Hackers,Parabola Hackers,2009iso,Rolling,Rolling,2017-05-28iso,100% Free: GNU FSDG followed in Parabola Social Contract,Arch Linux,general,None,site active
Pardus,Scientific and Technological Research Council of Turkey (TÜBİTAK),TÜBİTAK,2005iso,19.1,dunno,2019-11-23iso,X,Gentoo (2011.2)  Debian,general,None,site active
Parsix,Alan Baghumian,Parsix Project,2005iso,8.15,dunno,2017-01-25iso,X,Debian,desktop,None,site inactive
Parted Magic,Patrick Verner,Parted Magic LLC.,dunno,2019_12_24,dunno,2019-12-34iso,X,-," live, maintenance",Commercial,site active
PCLinuxOS,Bill Reynolds,dev team,2003iso,2019.06,Semi-rolling,2019-06-16iso,X,Mandriva Linux,desktop,None,Active
Pop! OS,Carl Ritchell,System76,2017iso,20.04 LTS,2 years for LTS releases. 2-3 months after the next release for other releases.,2020-04-30iso,X,Ubuntu," desktop, laptop",None,Active
Pentoo," Michael Zanetta, Rick Farina, Jens Pranaitis",Pentoo,2005iso,2019.1,dunno,2019-01-17iso,X,Gentoo Linux," auditing, security",None,site active
Porteus,Fanthom,Porteus,2010iso,4.0,dunno,2018-04-29iso,X,Slackware," lightweight, portable",None,site active
Puppy Linux,Barry Kauler,Puppy Foundation,2003iso,8.0,dunno,2019-04-11iso,X," Independent, inspired from Vector linux"," lightweight, portable",None,site active
PureOS,Todd Weaver,Purism,2009iso,9.0,Rolling,2019-09-26iso,100% Free: GNU FSDG,Debian," general, security, privacy",None,site active
Qubes OS,Joanna Rutkowska,Invisible Things Lab,2012iso,4.0.3,dunno,2019-01-23iso,X,Xen and Fedora," security by compartmentalization, desktop",None,site active
Red Hat Enterprise Linux (RHEL),Red Hat,Red Hat,2002iso,8.2,10 years,2020-04-28iso,X," Red Hat Linux, Fedora"," server, workstation",Commercial,site active
Red Hat Linux,Red Hat,Red Hat,1995iso,9,dunno,2003-03-31,X,–," server, workstation",None,site inactive
ROSA,dunno,LLC NTC IT ROSA,2011iso,R11,dunno,2019-03-15,X,Mandriva LinuxMandriva," server, general",None,site active
Rocks Cluster Distribution," UCSD Supercomputing Center, Clustercorp"," UCSD Supercomputing Center, Clustercorp",2000iso,7.0,dunno,2015-12-01,X,Red Hat Linux," server, workstation",None,site active
Sabayon Linux,Fabio Erculiani,dev team,2005iso,19.03,dunno,2019-03-31,X,Gentoo Linux,general,None,site active
Salix OS," Cyrille Pontvieux, George Vlahavas, Pierrick Le Brun, Thorsten Mühlfelder",Salix team,2009iso,14.2,dunno,2016-08-29iso,X,Slackware,general,None,dunno
Scientific Linux," CERN, Fermilab",dev team,2004iso,7.6,dunno,2018-12-03,X," Red Hat Linux, Red Hat Enterprise Linux (RHEL)"," server, workstation",None,site inactive
Slackware,Patrick Volkerding,dev team,1993iso,14.2,dunno,2016-06-30,X,Softlanding Linux System (SLS),general,None,site active
Slax,Tomas Matejicek,Tomas Matejicek,2002iso,9.9.1,dunno,2019-06-17iso,X," Debian, Slackware (until Slax 9)",live,None,site active
SliTaz GNU/Linux,Christophe Lincoln,dev team,2008iso,Rolling,Rolling,2017-12-03iso,X,Independent,portable,None,site active
Solus,Ikey Doherty,dev team,2005iso,Rolling,Rolling,2020-01-25iso,X,–,desktop,None,site active
SolydXK,Arjen Balfoort,dev team,2013iso,201902,Debian packages as per Debian,2019-03-03iso,X,Debian,desktop,None,site active
SparkyLinux,dunno,Sparky Linux team,2012iso,5.10.1,dunno,2020-02-05iso,X,Debian," general, video games",None,site active
Source Mage GNU/Linux," Ryan Abrams, Eric Schabell",dev team,2002iso,0.62-11,dunno,2017-10-22iso,Source Mage Social Contract,Sorcerer,general,None,site active
SteamOS,Valve,Valve,2013iso,2.195,dunno,2019-07-19iso,X,Debian,video games,None,site active
SUSE Linux Enterprise,SUSE,SUSE,2000iso,15SP2,13 years per version,2020-07-21," Common code base for x86-64, Power, System z, Arm64"," Slackware, Jurix"," edge, workstation, server, supercomputer",Commercial,site active
Tails,dunno,Tails Development Team,2009iso,4.11,–,2020-09-22,X,Debian,security-focused aimed for anonymity and privacy,None,site active
Tiny Core Linux,Robert Shingledecker,Team Tiny Core,2009iso,11.0,dunno,2020-02-09iso,X," Independent, inspired from Damn Small Linux",portable,None,site active
Trisquel GNU/Linux,Rubén Rodríguez Pérez (quidam),Rubén Rodríguez Pérez (quidam),2005iso,8.0,Ubuntu LTS,desktop,None,site active
TurnKey GNU/Linux," Alon Swartz, Liraz Siri",TurnKey GNU/Linux Team,2008iso,15.x,Debian packages as per Debian; TurnKey packages for life of current major version (plus backports per request),2019-06-28iso,DFSG,Debian,server based software appliance library aiming to balance security and ease of use,None,site active
Ubuntu and Derivatives,Canonical Ltd.,Canonical Ltd.,2004iso,20.04.1 LTS," Standard releases 1 year, LTS releases 5 years. Flavor LTS releases 3 or 5 years. Ubuntu Pro 10 years.",2020-08-06iso,X,Debian," general, server, desktop, supercomputer, IBM mainframe",None,site active
Univention Corporate Server,Univention GmbH,Univention GmbH,2004iso,4.4-4," up to 6 months for the free Core Edition; if maintenance is purchased, its up to 7 years, see:",2020-03-24iso,X,Debian," home, business, and school",Core Edition is free of charge,site active
Ututo," Diego Saravia, Daniel Olivera",UTUTO dev team,2000iso,XS 2012,dunno,2012-04-27iso,100% Free: GNU FSDG,Ututo XS: Ubuntu,general,None,site active
VectorLinux,Robert S. Lange,dev team,1999iso,VL 7.2,dunno,2017-08-28,X,Slackware,desktop,None,dunno
Void Linux,Juan Romero Pardines,Juan RP and contributors,2008iso,Rolling,Rolling,2019-11-09iso,X," Independent, partially inspired by FreeBSD/NetBSD",general,None,site active
Webconverger,Kai Hendry,Webconverger Limited,2007iso,35.0,dunno,2016-05-19iso,X,Debian," kiosk software, digital signage",Commercial,site active
Xandros,Xandros Incorporated,Xandros Incorporated,2001iso,dunno,dunno,2007-07-26iso,X,Corel Linux,dunno,Commercial,site inactive
Zentyal,eBox Technologies,eBox Technologies,2005iso,6.1,dunno,2019-12-12iso,X," Debian, Ubuntu",small business server,Some editions are free of charge,dunno
Zenwalk,Jean-Philippe Guillemin,dev team,2004iso,Rolling,dunno,2018-03-09,X,Slackware,general,None,site active
Zorin OS,Zorin Group,Zorin Group,2009,OS 15,dunno,2019-06-05,X,Ubuntu," general, desktop"," Zorin OS Lite  ; Core are free, while Business and Ultimate are paid for",site active
Distribution,Founder,Maintainer,Initial release year,Current stable version,Security updates (years),Release date,System distribution commitment,Forked from,Target audience,Cost,Status
