,Display,Resolution,Colors,Controller,Game media,Operating System
Sega Nomad,3 in. LCD," data-sort-value=""71.7""  320 × 224"," 512 available, 64 simultaneous",Four-directional digital pad,Proprietary solid-state cartridge (compatible with Sega Genesis),
Mega Duck/Cougar Boy," 2.7"" (48 (h) x 51 (w) mm) STN dot matriix"," data-sort-value=""23""  160 × 144",4 monochrome green shades,Four-directional digital pad,Proprietary solid-state cartridge,
Watara Supervision," 3.4"", 61 mm x 61 mm (2.37"" x 2.37"") LCD [https://web.archive.org/web/20071230092850/http://www.silicium.org/console/supervision.htm SuperVision FAQ]"," data-sort-value=""25.6""  160 × 160 pixel display",4 monochrome green shades,Four-directional digital pad,Proprietary solid-state cartridge,
Atari Lynx II," 3.5"" LCD"," data-sort-value=""16.3""  160 × 102"," 4096 (12-bit), 16 per scanline",Four-directional digital pad,Proprietary solid-state cartridge,
Game Gear,3.2 in. LCD," data-sort-value=""23""  160 × 144"," 4,096 available, 32 simultaneous",Four-directional digital pad,Proprietary solid-state cartridge,
TurboExpress,TFT LCD," data-sort-value=""65.5""  256 × 256",512,Four-directional digital pad,Proprietary solid-state cartridge (compatible with TurboGrafx-16),
Game Boy,Reflective LCD," data-sort-value=""23""  160 × 144",4,D-Pad,Proprietary solid-state cartridge,
Atari Lynx," 3.5"" LCD (diagonal);  3.25"" x 1.88"""," data-sort-value=""16.3""  160 × 102"," 4096 (12-bit), 16 per scanline",Four-directional digital pad,Proprietary solid-state cartridge,
Game Pocket Computer,LCD," data-sort-value=""4.8""  75 × 64",2,Four-directional control pad,Proprietary solid-state cartridge,
Microvision,LCD," data-sort-value=""0.256""  16 × 16",4," 12 button keypad, one paddle",Proprietary solid-state cartridge,
Mi2 console,3.5 in. LCD," data-sort-value=""76.8""  240 × 320"," ""full color"""," Four-directional digital pad, shoulder buttons, action buttons, menu buttons, touch-screen, camera and motion sense"," built in, SD card or downloadable",
Xperia PLAY,"4"""," data-sort-value=""410""  854 × 480"," data-sort-value=""16777216"" 16M colors",Touchscreen Accelerometer
Touchpad
20× buttons,Google Play,Android 2.3.7 (Unofficial 5.1)
