,Description,Creator,First public release date,Latest stable version,Latest Stable Release Date,List Price (USD),Software license
HDR PhotoStudio,HDR (High Dynamic Range Editor) with human vision imaging model,Unified Color,200910,2.15.37,,,proprietary
Helicon Filter,Advanced image editor with a simplified tabbed interface,Helicon Soft Ltd.,200408,5.0.28,,,proprietary
ImageJ,Image processing program developed at the National Institutes of Health.,Wayne Rasband (NIH),1997,1.46m,,,Public Domain
ImageMagick," Command line software suite for displaying, converting, and editing raster image files",ImageMagick Studio LLC,1990,7.0.9-23,20200215,,Apache 2.0
iPhoto*,Image organizer and basic editor for Photos,Apple Inc.,2002,9.6,,,proprietary
IrfanView,Image and video viewer with basic editing functions,Irfan Skiljan,1996,4.44,20161220,,Freeware
Iridient Developer,Powerful raw image conversion application designed and optimized for macOS,Iridient Digital,2004,3.0.3,,,proprietary
KolourPaint,,KDE,2004,19.12.1,20200109,,BSD
Krita,Digital painting oriented free and open-source raster graphic editor with vector support. KDE/Calligra based.,KDE,2005,4.2.8,20191127,,GPL
LazPaint,Free multiplatform layered image editor,circular,2011,7.0.7,20191014,,GPL
LiveQuartz,Basic multi-layer photo editor,Romain Piveteau,2005,2.8,2018121,,proprietary
MacPaint*,Obsolete basic editor,Bill Atkinson,1984,2.0,,,proprietary
Microsoft Office Picture Manager*,Basic image editor,Microsoft,2002,14.0,,,proprietary
Microsoft Paint,Basic graphic creator and editor packaged with Microsoft Windows operating systems,Microsoft,1985,6.1,,,proprietary
Microsoft Photo Editor*,Obsolete basic image editor for Windows,Microsoft,2000,3.01,,,proprietary
mtPaint,photo editing application,Mark Tyler,20040913,3.40,20111230,free,GPL3
MyPaint,Digital painting application,Martin Renold,20050312,2.0.0,20200216,free,GPL2
OpenCanvas,,Portalgraphics,2000,4,,,proprietary
paint.net,Freeware image editor and graphics creator based on the .Net framework," Rick Brewster, et al.",20040506,4.0.19 (for Windows 7 SP1 or newer) / 3.5.11 (the last version to support Windows XP),2017102,,Freeware
Paint Tool SAI*,Simple and lightweight painting software,Systemax Software,20080225,1.2.5,20160425,~$50 (5500JPY),proprietary
PC Paintbrush*,Obsolete basic editor,ZSoft Corporation,1984,5,,,proprietary
Pencil2D,2D graphical animation software.,Pascal Naidon,,0.6.4,20190531,,GPL
Phatch,Editor for batch processing digital graphics and photographs.,Stani Michiels,,0.2.7,,,GPL
Photogenics,Made to create 32-bit HDRs,Idruna Software Inc.,1995," data-sort-value=""7""  HDR 7.0 ",,,proprietary
PhotoLine,Image editor with advanced features,Computerinsel (Germany),1995,20.53,2018,€59,proprietary
PhotoPerfect*,Image editor with some advanced features," Arcadia Software AG, Joachim Koopmann Software",2002,2.9,,,proprietary
Photos,Image organizer and basic editor for macOS; replaced iPhoto from OS X 10.10.3 onwards,Apple Inc.,2014,1.0,,,proprietary
Photo Raster,Advanced photo editor,David Levinsky,2012,0.9,,,proprietary
Picasa*," Efficient image organizer with basic editing tools, other image effects",Google,2002,3.9.141.259,20151009,Discontinued,Freeware
PicMaster," Has 300 filter effects, slide show, poster printing, mosaics, true 3D, more",Alexander Sabov,199912,4.03,,,proprietary
Pinta," Mid-level Free and Open Source raster graphics editor, based on Paint.Net",Jonathan Pobst,20100207,1.7,20200804,,MIT
PixBuilder Photo Editor,,WnSoft Graphic Software,200506,1.31,,,proprietary
Pixelmator,Image editor and graphics creator for macOS,Pixelmator Team ltd.,20070925,3.0,,,proprietary
Pixen,Pixel art and sprite editor for macOS,Open Sword Group,,3.8,,,proprietary
Pixia,Originally designed for Anime/Manga art.,Isao Maruoka,1998,4.70d,,,proprietary
PMview,Fast image viewer with basic editing functions,Peter Nielsen,1992,3.80 (2017),,,proprietary
Project Dogwaffle,Dan Ritchie retired but others continue active development,Dan Ritchie,1997,2011 (7.0) (1.2 available as freeware),,,proprietary
QFX,Mature and complete image editing package,Ron Scott,1990,8,,,proprietary
Rawstudio,Raw image processor.,Anders Brander  ; Anders Kvist,20060622,2.0,,,GPL 2
RawTherapee," Powerful free and cross-platform raw image editor, for developing raw photos from digital cameras.",Gabor Horvath,20060921,5.8,20200204,,GPL
Seashore,Basic counterpart to XCF format; full support for a few graphics formats,Mark Pazolli,20030116,2.5.7,20200215,,GPLv2
,Serif PhotoPlus," Complete editor and photo organizer suite; similar features and menus to other software from Serif; available as economy version or in bundle with clipart, effects, public domain image library; made for easy use",Serif,1999," data-sort-value=""18""  X8 ",20150810,,proprietary
,Shotwell,Image organizer for GNOME,Yorba Foundation,20090626,0.31.0,20190311,,LGPL 2.1
Tux Paint,Drawing program for young children.,Bill Kendrick,20020616,0.9.23,20180902,,GPL
TVPaint,2D animation software,Herve ADAM,19910616,9.5.11,,,proprietary
UFRaw,Raw image format processor,Udi Fuchs,,0.22,20150617,,GPL
Ulead PhotoImpact*,,Ulead Systems,,12,,,proprietary
Ultimate Paint*,Basic graphics editor based on Deluxe Paint," Joseph Ladanyi, Daniel Szabo",1998,2.88,,,proprietary
WinImages,Animation-centric,Black Belt Systems,1985,7.5,,,Freeware
Xara Photo  ; Graphic Designer,Graphic design program including photo editing and vector illustration tools,Xara,1995 (Windows),9,,,proprietary
XnView," Cross-platform image viewer used for converting, organising and editing graphical  ; video files.",Pierre-emmanuel Gougelet,1998 (1.06)," 2.20 (Windows)/0.64 (Linux, macOS) ",,,proprietary
XPaint,Simple Drawing program for Unix/X11 with Xaw3d widgets," David Koblas, Torsten Martinsen, Jean-Pierre Demailly",1993,2.10.2,20171113,,Custom free license
Zoner Photo Studio,All-in-one editor package,Zoner Inc.,,11.0 build 8,,,proprietary
