ext3,255 bytes," Any byte except NUL, /name=note-26",No limit definedname=note-12,"  data-sort-value=""2199023255552""  16 GiB to 2 TiBname=note-4","  data-sort-value=""35184372088832""  2 TiB to 32 TiB",dunno
ext4,255 bytes," Any byte except NUL, /name=note-26",No limit definedname=note-12,"  data-sort-value=""17592186044416""  16 GiB to 16 TiBname=note-4","  data-sort-value=""1152921504606846976""  1 EiB",232
NOVA,255 bytes," Any byte except NUL, /name=note-26",No limit definedname=note-12,"  data-sort-value=""18446744073709551616""  16 EiB","  data-sort-value=""18446744073709551616""  16 EiB",dunno
Lustre,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""18446744073709551616""  16 EiB on ZFS","  data-sort-value=""18446744073709551616""  16 EiB",dunno
GPFS,255 UTF-8 codepoints,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""0""  No limit found","  data-sort-value=""633825300114114700748351602688""  299 bytes (2 PiB tested)",dunno
GFS,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""9223372036854775808""  2 TiB to 8 EiBname=note-63 Depends on kernel version and arch. For 2.4 kernels the max is 2 TiB. For 32-bit 2.6 kernels it is 16 TiB. For 64-bit 2.6 kernels it is 8 EiB.","  data-sort-value=""9223372036854775808""  2 TiB to 8 EiBname=note-63",dunno
NILFS,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""9223372036854775808""  8 EiB","  data-sort-value=""9223372036854775808""  8 EiB",dunno
ReiserFS," 4,032 bytes/255 characters",Any byte except NUL or /name=note-26,No limit definedname=note-12,"  data-sort-value=""8796093022208""  8 TiBReiserFS has a theoretical maximum file size of 1 EiB, but ""page cache limits this to 8 Ti on architectures with 32 bit int"" (v3.6), 4 GiB (v3.5)","  data-sort-value=""17592186044416""  16 TiB",dunno
Reiser4," 3,976 bytes",Any byte except / and NUL,No limit definedname=note-12,"  data-sort-value=""8796093022208""  8 TiB on x86","  data-sort-value=""0"" dunno",dunno
OCFS,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""8796093022208""  8 TiB","  data-sort-value=""8796093022208""  8 TiB",dunno
OCFS2,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""4503599627370496""  4 PiB","  data-sort-value=""4503599627370496""  4 PiB",dunno
XFS,255 bytesNote that the filename can be much longer XFS#Extended attributes,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""9223372036854775808""  8 EiBname=note-9 XFS has a limitation under Linux 2.4 of 64 TiB file size, but Linux 2.4 only supports a maximum block size of 2 TiB. This limitation is not present under IRIX.","  data-sort-value=""9223372036854775808""  8 EiBname=note-9",dunno
JFS1,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""9223372036854775808""  8 EiB","  data-sort-value=""4503599627370496""  512 TiB to 4 PiB",dunno
JFS,255 bytes,Any Unicode except NUL,No limit definedname=note-12,"  data-sort-value=""4503599627370496""  4 PiB","  data-sort-value=""36028797018963968""  32 PiB",dunno
QFS,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""18446744073709551616""  16 EiBname=note-72 QFS allows files to exceed the size of disk when used with its integrated HSM, as only part of the file need reside on disk at any one time.","  data-sort-value=""4503599627370496""  4 PiBname=note-72",dunno
BFS,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""279172874240""  12,288 bytes to 260 GiBname=note-3 Varies wildly according to block size and fragmentation of block allocation groups.","  data-sort-value=""2305843009213693952""  256 PiB to 2 EiB",dunno
AdvFS,255 characters,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""17592186044416""  16 TiB","  data-sort-value=""17592186044416""  16 TiB",dunno
NSS,256 characters," Depends on namespace usedname=note-28 NSS allows files to have multiple names, in separate namespaces.",Only limited by client,"  data-sort-value=""8796093022208""  8 TiB","  data-sort-value=""8796093022208""  8 TiB",dunno
NWFS," 80 bytesname=note-52 Some namespaces had lower name length limits. ""LONG"" had an 80-byte limit, ""NWFS"" 80 bytes, ""NFS"" 40 bytes and ""DOS"" imposed 8.3 filename.",Depends on namespace usedname=note-28,No limit definedname=note-12,"  data-sort-value=""4294967296""  4 GiB","  data-sort-value=""1099511627776""  1 TiB",dunno
ODS-5,236 bytesname=note-15 Maximum combined filename/filetype length is 236 bytes; each component has an individual maximum length of 255 bytes.,dunno," 4,096 bytesname=note-16 Maximum pathname length is 4,096 bytes, but quoted limits on individual components add up to 1,664 bytes.","  data-sort-value=""1099511627776""  1 TiB","  data-sort-value=""1099511627776""  1 TiB",dunno
VxFS,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""18446744073709551616""  16 EiB","  data-sort-value=""0"" dunno",dunno
UDF,255 bytes,Any Unicode except NUL," 1,023 bytesname=note-43 This restriction might be lifted in newer versions.","  data-sort-value=""18446744073709551616""  16 EiB","  data-sort-value=""17592186044415""  512 MiB to 16 TiB",dunno
ZFS,255 bytes,Any Unicode except NUL,No limit definedname=note-12,"  data-sort-value=""18446744073709551616""  16 EiB","  data-sort-value=""302231454903657293676544""  256 ZiB (278 bytes)",2128
Btrfs,255 bytes,Any byte except / and NUL,No limit defined,"  data-sort-value=""18446744073709551616""  16 EiB","  data-sort-value=""18446744073709551616""  16 EiB",264
Minix V1 FS," 14 or 30 bytes, set at filesystem creation time",Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""268966912""  256.5 MiB name=note-file-size-vs-filesystem-size Sparse files can be larger than the file system size, even though they cant contain more data.","  data-sort-value=""67108864""  64 MiB",dunno
Minix V2 FS," 14 or 30 bytes, set at filesystem creation time",Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""2147483647""  2 GiB name=note-file-size-vs-filesystem-size","  data-sort-value=""1073741824""  1 GiB",dunno
Minix V3 FS,60 bytes,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""2147483647""  2 GiB","  data-sort-value=""4294967296""  4 GiB",dunno
VMFS2,128,Any byte except NUL or /name=note-26," 2,048","  data-sort-value=""4398046511104""  4 TiBname=note-74 Maximum file size on a VMFS volume depends on the block size for that VMFS volume. The figures here are obtained by using the maximum block size.","  data-sort-value=""70368744177664""  64 TiB",dunno
VMFS3,128,Any byte except NUL or /name=note-26," 2,048","  data-sort-value=""2199023255552""  2 TiBname=note-74","  data-sort-value=""70368744177664""  64 TiB",dunno
ISO 9660:1988," Level 1: 8.3,Level 2  ;amp; 3: ~ 180",Depends on LevelISO 9660#Restrictions,~ 180 bytes?,"  data-sort-value=""8796093022208""  4 Through the use of multi-extents, a file can consist of multiple segments, each up to 4 GiB in size. See ISO 9660#The 2 GiB (or 4 GiB depending on implementation) file size limit","  data-sort-value=""8796093022208""  8 Assuming the typical 2048 Byte sector size. The volume size is specified as a 32 bit value identifying the number of sectors on the volume.",dunno
" Joliet (""CDFS"")",64 Unicode characters," All UCS-2 code except *, /, \, :, ;, and ?",dunno,"  data-sort-value=""8796093022208""  same as ISO 9660:1988","  data-sort-value=""8796093022208""  same as ISO 9660:1988",dunno
Rock Ridge,255 bytes,Any byte except NUL or /name=note-26,No limit definedname=note-12,"  data-sort-value=""8796093022208""  same as ISO 9660:1988","  data-sort-value=""8796093022208""  same as ISO 9660:1988",dunno
UniFS,No limit defined (depends on client),dunno,No limit defined (depends on client),Available cache space at time of write (depends on platform),No limit defined,No limit defined
ISO 9660:1999,dunno,dunno,dunno,"  data-sort-value=""0"" dunno","  data-sort-value=""0"" dunno",dunno
High Sierra Format,dunno,dunno,dunno,"  data-sort-value=""0"" dunno","  data-sort-value=""0"" dunno",dunno
SquashFS,dunno,dunno,No limit defined,"  data-sort-value=""18446744073709551616""  16 EiB","  data-sort-value=""18446744073709551616""  16 EiB",dunno
File system,Maximum filename length,Allowable characters in directory entriesname=note-25,Maximum pathname length,Maximum file size,Maximum volume sizename=note-4,Max number of files
