Name,Parsing algorithm,Input grammar notation,Programming language," Grammar, code",Lexical analyzer,Development platform,Integrated development environment,Software license
Parsec," LL parser, LL parser",Haskell (programming language),Haskell (programming language),Mixed,none,All,No," Free, BSD licenses "
Parse::Yapp,LALR parser(1),?,Perl,Mixed,external,All,No," Free, GNU General Public License "
Parser Objects,LL parser(k),?,Java (programming language),Mixed,?,Java virtual machine,No," Free, Zlib License "
PCCTS,LL parser,?," C (programming language), C (programming language)",?,?,All,No,?
Python Lex-Yacc,LALR parser(1),BNF,Python (programming language),Mixed,generated,All,No," Free, MIT License "
PlyPlus,LALR parser(1),EBNF,Python (programming language),Separate,generated,All,No," Free, MIT License "
PRECC,LL parser(k),?,C (programming language),Separate,generated," DOS, DOS",No," Free, GNU General Public License "
QLALR,LALR parser(1),?,C++,Mixed,external,All,No," Free, GNU General Public License "
SableCC,LALR parser(1),?," C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language)",Separate,generated,Java virtual machine,No," Free, GNU Lesser General Public License "
SLK[4],LL parser(k) LL parser(k) LL parser(k),Extended Backus–Naur form," C (programming language), C (programming language), C (programming language), C (programming language), C (programming language)",Separate,external,All,No,SLK[5]
SLY,LALR parser(1),BNF,Python (programming language),Mixed,generated,All,No," Free, MIT License "
SP (Simple Parser),Recursive descent,Python (programming language),Python (programming language),Separate,generated,All,No," Free, GNU Lesser General Public License "
Spirit Parser Framework,Recursive descent parser,?,C++,Mixed,internal,All,No," Free, Boost Software License "
Styx,LALR parser(1),?," C (programming language), C (programming language)",Separate,generated,All,No," Free, GNU Lesser General Public License "
Sweet Parser,LALR parser(1),?,C++,Separate,generated,Microsoft Windows,No," Free, Zlib License "
Tap,LL parser(1),?,C++,Mixed,generated,All,No," Free, GNU General Public License "
TextTransformer,LL parser(k),?,C++,Mixed,generated,Microsoft Windows,Yes,Proprietary software
TinyPG,LL parser(1),?," C Sharp (programming language), C Sharp (programming language)",?,?,Microsoft Windows,Yes," Partial, Code Project Open License 1.0 "
Toy Parser Generator (page does not exist),Recursive descent parser,?,Python (programming language),Mixed,generated,All,No," Free, GNU Lesser General Public License "
TP Yacc,LALR parser(1),?,Turbo Pascal,Mixed,external,All,Yes," Free, GNU General Public License "
Tunnel Grammar Studio," Recursive descent, Recursive descent",Augmented Backus–Naur form,C++,Separate,generated,Microsoft Windows,Yes,Proprietary software
UltraGram," LALR parser(1), LALR parser(1), LALR parser",Backus–Naur form," C++, Java, C#, Visual Basic .NET",Separate,external,Microsoft Windows,Yes," Free, Public domain "
UniCC,LALR parser(1),Extended Backus–Naur form," C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language)",Mixed,generated,POSIX,No," Free, BSD licenses "
UrchinCC (page does not exist),LL parser(1),?,Java,?,generated,Java virtual machine,No,?
Whale," LR parser(?), some conjunctive stuff, see Whale Calf",?,C++,Mixed,external,All,No,Proprietary software
wisent,LALR parser(1),?," C++, C++",Mixed,external,All,No," Free, GNU General Public License "
Yacc Yacc/Yacc,LALR parser(1),Yacc,C (programming language),Mixed,external,POSIX,No," Free, Common Public License &amp; Common Public License "
Yacc++," LR parser(1), LR parser(1)",Yacc," C++, C++",Mixed,generated or external,All,No,Proprietary software
Yapps,LL parser(1),?,Python (programming language),Mixed,generated,All,No," Free, MIT License "
yecc,LALR parser(1),?,Erlang (programming language),Separate,generated,All,No," Free, Apache License 2.0 "
Visual BNF (page does not exist)," Canonical LR parser(1), Canonical LR parser(1)",?,C Sharp (programming language),Separate,generated,.NET Framework,Yes,Proprietary software
YooParse," Canonical LR parser(1), Canonical LR parser(1)",?,C++,Mixed,external,All,No," Free, MIT License "
Parse,Canonical LR parser(1),BNF in C++ types,?,?,none,C++11 standard compiler,No," Free, MIT License "
GGLL,LL parser(1),Graph,Java (software platform),Mixed,generated,Microsoft Windows,Yes," Free, MIT License "
Product,Parsing algorithm,Input grammar notation,Programming language," Grammar, code",Lexical analyzer,Development platform,Integrated development environment,Software license
