Maker,Model,Number,E-Books,,,,,,,,,,,,,,,,,,,,Images,,,,,Audio/Video,,,,,,
,,,.azw,.cbr,.cbz,.chm,.djvu,.doc,.docx,.epub,.fb2,.html,.lit,.mobi,.opf,.pdb,.pdf,.pdg,.rtf,.tcr,.tr3,.txt,.bmp,.gif,.jpg,.png,.tiff,.avi,.flv,.m4v,.mov,.mp3,.mpeg1/2/4,.wmv
EBS Technology (page does not exist),Agebook+6,12,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,Yes,No,No,Yes,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Ectaco,JetBook Color,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Elonex,Elonex ebook,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Endless ideas,BeBook&amp;One (Hanlin V3 clone),23,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Endless ideas,BeBook&amp;Mini (Hanlin V5 clone),23,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Foxit&amp;Corp.,ESlick,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Hanvon (page does not exist),WISEreader N516,Unknown,Unknown,Unknown,Unknown,No,Unknown,No,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Hanvon,WISEreader N518 19,Unknown,Unknown,Unknown,Unknown,No,Unknown,No,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Hanvon,WISEreader N520,Unknown,Unknown,Unknown,Unknown,No,Unknown,No,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Hanvon,WISEreader N526,Unknown,Unknown,Unknown,Unknown,No,Unknown,No,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Interead (page does not exist),COOL-ER,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
IPapyrus Inc. (page does not exist),IPapyrus 6 (page does not exist),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
IRex Technologies,Digital Reader DR800SG,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
iRex Technologies,Digital Reader 1000,09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
iRex Technologies,ILiad,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Iriver,Iriver Story,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Yes,Unknown,Yes,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Iriver,IRiver Story HD,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,No,Yes,Unknown,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Italica GmbH (page does not exist),Paperback 1.0,06,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,Yes,No,Yes,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Hanlin eReader,Hanlin V2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
JinKe,Hanlin V3,19,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
JinKe,Hanlin V5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
JinKe,Hanlin V6.0,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Kobo eReader,EReader,03,No,Unknown,Unknown,No,No,No,Unknown,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
Kobo,eReader WiFi,09,No,Yes,Yes,No,No,No,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
Kobo,eReader Touch,14,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Partial (raw markup),No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
Kogan.com,Kogan eBook Reader (page does not exist),16,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Kolporter,EClicto,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,Unknown,Unknown,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
pl:Manta (przedsiębiorstwo),Ebook04,15,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,No,No,No,No,Yes,No,Yes
Newsmy (page does not exist),E6210 (page does not exist),Unknown,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
Onyx International (page does not exist) Inc.,Boox&amp;A60/60S,22,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial (no DRM),No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
Onyx Inc.,Boox X60/60S,22,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial (no DRM),No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No
Onyx Inc.,Boox M90/90S,22,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial (no DRM),No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
Onyx Inc.,Boox M92/92s,22,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial (no DRM),No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
Onyx Inc.,Boox M96,26+,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial (no DRM),No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Onyx Inc.,BOOX I62,22,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial (no DRM),No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
Onyx Inc.,BOOX I62HD,22,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial (no DRM),No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
Onyx Inc.,BOOX I62ML,22,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial (no DRM),No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
PocketBook eReader,PocketBook eReader,18,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,No,Yes,Yes,No,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
PocketBook,PocketBook Pro 602,18,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,No,Yes,Yes,No,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
PocketBook,PocketBook Pro 603,18,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,No,Yes,Yes,No,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
PocketBook,PocketBook Pro 902,18,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,No,Yes,Yes,No,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
PocketBook,PocketBook Pro 903,18,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,No,Yes,Yes,No,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Samsung,Papyrus,03,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Samsung,E6,Unknown,No,Unknown,Unknown,No,No,Yes,Unknown,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Sony,Sony Digital Paper DPTS1,01,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sony,Librié (page does not exist),Unknown,Unknown,Unknown,Unknown,No,Unknown,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
Sony,Sony Reader,06,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
Sony,Sony Reader,09,No,Unknown,Unknown,No,No,No,Unknown,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Sony,PRS-505,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Yes,Yes,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Sony,Sony Reader,12,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,No,No,No,No,No,Yes,No,Yes,Unknown,No,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Sony,Sony Reader,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Sony,Sony Reader,11,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Spring Design,Alex eReader,05,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Stereo International Enterprise,ES600 (page does not exist),08,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
TrekStor,eBook Reader 3.0,08,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Partial (only from FileMgr,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No
Velocity Micro,Cruz Reader,14+,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,Yes,No,No,No,Yes,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Velocity Micro,Cruz (Tablet) T103,14+,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,Yes,No,No,No,Yes,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Velocity Micro,Cruz (Tablet) T301,14+,Yes,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,Yes,No,No,No,Yes,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Wolder Electronics (page does not exist),Boox-S,14,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,Unknown,Yes,No,Partial (no DRM),Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Maker,Model,Number,E-books,,,,,,,,,,,,,,,,,,,,Images,,,,,Audio/Video,,,,,,
