Software,Collaborative software,Issue tracking system,Scheduling (production processes),Project Portfolio Management,Resource Management,Document management system,Workflow management system,Report and Analyses
Genius Project,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Group-Office,Yes,No,Yes,No,No,Yes,No,No
GroveSite,Yes,Yes,Yes,Yes,No,Yes,No,No
Hall.com (software),Yes,No,No,No,Yes,Yes,No,No
Helix ALM,Yes,Yes,No,No,No,No,Yes,Yes
HeySpace,Yes,Yes,Yes,Yes,No,No,No,No
HP Software &amp; Solutions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Huddle (software),Yes,No,No,No,No,Yes,No,No
Hyperoffice,Yes,No,No,No,No,Yes,No,No
Imanageproject,Yes,No,No,No,Yes,Yes,No,No
InLoox,Yes,Yes,Yes,No,Yes,Yes,No,Yes
In-Step BLUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
IRise,Yes,Yes,Yes,No,No,No,Yes,Yes
Jira (software),Yes,Yes,Yes,No,No,No,Yes,Yes
Launchpad (website),Yes,Yes,No,Yes,No,No,No,No
LibrePlan,Yes,No,Yes,No,Yes,No,No,Yes
LiquidPlanner,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LisaProject,No,No,Yes,No,Yes,No,No,No
MacProject,No,No,Yes,No,Yes,No,No,No
Mantis Bug Tracker,No,Yes,No,No,No,No,No,No
MeisterTask,Yes,Yes,Yes,Unknown,Unknown,No,Yes,Yes
Métier,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Microsoft Dynamics AX,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Microsoft Office Project Server,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Microsoft Project,No,No,Yes,No,Yes,No,No,Yes
Microsoft SharePoint Server,Yes,Yes,Yes,No,No,Yes,Yes,No
Team Foundation Server,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Milestones Professional,No,Yes,Yes,No,No,Yes,No,No
WorkPLAN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NetPoint,No,No,Yes,No,Yes,No,No,No
NetSuite,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
O3Spaces,Yes,No,No,No,No,Yes,No,No
Onepager pro,Yes,No,Yes,Yes,Yes,Yes,No,Yes
OmniPlan,Yes,No,Yes,No,Yes,No,No,Yes
Open Workbench,No,No,Yes,No,Yes,No,No,No
OpenProj,No,No,Yes,No,Yes,No,No,No
OpenProject,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes (Via OpenProject plug-ins)[25]
Primavera (software) (Primavera P6),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PhpGroupWare,Yes,Yes,No,Unknown,Yes,Yes,No,No
PHProjekt,Yes,Yes,Yes,No,No,No,No,No
Pivotal Tracker,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Plandora,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Planisware,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PLANTA Project,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Project Builder,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Project KickStart,No,No,Yes,No,Yes,Yes[26],Yes[27],Yes[28]
Project Team Builder,Yes,No,Yes[29],Yes[29],Yes[29],No,Yes,Yes[29]
ProjectLibre,No (Enterprise ProjectLibre and PPMLibre under development)[10][30],No,Yes,No (Enterprise ProjectLibre and PPMLibre under development)[10][30],Yes,No[31],No,Yes
Windchill (software),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ProjectManager.com,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Project.net,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Projector PSA,No,No,Yes,No,Yes,Yes,Yes,Yes
Projectplace (software),Yes,Yes,Yes,Yes,Yes,Yes,No,No
Projektron BCS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ProjeQtOr,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Meridian Systems,Yes,Yes,Yes,Yes,Yes,Yes,Yes[32],Yes [33]
Meridian Systems,Yes,Yes,No,Yes,No,Yes,Yes,Yes
Pyrus (software),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
RationalPlan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Realisor,Yes,No,Yes,Yes,Yes,No,No,Yes
Redbooth,Yes[3],Unknown,Unknown,Yes[34],Yes[3],Yes[3],Unknown,Unknown
Redmine,Yes,Yes,Yes,Yes,No,Yes,Yes,No
Rillsoft Project &amp; Integration Server,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SAP Business ByDesign,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sciforma,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Scoro,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Severa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Smartsheet,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Spider Project,No,No,Yes,Yes,Yes,No,No,Yes
Streamtime Software,Yes,No,Yes,Yes,Yes,No,Yes,Yes
TACTIC (web framework),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Talygen Business Intelligence,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
TaskJuggler,Yes,No,Yes,No,Yes,No,No,No
Teamcenter,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TeamDynamixHE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TeamLab,Yes,No,Yes,Yes,No,Yes,No,Yes
Teamwork.com,Yes,No,Yes,Yes,Yes,Yes,No,Yes
Trac,Yes,Yes,No,No,No,No,Yes,No
Tracker (Business Software),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Traction TeamPage,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Trello,Yes,Yes,Yes,Unknown,Unknown,No,No,Unknown
Triskell,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Tuleap,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Twproject,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UniPhi,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
VPMi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Web2project,Yes,Yes,No,Yes,Yes,Yes,No,Yes
Workamajig,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Workfront,Yes,Yes[19],Yes[19],Yes[19],Yes,Yes,Yes,Yes
WorkPLAN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Workspace.com,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown
Wrike (software),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Zoho Office Suite,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
