Engine, Origin, Designer, Vehicle, Status, Use, Propellant, Specific impulse (s)[a], Thrust (N)[a], Mass (kg), Thrust:weight ratio[b], Chamber pressure (bar), Oxidiser:fuel ratio
LE-5B, IMG Japan, Mitsubishi JAXA, H-IIA H-IIB, Active, Upper, LH2 / LOX, 447[17], 137000, 269, 51.93, 36.0, 5
LE-7A, IMG Japan, Mitsubishi JAXA, H-IIA H-IIB, Active, 1st, LH2 / LOX, 438[18] 338 (SL)[18], 1098000 870000 (SL), 1800, 62.2, 121, 5.9
Lightning 1, IMG USA, Firefly Aerospace, Alpha, Development, 2nd, RP-1 / LOX, 322[19], 70100[19], , , , 
Merlin 1D FT, IMG USA, SpaceX, Falcon 9 B5 Falcon Heavy, Active, 1st, RP-1 / LOX, 311, 914000[20] 845000 (SL)[20], 470, 194.5[20], , 
Merlin Vacuum 1D, IMG USA, SpaceX, Falcon 9 B5 Falcon Heavy, Active, 2nd, RP-1 / LOX, 348[21], 981000[22], , , , 2.36
Mira (LM10), IMG Italy, Avio, Vega E[23], Development, 3rd[23], CH4 / LOX[23], 362.3[23], 98100[23], 250[23], 40[23], , 3.4[23]
NewtonThree, IMG USA, Virgin Galactic, LauncherOne, Development, Booster, RP-1 / LOX, , 266893[24], , , , 
NewtonFour, IMG USA, Virgin Galactic, LauncherOne, Development, 2nd, RP-1 / LOX, , 22241[24], , , , 
NK-33A (AJ26-62) 11Д111 / 14Д15, IMG Soviet Union, JSC Kuznetsov, Antares 100 Soyuz-2-1v, Active, 1st, RP-1 / LOX, 331[25] 297 (SL), 1680000 1510000 (SL), 1222, 136.8, 145, 
P80, IMG Europe, Avio, Vega, Active, 1st, HTPB, 280[26], 3015000[26], 96000 with fuel, , , 
P120C, IMG Europe, Avio, Ariane 6 Vega-C, Development, Booster 1st, HTPB, 279[27], 4650000[27], 161000 with fuel[27], , , 
P230, IMG Europe, Avio, Ariane 5, Active, Booster, HTPB, 286[28] 259 (SL), 6470000 5860000 (SL), 269000 with fuel[28], , , 
S139, IMG India, SDSC, PSLV, Active, 1st, HTPB, 269[29], 4860000, 160200 with fuel, , 58, 
Raptor[30], IMG USA, SpaceX, Starship, Development, 1st 2nd, CH4 / LOX, 356[31] 330 (SL), 2205000 (SL est)[32], ~1360 (goal)[33], ≥170 (goal)[33], 330[34], 3.6[35]
Raptor Vacuum[30], IMG USA, SpaceX, Starship, Development, 2nd, CH4 / LOX, 380+[36], 2150000[37], ~1360 (goal)[33], ≤120 (goal)[33], 330[34], 3.6[35]
RD-0124 14Д23, IMG Russia, KBKhA, Soyuz-2.1b Soyuz-2-1v Angara, Active, 2nd 3rd, RP-1 / LOX, 359[38], 294300, 520, 57.7, 160, 
RD-0146D, IMG Russia, KBKhA, Angara, Development, Upper, LH2 / LOX, 470[39], 68600, , , 59, 
RD-107A 14Д22, IMG Russia, NPO Energomash, Soyuz-FG Soyuz-2, Active, 1st, RP-1 / LOX, 320.2[40] 263.3 (SL), 1019892 839449 (SL), 1090, 78.53, 61.2, 
RD-108A 14Д21, IMG Russia, NPO Energomash, Soyuz-FG Soyuz-2, Active, 2nd, RP-1 / LOX, 320.6[40] 257.7 (SL), 921825 792377 (SL), 1075, 75.16, 55.5, 
RD-171M[c]11Д520, IMG Russia, NPO Energomash, Zenit-2M Zenit-3SL Zenit-3SLB Zenit-3SLBF Soyuz-5, Active, 1st, RP-1 / LOX, 337.2[41] 309.5 (SL), 7904160 7256921 (SL), 9300, 79.57, 250, 
RD-180, IMG Russia, NPO Energomash, Atlas V Atlas III, Active, 1st, RP-1 / LOX, 338.4[42] 311.9 (SL), 4152136 3826555 (SL), 5480, 71.2, 261.7, 2.72
RD-181, IMG Russia, NPO Energomash, Antares 200, Active, 1st, RP-1 / LOX, 339.2[43] 311.9 (SL), 2085000 1922000 (SL), 2200, 89, 262.6, 
RD-191, IMG Russia, NPO Energomash, Angara, Active, 1st, RP-1 / LOX, 337.5[44] 311.2 (SL), 2084894 1922103 (SL), 2200, 89.09, 262.6, 
RD-193, IMG Russia, NPO Energomash, Soyuz-2-1v, Development, 1st, RP-1 / LOX, 337.5[45] 311.2 (SL), 2084894 1922103 (SL), 1900, 103.15, , 
RD-276 14Д14М, IMG Russia, NPO Energomash, Proton-M, Active, 1st, N2O4 / UDMH, 315.8[46] 288 (SL), 1831882 1671053 (SL), 1120, 171.2, 168.5, 
RD-8 11D513, IMG Soviet Union, Pivdenne/Pivdenmash, Zenit, Active, 2nd vernier, RP-1 / LOX, 342, 78450, 380, , 77.47, 2.4
RD-801, IMG Ukraine, Pivdenne/Pivdenmash, Mayak, Development, 1st, RP-1 / LOX, 336 [47] 300.7 (SL), 1339255 1198608 (SL), 1630, , 180, 2.65
RD-809K, IMG Ukraine, Pivdenne/Pivdenmash, Mayak, Development, Upper, RP-1 / LOX, 352 [47], 98067, 330, , , 2.62
RD-810, IMG Ukraine, Pivdenne/Pivdenmash, Mayak Zenit, Development, 1st, RP-1 / LOX, 335.5 [48] 299 (SL), 2104890 1876149 (SL), 2800, , 180, 2.65
RD-843, IMG Ukraine, Pivdenne/Pivdenmash, Vega, Active, upper, N2O4 / UDMH, 315.5, 2452, 15.93, , 20.4, 2.0
RD-861K, IMG Ukraine, Pivdenne/Pivdenmash, Cyclone-4M, Development, 2nd, N2O4 / UDMH, 330 [49], 77629, 207, , , 2.41
RD-870, IMG Ukraine, Pivdenne/Pivdenmash, Cyclone-4M, Development, 1st, RP-1 / LOX, 340 [50] 301.5 (SL), 876715 777667 (SL), 1353, , , 2.684
Reaver 1, IMG USA, Firefly Aerospace, Alpha, Development, 1st, RP-1 / LOX, 295.6[19], 184000[19], , , , 
RL-10A-4-2[51], IMG USA, Aerojet Rocketdyne, Atlas IIIB Atlas V, Active, Upper, LH2 / LOX, 451, 99195, 168, 60.27, 42, 5.5
RL-10B-2[51], IMG USA, Aerojet Rocketdyne, Delta III Delta IV SLS, Active, Upper, LH2 / LOX, 465.5, 110093, 301, 37.27, 44, 5.88
RL-10C-1[51], IMG USA, Aerojet Rocketdyne, Delta III Delta IV SLS Vulcan, Active, Upper, LH2 / LOX, 450, 101820, 191, 54.5, 44, 5.5
RS-25, IMG USA, Rocketdyne, Space Shuttle SLS, Active, 1st, LH2 / LOX, 452.3 366 (SL), 2279000 1860000 (SL)[52], 3526, 53.79, 206.4, 
RS-68A[d], IMG USA, Rocketdyne, Delta IV Delta IV Heavy, Active, 1st, LH2 / LOX, 411[53] 362 (SL), 3558577 3135996 (SL), 6686, 54.31, 109, 5.97
Rutherford, IMG New Zealand IMG USA, Rocket Lab, Electron, Active, 1st, RP-1 / LOX, 311, 24465 16890 (SL), , , , 
Rutherford Vacuum, IMG New Zealand IMG USA, Rocket Lab, Electron, Active, 2nd, RP-1 / LOX, 343, 24465, , , , 
S200, IMG India, SDSC, GSLV Mk III, Active, Booster, HTPB, 274.5[54], 5150000[55][56][57], 207000 with fuel[54], , , 
SCE-200, IMG India, LPSC, GSLV Mk III ULV, Development, Upper main, RP-1 / LOX, 335 299 (SL), 2030000 1820000 (SL), 2700, , 180, 
SLS Solid Rocket Booster[e], IMG USA, Orbital ATK, SLS, Development, Booster, PBAN, 267, 16000000, 730000 with fuel, , , 
SLV-1, IMG India, Godrej & Boyce, PSLV, Active, Booster, HTPB, 253[58], 502600, 10800 with fuel, , 43, 
SRB-A3, IMG Japan, IHI Aerospace JAXA, H-IIA H-IIB Epsilon, Active, Booster, HTPB, 283.6[59], 2305000 2150000 (SL), 76600 with fuel, , 111, 
TEPREL, IMG Spain, PLD Space, Miura 1 Miura 5, Operational, 1st, RP-1 / LOX, 122, 32000 (SL), , , , 
TQ-12[60], IMG China, Landspace, ZQ-2, Development, 1st, CH4 / LOX, 284, 667000 (SL), , , 101, 
Vikas (rocket engine), IMG India, LPSC, PSLV GSLV GSLV Mk III, Active, 2nd main booster, N2O4 / UDMH, 262, 680500–804500 600500–756500 (SL), , , 53.0–58.5, 
Vinci, IMG Europe, Snecma, Ariane 6, Development, Upper, LH2 / LOX, 467[61], 180000, 280, 65.60, 61, 
Vulcain 2, IMG Europe, Snecma, Ariane 5, Active, 1st, LH2 / LOX, 429[62] 318 (SL)[63], 1359000[62] 939500 (SL)[63], 1800[62], 77.04, 117.3[62], 
YF-100, IMG China, AALPT, Long March 5 Long March 6 Long March 7, Active, Booster 1st, RP-1 / LOX, 335[64] 300 (SL), 1340000 1200000 (SL), , , 180, 
YF-115, IMG China, AALPT, Long March 6 Long March 7, Active, 2nd, RP-1 / LOX, 341.5, 176500, , , , 
YF-21B, IMG China, AALPT, Long March 2E Long March 2F Long March 3, Active, Booster 1st, N2O4 / UDMH, 260.66 (SL)[65], 740400 (SL)[65], , , , 
YF-21C, IMG China, AALPT, Long March 2C Long March 2D Long March 3A Long March 3B Long March 3C Long March 4B Long March 4C, Active, 1st, N2O4 / UDMH, 260.7 (SL)[65], 740400 (SL)[65], , , , 
YF-25, IMG China, AALPT, Long March 3B Long March 3C, Active, Booster, N2O4 / UDMH, 260.66 (SL)[65], 740400 (SL)[65], , , , 
YF-22B, IMG China, AALPT, Long March 2E Long March 2F, Active, 2nd, N2O4 / UDMH, 298.0[65], 738400, , , , 
YF-22C, IMG China, AALPT, Long March 2C Long March 2D Long March 4B Long March 4C, Active, 2nd, N2O4 / UDMH, 298.0[65], 742040, , , , 
YF-22D, IMG China, AALPT, Long March 3, Active, 2nd, N2O4 / UDMH, 298.0[65], 741400, , , , 
YF-22E, IMG China, AALPT, Long March 3A Long March 3B Long March 3C, Active, 2nd, N2O4 / UDMH, 298.0[65], 741400, , , , 
YF-40, IMG China, AALPT, Long March 4B Long March 4C, Active, 3rd, N2O4 / UDMH, 303, 103000, , , , 
YF-50D, IMG China, AALPT, Long March 3B Long March 3C Long March 5 Long March 7, Active, Upper, N2O4 / UDMH, 315.5, 6500, , , , 
YF-73, IMG China, AALPT, Long March 3, Active, 3rd, LH2 / LOX, 420.0, 44150, , , , 
YF-75, IMG China, AALPT, Long March 3A Long March 3B Long March 3C, Active, 3rd, LH2 / LOX, 438.0[65], 167170, , , , 
YF-75D, IMG China, AALPT, Long March 5, Active, 2nd, LH2 / LOX, 442.0, 86260, , , , 
YF-77, IMG China, AALPT, Long March 5, Active, 1st, LH2 / LOX, 430 310.2 (SL), 700000 510000 (SL), 2700, , 102, 
YF-90, IMG China, AALPT, Long March 9, Development, 2nd, LH2 / LOX, 453, 2300000, , , , 
YF-100, IMG China, AALPT, Long March 7 Long March 5, Active, 1st, RP-1/ LOX, 300, 1223500, 2700, , 133, 
YF-130, IMG China, AALPT, Long March 9, Development, 1st, RP-1/ LOX, 306, 4800000, , , , 
Zefiro 9A, IMG European Union, Avio, Vega, Active, 3rd, HTPB, 295.2[66], 314000[66], 11400 with fuel, , 75, 
Zefiro 23, IMG European Union, Avio, Vega, Active, 2nd, HTPB, 287.5[67], 1122000[67], 25935 with fuel, , , 
Delphin, IMG USA, Astra Space, Rocket 3.0[68], Active, 1st, RP-1/LOX[69], , 27000[70], , , , 
Aether, IMG USA, Astra Space, Rocket 3.0[71], Active, 2nd, RP-1/LOX[69], , , , , , 
