Unit,Base,American,British,ANZAC,Soviet,French,German,Italian,Japanese
,MV Iridio Mantovani (page does not exist),,,,,,,Pacific 1940 Second Edition,
,Liberty ship,Europe,Europe,Pacific 1940,Pacific 1940,Pacific 1940,,,
,HMNZS Monowai (F59),,,Pacific 1940 Second Edition,,,,,
,Yamazuki Maru  class,,,,,,1941,,1941
Destroyer,Akizuki-class destroyer (1942),,,,,,1941,,1941
,Fubuki-class destroyer,,,,,,,,Pacific
,Gnevny-class destroyer,,,,1942,Europe 1940,,,
,Fletcher-class destroyer,Europe,Europe,Pacific 1940,Europe,,,,
,HMS Saumarez (G12),,1942 Second Edition,,,,,,
,Soldati-class destroyer,,,,,,,Pacific 1940 Second Edition,
,Allen M. Sumner-class destroyer,1941,1941,,1941,,,,
,Tribal-class destroyer (1936),,,Pacific 1940 Second Edition,,,,,
,German World War II destroyers,,,,,,Europe,Anniversary,
Submarine,Type B submarine,,,,,,,,Pacific
,Kaichu type submarine,,,,,,1941,,1941
,Marconi-class submarine,,,,,,,Pacific 1940 Second Edition,
,Gato-class submarine,Europe,Europe,Pacific 1940,Europe,Europe 1940,,,
,British S-class submarine (1931),,,Pacific 1940 Second Edition,,,,,
,Soviet S-class submarine,,,,Europe 1940 Second Edition,Europe 1940 Second Edition,,,
,HMS Truculent (P315),,1942 Second Edition,,,,,,
,British U-class submarine,1941,1941,,1941,,,,
,German Type VII submarine,,,,,,Europe,Anniversary,
Cruiser,Admiral Hipper-class cruiser,,,,,,Anniversary,Anniversary,
,County-class cruiser,,Anniversary,Pacific 1940,Anniversary,,,,
,Kirov-class cruiser,,,,1942,Europe 1940,,,
,Portland-class cruiser,Guadalcanal,,,,,,,
,Takao-class cruiser,,,,,,,,Guadalcanal
,Zara-class cruiser (Italy),,,,,,,Europe 1940 Second Edition,
Carrier,Japanese aircraft carrier Akagi,,,,,,1941,,1941
,Italian aircraft carrier Aquila,,,,,,,Europe 1940 Second Edition,
,German aircraft carrier Graf Zeppelin,,,,,,Europe,Anniversary,
,Illustrious-class aircraft carrier,,Europe,Pacific 1940,Europe,Europe 1940,,,
,Kostromitinova-class aircraft carrier (page does not exist),1941,1941,,1941,,,,
,1942 Design Light Fleet Carrier,,,1942 Second Edition,,,,,
,Japanese aircraft carrier Shinano,,,,,,,,Pacific
,USS Wasp (CV-7),Europe,,,,,,,
Battleship,Bismarck-class battleship,,,,,,Europe,Anniversary,
,Gangut-class battleship,,,,1942,Europe 1940,,,
,HMS Hood (51),1941,1941,,1941,,,,
,Iowa-class battleship,Europe,,,,,,,
,Kongō-class battlecruiser,,,,,,1941,,1941
,Littorio-class battleship,,,,,,,Europe 1940 Second Edition,
,Revenge-class battleship,,Europe,Pacific 1940,Europe,,,,
,HMS Warspite (03),,,1942 Second Edition,,,,,
,Yamato-class battleship,,,,,,,,Pacific
Fighter,Macchi C.202,,,,,,,Europe 1940 Second Edition,
,CAC Boomerang,,,Pacific 1940 Second Edition,,,,,
,Focke-Wulf Fw 190,,,,,,1941,,1941
,Messerschmitt Bf 109,,,,,,Anniversary,Anniversary,
,Mikoyan-Gurevich MiG-3,,,,Pacific 1940 Second Edition,Pacific 1940 Second Edition,,,
,P-38 Lightning,Europe,,,,,,,
,Curtiss P-40 Warhawk,1941,1941,,1941,,,,
,Supermarine Spitfire,,Europe,Pacific 1940,,,,,
,Junkers Ju 87,,,,,,Europe,,
,F4F Wildcat,Pacific,,,,,,,
,Yakovlev Yak-9,,,,Europe,Europe 1940,,,
,A6M Zero,,,,,,,,Pacific
Tactical Bomber,SBD Dauntless,Pacific 1940,,,,,,,
,De Havilland Mosquito,,Pacific 1940,Pacific 1940,,,,,
,Savoia-Marchetti SM.79,,,,,,,Europe 1940 Second Edition,
,Junkers Ju 87,,,,,,Europe 1940,Europe 1940,
,Ilyushin Il-2,,,,Europe 1940,Europe 1940,,,
,Handley Page Hampden,,,Pacific 1940 Second Edition,,,,,
,Aichi D3A,,,,,,,,Pacific 1940
Bomber,B-17 Flying Fortress,Europe,,,,,,,
,Mitsubishi G4M,,,,,,,Anniversary,Pacific
,Handley Page Halifax,,Europe,Pacific 1940,,,,,
,Heinkel He 111,,,,,,1941,,1941
,Junkers Ju 88,,,,,,Europe,Europe 1940,
,Avro Lancaster,1941,1941,,1941,,,,
,Piaggio P.108,,,,,,,Europe 1940 Second Edition,
,Petlyakov Pe-8,,,,Europe,Europe 1940,,,
,Lockheed Ventura,,,Pacific 1940 Second Edition,,,,,
