,Description,Creator,First public release date,Latest stable version,Latest Stable Release Date,List Price (United States dollar),Software license
Chasys Draw IES," Image Editor with layers, animation, icon edit, super-res, batch and camera raw ",John Paul Chacha,2001,4.56.01," November 12, 2018",,Freeware
CinePaint," Moving picture, photo and graphics editor ",Robin Rowe," July 4, 2002 ",1.0-4," May 8, 2013",,GPL
CodedColor PhotoStudio Pro,An bitmap graphics editor and image organizer for Windows pc,1STEIN Corp.,2001,6.2,,,Proprietary software
Corel PaintShop Pro,Advanced image editor and graphics creator,Jasc Software,1992,X7,,,Proprietary software
Corel Painter,Made to create natural-looking artistic images," Mark Zimmer, Tom Hedges, John Derry ",August 1991,15.1.0.740," January 12, 2016",,Proprietary software
Corel PHOTO-PAINT,Professional image editor and graphics creator with advanced features,Corel Corporation,1992,X7/17,,,Proprietary software
Darktable,Photography workflow application and raw developer,Johannes Hanika,April 2009,3.0.0," December 24, 2019",,GPL 3
Deluxe Paint*,Discontinued basic editor,Dan Silva,1985,5.2,1995,,Proprietary software
Deneba Canvas,Graphics editor and creator supporting both raster graphics and Vector graphics.It also work on GIS data.," Jorge Miranda, Joaquin de Soto, Manny Menendez ",September 1987,14,,,Proprietary software
DigiKam,Free photo organizer and image editor," Renchi Raju, Gilles Caulier ",2002,6.4.0," November 2, 2019",,GPL
Digital Photo Professional,Photo organizer and image editor from Canon,Canon Inc.,,4.2.10,,,Proprietary software
Erdas Imagine,Advanced Remote sensing and Remote sensing ability; handles Remote sensing images," ERDAS, Inc. ",1980,2016 (16)," June 14, 2016",,Proprietary software
Fatpaint,Full featured web-based graphic design and photo editing application,Mersica Inc.,2010,1.99.55,,,Freeware
Fotografix," Freeware, portable image editor ",L. Madhavan," April 14, 2009 ",1.5,,,Freeware
F-Spot,Image viewer and organizer for GNOME,Ettore Perazzoli,2005,0.8.2," December 19, 2010",,GPLv2
G'MIC,Free command line software for 2D or 3D image processing and visualization,David Tschumperlé,October 2008,2.8.3," January 23, 2020",,CeCILL
GIMP,Free image editor and graphics creator," Spencer Kimball (computer programmer), Spencer Kimball (computer programmer) ",January 1996,2.10.18," February 24, 2020",,GNU Lesser General Public License v2.7+GNU Lesser General Public License
GimPhoto," Modification of the free and open-source graphics program GNU Image Manipulation Program (GIMP), with the intent to be a free alternative to Adobe Photoshop. ",Ek Kian,,24.1," December 30, 2014",,GPLv2
GIMPshop,GIMP with a GUI similar to Adobe Photoshop,Scott Moschella,,2.2.11,,,GPL
GNU Paint,Free and open-source raster graphics editor,Andy Tai," September 10, 2007 ",0.3.3,,,GPL
GrafX2,GrafX2 with a GUI similar to Deluxe Paint," Sunset Design (Guillaume Dorme, Karl Maritaud) ",1996,2.7," February 1, 2020",,GPL
GraphicConverter," Image viewer, converter, organizer and editor capable of importing around 200 and exporting 80 different image file types. Compatible with many Photoshop plug-ins ",Thorsten Lemke,1992,10,,,Proprietary software
GraphicsMagick,Commandline image converter and editor,GraphicsMagick Group,2002,1.3.34," December 24, 2019",,MIT
GThumb,Image viewer and organizer for the GNOME desktop environment,Paolo Bacchilega,2001,3.8.3," December 23, 2019",,GPL3
HDR PhotoStudio,HDR (High Dynamic Range Editor) with human vision imaging model,Unified Color,October 2009,2.15.37,,,Proprietary software
Helicon Filter,Advanced image editor with a simplified tabbed interface,Helicon Soft Ltd.,August 2004,5.0.28,,,Proprietary software
ImageJ,Image processing program developed at the National Institutes of Health.,Wayne Rasband (NIH),1997,1.46m,,,Public Domain
ImageMagick," Command line software suite for displaying, converting, and editing raster image files ",ImageMagick Studio LLC,1990,7.0.9-23," February 15, 2020",,Apache 2.0
IPhoto*,Image organizer and basic editor for MacOS; replaced by MacOS,Apple Inc.,2002,9.6,,,Proprietary software
IrfanView,Image and video viewer with basic editing functions,Irfan Skiljan,1996,4.44[4]," December 20, 2016 ",,Freeware
Iridient Developer,Powerful raw image conversion application designed and optimized for macOS,Iridient Digital,2004,3.0.3,,,Proprietary software
KolourPaint,,KDE,2004,19.12.1," January 9, 2020",,BSD license
Krita,Digital painting oriented free and open-source raster graphic editor with vector support. KDE/Calligra based.,KDE,2005,4.2.8," November 27, 2019",,GPL
LazPaint,Free multiplatform layered image editor,circular,2011,7.0.7," October 14, 2019",,GPL
LiveQuartz,Basic multi-layer photo editor,Romain Piveteau,2005,2.8," December 1, 2018",,Proprietary software
MacPaint*,Obsolete basic editor,Bill Atkinson,1984,2.0,,,Proprietary software
Microsoft Office Picture Manager*,Basic image editor,Microsoft,2002,14.0,,,Proprietary software
Microsoft Paint,Basic graphic creator and editor packaged with Microsoft Windows operating systems,Microsoft,1985,6.1,,,Proprietary software
Microsoft Photo Editor*,Obsolete basic image editor for Windows,Microsoft,2000,3.01,,,Proprietary software
MtPaint,Pixel art and Pixel art application,Mark Tyler," September 13, 2004 ",3.40," December 30, 2011 ",free,GPL3
MyPaint,Digital painting application,Martin Renold," March 12, 2005 ",2.0.0," February 16, 2020 ",free,GPL2
OpenCanvas,,Portalgraphics,2000,4,,,Proprietary software
Paint.NET,Freeware image editor and graphics creator based on the .Net framework," Rick Brewster, Paint.NET "," May 6, 2004 ",4.0.19 (for Windows 7 SP1 or newer) / 3.5.11 (the last version to support Windows XP)," October 2, 2017",,Freeware[5][6]
Paint Tool SAI*,Simple and lightweight painting software,Systemax Software," February 25, 2008 ",1.2.5," April 25, 2016",~$50 (5500JPY),Proprietary software
PC Paintbrush*,Obsolete basic editor,ZSoft Corporation,1984,5,,,Proprietary software
Pencil2D,2D graphical animation software.,Pascal Naidon,,0.6.4," May 31, 2019",,GPL
Phatch,Editor for batch processing digital graphics and photographs.,Stani Michiels,,0.2.7,,,GPL
Photogenics,Made to create 32-bit High dynamic range imaging,Idruna Software Inc.,1995,HDR 7.0,,,Proprietary software
PhotoLine,Image editor with advanced features,Computerinsel (Germany),1995,20.53,2018,€59,Proprietary software
PhotoPerfect*,Image editor with some advanced features," Arcadia Software AG, Joachim Koopmann Software ",2002,2.9,,,Proprietary software
Photos (Apple),Image organizer and basic editor for MacOS; replaced iPhoto from OS X 10.10.3 onwards,Apple Inc.,2014,1.0,,,Proprietary software
Photo Raster,Advanced Online Online,David Levinsky,2012,0.9,,,Proprietary software
Picasa*," Efficient image organizer with basic editing tools, other image effects ",Google,2002,3.9.141.259," October 9, 2015",Discontinued,Freeware
PicMaster," Has 300 filter effects, slide show, poster printing, mosaics, True 3D, more ",Alexander Sabov,December 1999,4.03,,,Proprietary software
Pinta (software)," Mid-level Free and Open Source raster graphics editor, based on Paint.Net ",Jonathan Pobst," February 7, 2010 ",1.7," August 4, 2020",,MIT License
PixBuilder Photo Editor (page does not exist),,WnSoft Graphic Software,June 2005,1.31,,,Proprietary software
Pixelmator,Image editor and graphics creator for MacOS,Pixelmator Team ltd.," September 25, 2007 ",3.0,,,Proprietary software
Pixen (page does not exist),Pixel art and sprite editor for MacOS,Open Sword Group,,3.8,,,Proprietary software
Pixia,Originally designed for Anime/Manga art.,Isao Maruoka,1998,4.70d,,,Proprietary software
PMview,Fast image viewer with basic editing functions,Peter Nielsen,1992,3.80 (2017),,,Proprietary software
Project Dogwaffle,Dan Ritchie retired but others continue active development[7],Dan Ritchie,1997,2011 (7.0) (1.2 available as freeware),,,Proprietary software
QFX,Mature and complete image editing package,Ron Scott,1990,8,,,Proprietary software
Rawstudio,Raw image processor.,Anders Brander &amp; Anders Kvist," June 22, 2006 ",2.0,,,GPL 2
RawTherapee," Powerful free and cross-platform raw image editor, for developing raw photos from digital cameras. ",Gabor Horvath," September 21, 2006 ",5.8," February 4, 2020",,GPL
Seashore (software)," Basic counterpart to GIMP, using its GIMP format; full support for a few graphics formats ",Mark Pazolli," January 16, 2003 ",2.5.7," February 15, 2020",,GPLv2
Serif PhotoPlus," Complete editor and photo organizer suite; similar features and menus to other software from Serif; available as economy version or in bundle with clipart, effects, public domain image library; made for easy use ",Serif Europe,1999,X8," August 10, 2015",,Proprietary software
Shotwell (software),Image organizer for GNOME,Yorba Foundation," June 26, 2009 ",0.31.0," March 11, 2019",,LGPL 2.1
Tux Paint,Drawing program for young children.,Bill Kendrick," June 16, 2002 ",0.9.23," September 2, 2018",,GPL
TVPaint Animation,2D animation software,Herve ADAM," June 16, 1991 ",9.5.11,,,Proprietary software
UFRaw,Raw image format processor,Udi Fuchs,,0.22," June 17, 2015",,GPL
Ulead PhotoImpact*,,Ulead Systems,,12,,,Proprietary software
Ultimate Paint (page does not exist)*,Basic graphics editor based on Deluxe Paint," Joseph Ladanyi, Daniel Szabo ",1998,2.88,,,Proprietary software
WinImages,Animation-centric,Black Belt Systems,1985,7.5,,,Freeware
Xara Photo &amp; Graphic Designer,Graphic design program including photo editing and vector illustration tools,Xara,1995 (Windows),9,,,Proprietary software
XnView," Cross-platform image viewer used for converting, organising and editing graphical &amp; video files. ",Pierre-emmanuel Gougelet,1998 (1.06)," 2.20 (Windows)/0.64 (Linux, macOS)",,,Proprietary software
XPaint,Simple Drawing program for Unix/X11 with Xaw3d widgets," David Koblas, Torsten Martinsen, Jean-Pierre Demailly ",1993,2.10.2," November 13, 2017",,Custom free license
Zoner Photo Studio,All-in-one editor package,Zoner Inc.,,11.0 build 8,,,Proprietary software
