Engine,Origin,Designer,Spacecraft,Multistage rocket,Rocket propellant,Specific impulse (s)Specific impulse,Thrust (N)Thrust,Mass (kg),Thrust-to-weight ratioThrust-to-weight ratio,Combustion chamber pressure (bar),Oxidiser:​fuel ratio
LE-5,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Mitsubishi Heavy Industries Mitsubishi Heavy Industries,H-II,Upper,Liquid hydrogen / Liquid hydrogen,452[80]," 121,500 ",242,51.19,40.0,5
LE-7,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Mitsubishi Heavy Industries Mitsubishi Heavy Industries,H-II,1st,Liquid hydrogen / Liquid hydrogen,446[81]," 1,078,000   843,500 (SL) "," 1,714 ",64.13,127,5.9
Merlin (rocket engine),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,SpaceX,Falcon 1 Falcon 1," 1st, 2nd ",RP-1 / RP-1,304[82]   266 (SL)[83]," 480,408[82]   422,581 (SL)[82] ",630,92[82],67.7,
Merlin (rocket engine),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,SpaceX,Falcon 9 v1.1,1st,RP-1 / RP-1,311[84]   282 (SL)[84]," 723,000 ",470,158,97,2.34
Merlin (rocket engine),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,SpaceX,Falcon 1 Falcon 1,2nd,RP-1 / RP-1,336[83]," 413,644[83] ",,92,,
RD-0120   11Д122,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,KBKhA,Energia,1st,Liquid hydrogen / Liquid hydrogen,455[85]," 1,962,000 1,526,000 (SL) "," 3,450 ",57.80,219,
KVD-1   11Д56У,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,KBKhM,GSLV,Upper,Liquid hydrogen / Liquid hydrogen,462[86]," 69,626 ",282,25.17,55.9,
RD-107   11Д511,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,NPO Energomash,Soyuz-U,1st,RP-1 / RP-1,316[87]   253 (SL)," 978,000   778,648 (SL) "," 1,100 ",72.18,54.2,
RD-107   11Д512,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,NPO Energomash,Soyuz-U,2nd,RP-1 / RP-1,314[87]   257 (SL)," 1,000,278   818,855 (SL) "," 1,100 ",75.91,59.7,
RD-170 (rocket engine)RD-170 (rocket engine)11Д521RD-170 (rocket engine),//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,NPO Energomash,Soyuz-U,1st,RP-1 / RP-1,337.2   309.5 (SL)," 7,904,160   7,256,921 (SL) "," 9,300 ",79.57,250,
RD-264   11Д119,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,NPO Energomash,Dnepr (rocket),1st,Dinitrogen tetroxide / Dinitrogen tetroxide,318[89]   293 (SL)," 4,521,000 "," 3,600 ",128.15,206
RD-275   14Д14,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,NPO Energomash,Proton-M,1st,Dinitrogen tetroxide / Dinitrogen tetroxide,316[90]   287 (SL)," 1,831,882   1,671,053 (SL) "," 1,070 ",171.2,160.0,
RD-854   8D612,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,Yuzhnoye Design Office/Yuzhnoye Design Office,R-36ORB,3rd,Dinitrogen tetroxide / Dinitrogen tetroxide,,,,,
RD-855   8D68M,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,Yuzhnoye Design Office/Yuzhnoye Design Office," R-36 (missile), R-36 (missile), R-36 (missile) ",1st vernier,Dinitrogen tetroxide / Dinitrogen tetroxide,," 328,000 ",320,,65.70,1.97
RD-856   8D69M,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,Yuzhnoye Design Office/Yuzhnoye Design Office," R-36 (missile), R-36 (missile), R-36 (missile), (R-36 (missile)) ",2nd vernier,Dinitrogen tetroxide / Dinitrogen tetroxide,," 54,230 ",112.5,,71.60,1.98
RD-861   11D25,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,Yuzhnoye Design Office/Yuzhnoye Design Office," Tsyklon-2, Tsyklon-2 ",3rd,Dinitrogen tetroxide / Dinitrogen tetroxide,," 78,710 ",123,,88.8,2.1
RD-864   15D177,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,Yuzhnoye Design Office/Yuzhnoye Design Office," R-36M, R-36M ",3rd,Dinitrogen tetroxide / Dinitrogen tetroxide," 309 high, 298 low "," 20,200 high, 8,450 low ",199,,41 high/17 low,1.8
RD-869   15D300,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,Yuzhnoye Design Office/Yuzhnoye Design Office,R-36M,3rd,Dinitrogen tetroxide / Dinitrogen tetroxide," 313 high, 302.3 low "," 20,470 high, 8,580 low ",196,,41 high/17 low,1.8
Space Shuttle Solid Rocket BoosterSpace Shuttle Solid Rocket Booster,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Thiokol,Space Shuttle Space Shuttle,Solid Rocket Booster,Polybutadiene acrylonitrile / Polybutadiene acrylonitrile,268," 14,000,000   12,500,000 (SL) "," 590,000   with fuel ",,,
SRB-A,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,IHI Corporation IHI Corporation,H-IIA,Solid rocket booster,HTPB,280[91]," 2,250,000 "," 76,400 with fuel ",,,
UA120,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Technologies,Titan IV,Solid Rocket Booster,Polybutadiene acrylonitrile,272[92]   245 (SL)," 7,116,000   6,410,400 (SL) "," 319,330   with fuel ",,,
Viking (rocket engine),//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Snecma,Ariane 1,1st,Dinitrogen tetroxide / Dinitrogen tetroxide,," 690,000   611,200 (SL) ",776,90.67,,
Viking (rocket engine),//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Snecma,Ariane 2 Ariane 2,1st,Dinitrogen tetroxide / Dinitrogen tetroxide,," 643,000 (SL) ",776,84.5,,
Viking (rocket engine),//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Snecma,Ariane 1,2nd,Dinitrogen tetroxide / Dinitrogen tetroxide,," 713,000 ",826,88,,
Viking (rocket engine),//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Snecma,Ariane 2 Ariane 2 Ariane 2,2nd,Dinitrogen tetroxide / Dinitrogen tetroxide,," 800,000 ",826,98.76,,
Viking (rocket engine),//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Snecma,Ariane 4,1st,Dinitrogen tetroxide / Dinitrogen tetroxide,," 758,000   678,000 (SL) ",826,93.57,,
Viking (rocket engine),//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Snecma,Ariane 4,Booster (rocketry),Dinitrogen tetroxide / Dinitrogen tetroxide,," 750,000 ",826,92.59,,
Vulcain (rocket engine)   HM-60,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Snecma,Ariane 5,1st,Liquid hydrogen / Liquid hydrogen,439[93]   326 (SL)[94]," 1,113,000[93]   773,200 (SL)[94] "," 1,300[94] ",84.38,109[93],
Waxwing (Rocket motor),//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png United Kingdom,Bristol Aerojet,Black Arrow,Upper,Solid rocket,278[95]   245 (SL)," 29,400   25,900 (SL) ",87,34.48,,
