Country code, Country, Speed limit on motorway (km/h), Speed limit on dual carriageway (km/h), Speed limit on single carriageway (km/h), Speed limit in urban area, Permitted alcohol level (%), Toll roads, Seatbelt required, Minimum child age (front seat), Triangle required, First aid required, Fire extinguisher required, Spare bulb required, Minimum driver's age, Tow rope required
FL, IMG Liechtenstein, N/A, N/A, 80, 50, 0.08, , All, N/A, Yes, Yes, Recommended, No, 18, Yes
GB, IMG United Kingdom, 112, 112, 97, 48, 0.08 (0.05 Scotland), , All, N/A, Recommended, Recommended, Recommended, No, 17, Yes
GR, IMG Greece, 130, N/A, 90, 50, 0.05, , All, 12, Yes, Yes, Yes, No, 18, Yes
H, IMG Hungary, 130, 110, 90, 50, 0, Yes, All, 12, Yes, Yes, Recommended, No, 18 (17 with supervision of someone with 10+ years drive-experience), Yes
HR, IMG Croatia, 130, 110, 80, 50, 0.05, Yes, All, 12, Yes, Yes, Recommended, Yes, 18, No
I, IMG Italy, 130, 110, 90, 50, 0.05, Yes, All, 12, Yes, Recommended, Recommended, No, 18, Yes
IRL, IMG Ireland, 120, N/A, 100, 50, 0.05, Yes[8], All, N/A, Recommended, Recommended, Recommended, No, 17, Yes
IS, IMG Iceland, N/A, N/A, paved road - 90 gravel road 80, 50, 0.05, , All, 14, Yes, Recommended, Recommended, No, 17, Yes
L, IMG Luxembourg, 130, N/A, 90, 50, 0.05, , All, 11, Yes, Recommended, Recommended, No, 18, Yes
LT, IMG Lithuania, 130, 110, 90, 50, 0.04, , All, 12, Yes, Yes, Yes, No, 18, No
LV, IMG Latvia, N/A, 90, 90, 50, 0.05, , All, , Yes, Yes, Yes, No, 18, Yes
M, IMG Malta, N/A, N/A, 80, 50, 0.08, , Yes[9], 11, Recommended, Recommended, Recommended, No, 18, Yes
MC, IMG Monaco, N/A, N/A, , 50, 0.05, , N/A, 10, Recommended, Recommended, Recommended, No, 18, Yes
MD, IMG Moldova, N/A, N/A, 90, 50, 0, , All, 12, Yes, Yes, Yes, No, 18, Yes
MK, IMG North Macedonia, 130, N/A, 80, 60, 0.05, Yes, All, 12, Yes, Yes, Recommended, Yes, 18, Yes
MNE, IMG Montenegro, 120, N/A, 80, 50, 0.05, Yes, All, 12, Yes, Recommended, Recommended, No, , Yes
N, IMG Norway, 110, N/A, 80, 50, 0.02, Yes, All, N/A, Yes, Recommended, Recommended, No, 18, Yes
NL, IMG Netherlands, 130, 100, 80, 50, 0.05, Yes[10], All, 12, Recommended, Recommended, Recommended, No, 18 (17 with supervision of someone with 5+ years drive-experience), Yes
P, IMG Portugal, 120, 100, 90, 50, 0.05, Yes, All, 12, Yes, Recommended, Recommended, No, 18, Yes
PL, IMG Poland, 140, 100 (120 on expressways), 90 (100 on expressways), 50 (5–23) 60 (23–5), 0.02, Yes, All, N/A, Yes, Recommended, Yes, No, 18 (16 for B1 cars), No
RO, IMG Romania, 130, 100 (110 on expressways), 90, 50, 0, Yes, All, 12, Yes, Yes, Yes, No, 18 (16 for B1 cars), No
RSM, IMG San Marino, N/A, N/A, 70, 50, 0.08, , All, 12, Recommended, Recommended, Recommended, No, 18, Yes
RUS, IMG Russia[11], 110, N/A, 90, 60, 0, Yes, All, 12, Yes, Yes, Yes, No, 18, Yes
S, IMG Sweden, 110, N/A, 70, 50, 0.02, Yes, All, N/A, Yes, Recommended, Recommended, No, 18, No
SK, IMG Slovakia, 130, 130, 90, 50, 0, Yes, All, 12, Yes, Yes, Recommended, Yes, 18 (17 with supervision of someone with 10+ years drive-experience), Yes
SLO, IMG Slovenia, 130, 100, 90, 50, 0.05, , All, 12, Yes, Yes, Recommended, No, 18, Yes
SRB, IMG Serbia, 120, 100, 80, 50, 0.03, Yes, All, 12, Yes, Yes, Yes, No, 18, Yes
TR, IMG Turkey, 120, 110 (cars) / 90 (rest), 90, 50, 0.05, Yes, All, 10, Yes, Yes, Yes, No, 18, Yes
UA, IMG Ukraine, 130, 110, 90, 50, 0, Yes, All, 12, Yes, Yes, Yes, No, 18, Yes
Country code, Country, Speed limit on motorway (km/h), Speed limit on dual carriageway (km/h), Speed limit on single carriageway (km/h), Speed limit in urban area, Permitted alcohol level (%), Toll roads, Seatbelt required, Minimum child age (front seat), Triangle required, First aid required, Fire extinguisher required, Spare bulb required, Minimum driver's age, Tow rope required
