Application,Latest release date  and version,Developed by,Platforms,Mainly Used For,License
Houdini (software),2019-03-13  v 17.5,Side Effects Software (page does not exist)," Microsoft Windows, Microsoft Windows, Microsoft Windows "," Animation, Lighting, Modeling, Visual 3D Effects ",Proprietary software
IClone,2017-12-21  v 7.2.1220.1,Reallusion,Microsoft Windows," Animation, Film and Television Previz, Videogame Asset Creation, Lighting, Visual 3D Effects ",Proprietary software
Autodesk Inventor,v 2018-11-30  v 2019.0.2,Autodesk,Microsoft Windows," Modeling, Computer Aided Design, Rapid Prototyping, 3D Printing ",Proprietary software
LightWave,2019-08-07  v 2019.1.2,NewTek," Mac OS X, Mac OS X, Mac OS XMac OS X "," Modeling, Animation, Lighting, Rendering, Film and Television Previz, Videogame Asset Creation ",Proprietary software
MASSIVE (software),?  v 3.5,Massive Software," Microsoft Windows, Microsoft Windows ",Artificial Intelligence in Models,Proprietary software
Maya (software),2019-01-15 v 2019,Autodesk," Microsoft Windows, Microsoft Windows, Microsoft Windows "," Modeling, Animation (Video), Lighting, Rendering, Visual 3D Effects ",Proprietary software
Metasequoia (software),2018-01-10 4.6.5,O. Mizno,Microsoft Windows,Modeling,Proprietary software
Modo (software),2018-06-21 12.1,The Foundry Visionmongers," Mac OS X, Mac OS X, Mac OS X "," Modeling, Animation, Rendering ",Proprietary software
Mudbox,2018-03-14 2018.2,Autodesk," Mac OS X, Mac OS X, Mac OS X "," Lighting, Sculpting (the deformation of the model) ",Proprietary software
POV-Ray,2013-11-09  v3.7.0,The POV-Team (page does not exist)," Mac OS X, Mac OS X, Mac OS X, Mac OS X "," Lighting, Visual 3D effects ",Affero General Public License
PTC Creo Elements/Pro (formerly Pro/Engineer),?  v 4.0,Parametric Technology Corporation," Microsoft Windows, Microsoft Windows, Microsoft Windows "," Modeling, Computer Aided Design ",Proprietary software
Remo 3D,2020-01-10  v 2.9.1,Remograph," Microsoft Windows, Microsoft Windows "," Modeling, Virtual Reality, Real-time modeling, Video Game Creation, Computer Aided Design ",Proprietary software
Rhinoceros 3D,2018-02-06  v 6.0,McNeel," Microsoft Windows, Microsoft Windows in beta "," Modeling, Computer Aided Design ",Proprietary software
Shade 3D,2015-03-20  v 15.1,Shade3D (page does not exist)," Mac OS X, Mac OS X "," Modeling, Rendering, Animation ",Proprietary software
Silo (software),2018  v 2.5.3,Nevercenter," Mac OS X, Mac OS X ",Modeling,Proprietary software
SketchUp Pro,2019-01-05 [4] v 19.0.685 (Win64) v 16.1.1450 (Win32)  v 19.1.173 (Mac64),Trimble Navigation," Mac OS X, Mac OS X "," Modeling, Computer Aided Design ",Proprietary software
Solid Edge,2018-06-?  Synchronous Technology,Siemens PLM Software,Microsoft Windows,Computer Aided Design,Proprietary software
SolidThinking Evolve,?-?  v 9.0,SolidThinking," Mac OS X, Mac OS X ",Modeling,Proprietary software
SolidWorks,2018-11-16  v SolidWorks 2019 SP0.0,Dassault Systèmes,Microsoft Windows,Computer Aided Design,Proprietary software
SpaceClaim,2018-01  v 7.12,SpaceClaim Corporation,Microsoft Windows,Computer Aided Design,Proprietary software
E-on Vue,2017  v 2016 R5,E-on Software (page does not exist)," Mac OS X, Mac OS X "," Animation, Landscape Modeling, Lighting ",Proprietary software
Verto Studio 3D,2018-05-06  v2.3.8,Michael L. Farrell (page does not exist)," Mac OS X, Mac OS X "," Mobile Modeling, Texture Mapping, Lighting ",Proprietary software
Wings 3D,2019-04-12  v 2.2.4,Dan Gudmundsson (maintainer)," Mac OS X, Mac OS X, Mac OS X, Mac OS X "," Modeling, Sculpting (the deformation of the model), UV mapping ",BSD License
ZBrush,2019-03-06  v 2019,Pixologic," Mac OS X, Mac OS X "," Modeling, Texturing, Lighting, Sculpting (the deformation of the model), Rendering ",Proprietary software
