Card family,Standards organizations,Varieties,Entry date,Maximum commercially available capacity,Picture[1],Main features
,,Secure Digital,2003,4 GB,//upload.wikimedia.org/wikipedia/commons/thumb/7/77/MiniSD_Card_256MB.png/62px-MiniSD_Card_256MB.png," Compact (21.5×20×1.4 mm), DRM, up to 4 GB. (2 GB and 4 GB cards use larger block sizes and may not be compatible with some host devices. See Secure digital) "
,,Secure Digital,2005,4 GB,//upload.wikimedia.org/wikipedia/commons/thumb/6/6c/MicroSD_card.jpg/47px-MicroSD_card.jpg," Subcompact (15×11×1 mm), DRM, up to 4 GB. (2 GB and 4 GB cards use larger block sizes and may not be compatible with some host devices. See Secure digital) "
,,SDHC,2006,32 GB,//upload.wikimedia.org/wikipedia/commons/thumb/7/75/SDHC_memory_card_8GB.png/75px-SDHC_memory_card_8GB.png," Same build as SD but greater capacity and transfer speed, 4 GB to 32 GB (not compatible with older host devices). "
,,MiniSDHC,2008,32 GB,//upload.wikimedia.org/wikipedia/commons/thumb/8/87/SecureDigitalCard_Mini.svg/62px-SecureDigitalCard_Mini.svg.png," Same build as miniSD but greater capacity and transfer speed, 4 GB to 32 GB. 8 GB is largest in early-2011 (not compatible with older host devices). "
,,MicroSDHC,2007,32 GB,//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/MicroSDHC-Card.gif/47px-MicroSDHC-Card.gif," Same build as microSD but greater capacity and transfer speed, 4 GB to 32 GB.[3](not compatible with older host devices) "
,,SDXC,2009,1 TB,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Crystal128-sd-mmc-unmount.svg/100px-Crystal128-sd-mmc-unmount.svg.png," Same build as SD/SDHC, but greater capacity and transfer speed, 32 GB and higher. Standard goes up to 2 TB (not compatible with older host devices). "
,,SDXC,2009,1 TB,//upload.wikimedia.org/wikipedia/commons/thumb/3/38/MicroSD_Card_Bottom.svg/100px-MicroSD_Card_Bottom.svg.png," Same build as microSD/microSDHC, but greater capacity and transfer speed, 32 GB and higher. Standard goes up to 2 TB (not compatible with older host devices). "
,,SDUC,2018,64 GB,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Crystal128-sd-mmc-unmount.svg/100px-Crystal128-sd-mmc-unmount.svg.png," Same build as SD/SDHC/SDXC, but greater capacity and transfer speed. Standard goes up to 128 TB (not compatible with older host devices). "
,,Secure Digital,2018,?,//upload.wikimedia.org/wikipedia/commons/thumb/3/38/MicroSD_Card_Bottom.svg/100px-MicroSD_Card_Bottom.svg.png," Same build as microSD/microSDHC/microSDXC, but greater capacity and transfer speed. Standard goes up to 128 TB (not compatible with older host devices) "
Memory Stick,Sony/Sony,Standard,1998,128 MB,//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Memory_Stick_64MB.png/67px-Memory_Stick_64MB.png," Slim and narrow (50×21.5×2.8 mm), optional DRM, up to 128 MB "
,,PRO,2003,4 GB,//upload.wikimedia.org/wikipedia/commons/thumb/4/40/Memory_stick.jpg/85px-Memory_stick.jpg (not to scale)," Slim and narrow (50×21.5×2.8 mm), swifter, optional DRM, up to 4 GB "
,,Duo,2003,128 MB,//upload.wikimedia.org/wikipedia/en/thumb/9/9d/MemoryStickDuo32MB.jpg/100px-MemoryStickDuo32MB.jpg," Compact (31×20×1.6 mm), optional DRM, up to 128 MB "
,,PRO Duo,2002-2006,32 GB,//upload.wikimedia.org/wikipedia/commons/thumb/d/da/MS-PRO-DUO.JPG/100px-MS-PRO-DUO.JPG," Compact (31×20×1.6 mm), optional DRM, up to 32 GB "
,,PRO-HG Duo,2007-2008,32 GB,//upload.wikimedia.org/wikipedia/commons/thumb/1/1a/SDMSHX3-008G-J31.jpg/165px-SDMSHX3-008G-J31.jpg," Compact (31×20×1.6 mm), swifter, optional DRM, up to 32 GB "
,,Micro (M2),2006,16 GB,//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Sony_Memory_Stick_Micro_M2_-_1GB-0423.jpg/39px-Sony_Memory_Stick_Micro_M2_-_1GB-0423.jpg," Subcompact (15×12.5×1.2 mm), optional DRM, up to 16 GB "
,Sony,PS Vita Memory Card,2012,64 GB,//upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Sony_Playstation_Vita_Memory_Card_16GB.jpg/39px-Sony_Playstation_Vita_Memory_Card_16GB.jpg," Subcompact (15×12.5×1.6 mm[4]), compulsory DRM, up to 64 GB, proprietary (can be used on PS Vita only) "
XQD card," Sandisk, Sandisk, Sandisk, Sandisk ",Standard,2011-2012,>2 TB,//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/DS7_4260_PK.jpg/146px-DS7_4260_PK.jpg," High-capacity, high-speed standard using PCIe as interface "
XD-Picture Card," Olympus Corporation, Olympus Corporation ",Standard,2002-2007,512 MB,//upload.wikimedia.org/wikipedia/commons/thumb/7/74/XD_card_16M_Fujifilm_front.png/78px-XD_card_16M_Fujifilm_front.png," Slim and small (20×25×1.78 mm), electrically identical to SmartMedia, no wear-leveling controller, up to 512 MB[5] "
,,Type M,2005,2 GB,//upload.wikimedia.org/wikipedia/commons/thumb/b/be/XD_card_typeM_1G_Fujifilm.png/78px-XD_card_typeM_1G_Fujifilm.png," Slim and small (20×25×1.78 mm) but slower read/write, no wear-leveling controller, up to 2 GB[5] "
,,Type H,2005,2 GB,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/XD_card_typeH_512M_Olympus.png/78px-XD_card_typeH_512M_Olympus.png," Slim and small (20×25×1.78 mm) and swifter, no wear-leveling controller, up to 2 GB[5] "
Universal Flash Storage Card Extensions,Samsung,Universal Flash Storage,2016,>256 GB,," Packages the flash memory, currently soldered in shipping smartphones, into a removable card form factor. Uses the SCSI command set including queuing. The electrical interface makes use of Differential signaling, which enables high bus speeds and robustness under noisy conditions and reduced pin count (compared to parallel bus alternatives such as Differential signaling). "
USB flash drive,Various,USB 1.1/2.0/3.0/3.1,2000/2001,1 TB+,//upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Geil_David_1GB_AB.jpg/110px-Geil_David_1GB_AB.jpg (not to scale)," Universally compatible across most non-mobile computer platforms, their greater size suits them better to file transfer/storage instead of use in portable devices "
