Company,Software,On-demand scan,Real-time protection,Boot-time scans,Heuristic (computer science),Cloud computing,Firewall (computing),Intrusion Detection System,Intrusion prevention system,Sandbox (computer security),Email security,Antispam,Web filter,Macro protection,Live Update,Support,Settings Import/ Export,installer/ updater Man-in-the-middle attack safe,Software license,Price,First release,Country of origin,Original author/s,Notes
Microsoft,Windows Defender,Yes,Yes,No,No Only Windows 10,No,No excepting Windows FirewallWindows Firewall,No,No,?,No,No,No,No,Yes,Yes,No,?,Proprietary software,Free,2012,United States,,
NANO Security Ltd,NANO Antivirus,Yes,Yes,No,Yes,No,No,No,No,?,Yes,No,Yes,No,Yes,Yes,No,?,Proprietary software,Free,2009,Russia,,
Panda Security,Panda Security,Yes,Yes,Yes,Yes,Yes,Yes,No,No,?,No,Yes,No,Yes,Yes,Yes,?,?,Proprietary software,Non-free,1990,Spain,Mikel Urizarbarrena,
Panda Security,Panda Security,Yes,Yes,Yes,Yes,Yes,Yes,No,No,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary software,Non-free,2002,Spain,Mikel Urizarbarrena,
Panda Security,Panda Security,Yes,Yes,Yes,Yes,Yes,Yes,No,No,?,No,No,Yes,Yes,Yes,Yes,?,?,Proprietary software,Trialware,2009,Spain,,
Qihoo 360,360 Total Security,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,No,Yes,Yes,Yes,Yes,?,?,Proprietary software,Free,2006,China,,
Quick Heal,Quick Heal Total Security,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes*,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Proprietary software,Non-free,1995,India,,*Browser Sandbox only.
Sophos,Sophos,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?,Yes,No,No,Yes,Yes,Yes,?,?,Proprietary software,Non-free,1988,United Kingdom,Jan Hruska and Peter Lammer,
Sophos,Sophos,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary software,Non-free,2000,United Kingdom,Jan Hruska and Peter Lammer,
NortonLifeLock,Norton Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary software,Non-free,2000,United States,,Whitelists FBI Backdoor (computing) scandalBackdoor (computing)Backdoor (computing)
NortonLifeLock (originally NortonLifeLock),Spyware Doctor,Yes,Yes,No,No,No,No,No,No,?,No,No,Yes,No,Yes,No,?,?,Proprietary software,Non-free,2003,United States,,
Trend Micro,Trend Micro,Yes,Yes,Yes,Yes,No,No,No,No,?,No,Yes,No,No,Yes,Yes,?,?,Proprietary software,Non-free,1990,Japan,,
Trend Micro,Trend Micro Internet Security,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,No,Yes,No,Yes,Yes,?,?,Proprietary software,Non-free,2008,Japan,,
TrustPort,TrustPort,Yes,Yes,No,Yes,No,Yes,No,No,?,Yes,Yes,Yes,No,Yes,Yes,?,?,Proprietary software,Trialware,2008,Czech Republic,,Third-party antivirus engine (?)
TrustPort,TrustPort,Yes,Yes,No,Yes,No,Yes,No,No,?,Yes,Yes,Yes,No,Yes,Yes,?,?,Proprietary software,Trialware,2008,Czech Republic,,Third-party antivirus engine (?)
TrustPort,TrustPort,Yes,Yes,No,Yes,No,Yes,No,No,?,Yes,Yes,Yes,No,Yes,Yes,?,?,Proprietary software,Trialware,2008,Czech Republic,,Third-party antivirus engine (?)
VirusBlokAda,Vba32 AntiVirus,Yes,Yes,No,No,No,No,No,No,?,No,No,No,No,No,No,?,?,Proprietary software,Non-free,2010,Belarus,,
Webroot,SecureAnywhere AntiVirus,Yes,Yes,No,Yes,Yes,Yes,No,Yes,?,No,No,Yes,No,Yes,Yes,?,?,Proprietary software,Trialware,2011,United States,,
Webroot,SecureAnywhere Internet Security Plus and Complete,Yes,Yes,No,Yes,Yes,Yes,No,Yes,?,No,No,Yes,No,Yes,Yes,?,?,Proprietary software,Non-free,2011,United States,,
Company,Software,On-demand scan,Real-time protection,Boot-time scans,Heuristic (computer science),Cloud computing,Firewall (computing),Intrusion Detection System,Intrusion prevention system,Sandbox (computer security),Email security,Antispam,Web filter,Macro protection,Live-Update,Support,Settings Import/Export,installer/ updater Man-in-the-middle attack safe,Software license,Price,First release,Country of origin,Original author/s,Notes
