Engine, Origin, Designer, Vehicle, Use, Propellant, Specific impulse (s)[a], Thrust (N)[a], Mass (kg), Thrust:weight ratio[f], Chamber pressure (bar), Oxidiser:fuel ratio
SRB-A, IMG Japan, IHI Aerospace JAXA, H-IIA, Booster, HTPB, 280[92], 2250000, 76400 with fuel, , , 
UA1207, IMG USA, United Technologies, Titan IV, Booster, PBAN, 272[93] 245 (SL), 7116000 6410400 (SL), 319330 with fuel, , , 
Viking 2, IMG Europe, Snecma, Ariane 1, 1st, N2O4 / UDMH, , 690000 611200 (SL), 776, 90.67, , 
Viking 2B, IMG Europe, Snecma, Ariane 2 Ariane 3, 1st, N2O4 / UH 25, , 643000 (SL), 776, 84.5, , 
Viking 4, IMG Europe, Snecma, Ariane 1, 2nd, N2O4 / UDMH, , 713000, 826, 88, , 
Viking 4B, IMG Europe, Snecma, Ariane 2 Ariane 3 Ariane 4, 2nd, N2O4 / UH 25, , 800000, 826, 98.76, , 
Viking 5C, IMG Europe, Snecma, Ariane 4, 1st, N2O4 / UH 25, , 758000 678000 (SL), 826, 93.57, , 
Viking 6, IMG Europe, Snecma, Ariane 4, Booster, N2O4 / UH 25, , 750000, 826, 92.59, , 
Vulcain HM-60, IMG Europe, Snecma, Ariane 5, 1st, LH2 / LOX, 439[94] 326 (SL)[95], 1113000[94] 773200 (SL)[95], 1300[95], 84.38, 109[94], 
Waxwing, IMG United Kingdom, Bristol Aerojet, Black Arrow, Upper, Solid, 278[96] 245 (SL), 29400 25900 (SL), 87, 34.48, , 
