Software,Developer,First public release,Latest stable date (version),Cost (United States dollar),Open-source software,Software license,Linux,Mac OS X,Windows,Framework
HashShell,Igor Gresovnik,?,2016-06-08 (1.6),Free,No,Freeware,Yes,?,Yes,.NET Framework
ilSFV,Jud White,2009-10-26,2011-08-16 (1.10),Free,Yes,Freeware,No,No,Yes,.NET Framework
jdigest,gdassieu,2009-09-10,2011-06-05 (0.3.0),Free,Yes,GPL,Yes,Yes,Yes,Java (programming language)
jHashCalc,Death Master,2007-10-01,2008-10-18 (1.2),Free,Yes,GPL,?,?,?,Java (programming language)
Jacksum,Johann N. Löfflmann,2002-07-07,2006-07-30 (1.7.0),Free,Yes,GPL,Yes,Yes,Yes,Java (programming language)
MD5 File Hasher,Digital-Tronic,2012,20150818 (1.5.0.1),Free,No,Freeware/Freeware,No,No,Yes,?
MD5 &amp; SHA Checksum Utility,Raymond Lin,2013-06-03,2.1,various,No,Freeware/Freeware,No,No,Yes,.NET Framework
Md5deep (and HashDeep),Jesse Kornblum (page does not exist),2003,2014-01-29 (4.4),Free,Yes,Public domain,Yes,Yes,Yes,C++
Md5sum,various (POSIX),?,various,Free,Yes,various,Yes,Yes[Note 1],Yes,?
MD5summer,Luke Pascoe,?,2006-04-05 (1.2.0.11),Free,Yes,GPL / GPL,No,No,Yes,(Delphi 7)
MD5 Win Verifier,Serafino Sorleti,2014-03-06,2014-06-19 (1.1.0.5),Free,No,Freeware,No,No,Yes,.NET Framework
PeaZip,Giorgio Tani,2006-09-16,2019-12-01 (7.0.0),Free,Yes,LGPL,Yes,No,Yes,Free Pascal
QuickSFV,Mercedes,1999-11-22,2008-03-13 (2.36),Free,No,Freeware,Yes,No,Yes,?
RapidCRC,?,2004,2005-02-05 (0.6.1),Free,Yes,GPL,No,No,Yes,?
RekSFV," TryAndError, Inc. ",2006,2019-02-23 (v1.8.1),Free,No,Freeware,No,No,Yes,VCL
RHash,Aleksey (Akademgorodok),?,2019-02-09 (v1.3.8),Free,Yes,Freeware,Yes,No,Yes,C
SafeFileManager,Mindbytez Software,2012-11,2018-08-27 (v1.2),Free,No,Freeware,Yes,No,Yes,Java (programming language)
Sigcheck,Mark Russinovich (Sysinternals - Microsoft),?,2016-07-29 (v2.53),Free,No,Freeware / Freeware,No,No,Yes,?
SFV Checker,Traction Software,?,2018-08-13 (2.04),various,No,Proprietary software,No,No,Yes,?
Sha1sum,various (POSIX),?,various,Free,Yes,various,Yes,Yes,Yes,?
Sha3sum,various (POSIX),?,various,Free,Yes,various,Yes,Yes,Yes,Perl
SuperSFV (page does not exist),Thomas Dixon,?,1.2,Free,Yes,GPL,No,Yes,No,?
Teracopy,Code Sector,2007,2017-02-23 (v3.0),various,No,Freeware/Freeware,No,Yes,Yes," Swift (programming language), Delphi "
Tom's Hash Explorer,Tom Andreas Mannerud,2016,2016-08-19 (1.2.0.0),Free,No,Freeware,No,No,Yes,.NET Framework
Toolsley Hash &amp; Validate,Toolsley.com,2014,various,Free,No,Freeware/Freeware,Yes,Yes,Yes,?
Total Commander,Christian Ghisler,2010-06-17,2019-03-14 (9.22)," CHF40, €37, US$41.79 ",No,Proprietary software,No,No,Yes,CodeGear Delphi
WinHasher,Jeffrey T. Darlington,2007-09-26,2013-08-02 (v1.6.2.67),Free,Yes,GPL,No,No,Yes,.NET Framework
wxChecksums,Julien Couot,2003,2006-03-04 (v1.2.2),Free,Yes,GPL,Yes,?,Yes,GTK
Software,Developer,First public release,Latest stable date (version),Cost (United States dollar),Open-source software,License,Linux,Mac OS X,Windows,Framework
