, Austria, Belgium, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Luxembourg, Moldova, Netherlands, Norway, Poland, Portugal, Romania, Russia Belarus, Slovakia, Slovenia, Spain, Sweden, Switzerland Liechtenstein, Turkey, Ukraine, UK, Åland
Tram crossing, IMG IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG IMG, IMG, IMG, NOT USED, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG DEFUNCT, IMG, IMG, IMG, IMG, IMG, IMG, IMG, NOT USED
Crossroads with priority to the right, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, NOT USED, IMG, IMG, , IMG (dangerous crossroads), IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, NOT USED, DEBUTIMAGE
Crossroads with a minor road, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Junction with a minor road, IMG, IMG, IMG, IMG, IMG, IMG, NOT USED, NOT USED, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEFUNCT, IMG, IMG, IMG, DEBUTIMAGE
Merging traffic, NOT USED, NOT USED, NOT USED, NOT USED, NOT USED, IMG, NOT USED, NOT USED, IMG, IMG, IMG, IMG, IMG, IMG, , NOT USED, NOT USED, IMG, IMG, NOT USED, IMG, NOT USED, IMG, IMG, IMG, DEFUNCT, NOT USED, NOT USED, IMG, DEBUTIMAGE
Road narrows on both sides, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Road narrows on one side, IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Dangerous crosswinds, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG DEFUNCT, IMG, IMG, IMG, DEBUTIMAGE
Low-flying aircraft, IMG (until 2022), IMG, IMG, IMG or IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , , IMG, IMG, IMG, IMG, IMG, IMG, IMG DEFUNCT, IMG, IMG, IMG, IMG DEFUNCT, IMG, IMG, IMG or IMG, DEBUTIMAGE
Steep descent, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG IMG, IMG IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Steep ascent, IMG, IMG, IMG, IMG, IMG, IMG, NOT USED, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG IMG, IMG IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Road hump ahead, , IMG, IMG, IMG, IMG, IMG, IMG, NOT USED, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG DEFUNCT, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Uneven road ahead, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Bend ahead, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Double bend ahead, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Slippery road surface, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Loose road surface, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Soft verges, , NOT USED, IMG, IMG, IMG, IMG, NOT USED, IMG IMG (until 2022), IMG, , IMG, , IMG, , , , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, NOT USED, IMG, IMG, IMG, DEBUTIMAGE
Children, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Pedestrian crossing ahead, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Cyclists ahead, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Falling rocks or debris, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , NOT USED, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Snow or ice, , IMG IMG, IMG, , IMG, NOT USED, NOT USED, IMG, , IMG IMG, IMG, IMG, IMG IMG, , , IMG, , IMG, IMG, IMG IMG, IMG (Belarus), IMG, IMG, IMG, NOT USED, IMG IMG [note 1], IMG, IMG IMG, IMG IMG, NOT USED
Fog likely, , , IMG, , , IMG IMG, NOT USED, IMG IMG, IMG, , , , , IMG, , IMG, , NOT USED, IMG, , NOT USED, IMG DEFUNCT, , IMG, NOT USED, IMG [note 2], , , NOT USED, NOT USED
Opening or swing bridge, , IMG, IMG, IMG, NOT USED, IMG, IMG, IMG, IMG, IMG, NOT USED, IMG, IMG, , , IMG, IMG, IMG, IMG, IMG, IMG, NOT USED, IMG, IMG, IMG, NOT USED, IMG, IMG, IMG, DEBUTIMAGE
Unprotected quayside or riverbank, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG or IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, NOT USED, IMG, IMG, IMG, NOT USED, IMG, IMG, IMG or IMG, DEBUTIMAGE
Domestic animals, IMG, IMG, IMG, IMG, IMG, NOT USED, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Wild animals, IMG, IMG, IMG, IMG, IMG, IMG or IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Tunnel ahead, NOT USED, NOT USED, IMG, IMG, NOT USED, NOT USED, NOT USED, NOT USED, IMG, IMG, IMG, IMG, NOT USED, NOT USED, , NOT USED, IMG, NOT USED, IMG, IMG, IMG, IMG DEFUNCT, IMG, NOT USED, IMG, REPLACED by sign no. 4.07a [note 3][7], IMG, IMG, IMG, DEBUTIMAGE
Accident area / accident ahead, NOT USED, NOT USED, IMG, NOT USED, IMG, NOT USED, IMG, IMG IMG, NOT USED, IMG IMG, NOT USED, IMG, IMG IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG (Belarus), IMG DEFUNCT, IMG, IMG, IMG, IMG [note 4], NOT USED, IMG IMG or IMG, IMG IMG, NOT USED
Roadworks ahead, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Other danger, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Other danger (temporary), NOT USED, NOT USED, NOT USED, NOT USED, IMG, NOT USED, IMG, NOT USED, IMG, NOT USED, NOT USED, NOT USED, IMG, NOT USED, , NOT USED, IMG, NOT USED, , NOT USED, NOT USED, NOT USED, NOT USED, IMG, NOT USED, NOT USED, IMG, NOT USED, NOT USED, NOT USED
, Austria, Belgium, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Luxembourg, Moldova, Netherlands, Norway, Poland, Portugal, Romania, Russia Belarus, Slovakia, Slovenia, Spain, Sweden, Switzerland Liechtenstein, Turkey, Ukraine, UK, Åland
