Name,Computer architecture supported,File system supported,Kernel (computing) type,Source lines of code,Graphical user interface default is onGraphical user interface,Package management system,Update management,Native Application programming interfaceApplication programming interface,Non-native APIs supported through subsystems
MacOS," PowerPC, IA-32, x86-64, (see also iOS for ARM) "," HFS+ (default on hard drives, and on flash drives up to Sierra), Apple File System (default on flash drives in High Sierra), HFS, UFS, AFP, ISO 9660, FAT, UDF, NFS, SMBFS, NTFS (read only), Apple File System, Apple File System, ZFS (experimental) ",Hybrid with modules,≈86 million[17],Yes,Installer (macOS),Software Update," Carbon, Cocoa (software), Java, BSD-POSIX "," Toolbox (only in versions up to Mac OS X 10.4, not supported on x86 architecture), Win16,[t 6] Win32[t 6] "
MINIX 3,IA-32,,Microkernel," ≈12,000 (C) + ≈1,400 (Assembly)[18] ",No,,,POSIX,
NetBSD," IA-32, x86-64, ARM, MIPS, PowerPC, SPARC, SPARC "," UFS, UFS2, ext2, FAT, ISO 9660, NFS, Log-structured file system, and others ",Monolithic with modules,,No[t 7],Pkgsrc,by source or binary (using sysinst),BSD-POSIX," Linux, others "
Novell NetWare," 16-bit x86, IA-32 "," Novell Storage Services, Novell Storage Services, FAT, NFS, AFP, UDF, Novell Storage Services, ISO 9660 ",Hybrid,,Yes," NWCONFIG.NLM, RPM Package Manager, RPM Package Manager-based GUI installer "," binary updates, ZENWorks for Servers, Red Carpet (software) ",Proprietary,
OpenBSD," IA-32, x86-64, SPARC, 68k, Alpha, VAX, VAX "," Berkeley Fast File System, ext2, FAT, ISO 9660, NFS, some others ",Monolithic,,No[t 7]," Ports collection, packages ",by source or binary (packages via pkg_add),BSD-POSIX,
OpenVMS," VAX, Alpha, IA-64 "," Files-11 (ODS), ISO 9660, NFS, Files-11 ",Monolithic with modules,,No," PCSI, VMSINSTAL ",?,Proprietary,POSIX
OS/2," 16-bit x86 (1.x only), IA-32 "," HPFS, JFS, FAT, ISO 9660, UDF, NFS ",Monolithic with modules,,Yes,Feature Install and others,?," Proprietary, DOS API, Win16 ",Win32
Plan 9 from Bell Labs," IA-32, Alpha, MIPS, PowerPC, SPARC, others "," Fossil (file system)/Fossil (file system), Fossil (file system), kfs, ext2, FAT, ISO 9660 "," Hybrid, User space file systems "," ≈2.5 Million /sys/src (complete source of all supported architectures, kernels, commands and libraries) ",Yes,None,Replica (Plan 9),Proprietary (Unix-like),POSIX compatibility layer
QNX," x86, SuperH, PowerPC, ARM, MIPS "," QNX4FS, QNX6, ext2, FAT, ISO 9660, QNX4FS, NFS, CIFS, ETFS, UDF, QNX4FS, HFS+, NTFS, others ",Microkernel,,,,," POSIX, Java ",
ReactOS," IA-32, PowerPC, ARM "," FAT, NTFS (read only) ",Hybrid,nearly 8 million[19],Yes,None,None," Win32, NT API ",
RISC OS,ARM (both 26 and 32-bit addressing modes)," Advanced Disc Filing System, Advanced Disc Filing System ANFS, FAT, ISO 9660, many others as loadable filesystems ",Monolithic with modules. Cooperative multitasking with limited memory protection.[20],,Yes,Applications self-contained; hardware drivers often in ROM,!IyoUpWtch,Huge number of Software interrupt calls; extensive C libraries,
Solaris (operating system)," IA-32, x86-64, SPARC "," UFS, ZFS, ext2, FAT, ISO 9660, UDF, NFS, QFS, some others ",Monolithic with modules,,Yes,System V (pkgadd) System V (pkg) (Solaris 11 and later),Image Packaging System (Solaris 11 and later)," SysV/POSIX, GTK, Java "," Win16,[t 6] Win32,[t 6] Mono, Linux[t 8] "
OpenSolaris," IA-32, x86-64, SPARC(AI) "," UFS, ZFS, ext2, FAT, ISO 9660, UDF, NFS, QFS, some others ",Monolithic with modules,≈18.8 million[21],Yes," Image Packaging System (pkg), Image Packaging System (pkgadd) ",Image Packaging System," SysV/POSIX, GTK, Java "," Win16,[t 6] Win32,[t 6] Mono, Linux[t 8] "
XTS-400,x86,Proprietary,Monolithic,,No,RPM Package Manager for some untrusted applications,Binary updates via postal mail and proprietary tools," Some: SysV, POSIX, Linux, proprietary ",
Symbian,ARM,FAT,Microkernel,,Yes,SIS (file format) files,FOTA (technology),Proprietary,POSIX compatibility layer
TrueOS," IA-32, x86-64[t 9] "," UFS2, ext2, ext3, FAT, ISO 9660, UDF, NFS, ReiserFS (read only), XFS (experimental) and others ",Monolithic with modules,,Yes," Ports collection, packages, PBI Graphical Installers "," by PBI updates, source, network binary update (freebsdupdate) ",BSD-POSIX," Win16,[t 6] Win32[t 6] "
Windows Server 2003 (NT family)," IA-32, x86-64, IA-64 "," NTFS, FAT, ISO 9660, UDF; 3rd-party drivers support ext2, ext3, ReiserFS,[t 10] and HFS ",Hybrid with modules,≈45 million[22],Yes," Microsoft Installer, custom installers ",Windows Update," Win32, NT API "," DOS API, DOS API (only in 32-bit versions), POSIX, DOS API "
Microsoft Windows (Microsoft Windows)," IA-32, x86-64, ARM, IA-64, Alpha, MIPS, PowerPC "," NTFS, FAT ExFAT ISO 9660, UDF; 3rd-party drivers support ext2, ext3, ReiserFS,ExFAT ExFAT, ExFAT, and HFS (with third party driver) ",Hybrid with modules,≈40 (XP)/64 (Vista and later) million[ Wikipedia:Citation needed ],Yes," MSI, custom installers ",Windows Update," Win32, NT API "," DOS API, DOS API (only in 32-bit versions), POSIX, .NET "
Magnussoft ZETA,IA-32," BFS (default), FAT, ISO 9660, UDF, HFS, AFP, ext2, CIFS, NTFS (read only), ReiserFS (read only, up to v3.6) ",Hybrid,,Yes," SoftwareValet, script-based installers ",None," POSIX, BeOS API ",
Z/OS,Z/Architecture," VSAM, BDAM, QSAM, BPAM, HFS, zFS, etc. "," Protected, multithreading, multitasking nucleus with programmable/user replaceable extensions. Not kernel-based.[ Wikipedia:Please clarify ] ",,No," None, SMP/E ",SMP/E," Filesystem access methods, Systems Services, etc. "," POSIX, many others. "
Name,Computer architectures supported,File systems supported,Kernel type,Source lines of code,GUI default is on[t 1],Package management,Update management,Native APIs[t 2],Non-native APIs supported through subsystems
