Engine,Origin,Designer,Spacecraft,Status,Multistage rocket,Rocket propellant,Specific impulse (s)Specific impulse,Thrust (N)Thrust,Mass (kg),Thrust-to-weight ratioThrust-to-weight ratio,Combustion chamber pressure (bar),Oxidiser:​fuel ratio
Vega (rocket),//upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/23px-Flag_of_Italy.svg.png Italy,Avio,Vega (rocket)Vega (rocket),Development,3rd[23],Liquid methane / Liquid methaneLiquid methane,362.3[23]," 98,100[23] ",250[23],40[23],,3.4[23]
LauncherOne,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Virgin Galactic,LauncherOne,Development,Booster (rocketry),RP-1 / RP-1,," 266,893[24] ",,,,
LauncherOne,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Virgin Galactic,LauncherOne,Development,2nd,RP-1 / RP-1,," 22,241[24] ",,,,
NK-33   11Д111 / 14Д15,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,JSC Kuznetsov,Antares 100 Antares 100,Active,1st,RP-1 / RP-1,331[25] 297 (SL)," 1,680,000 1,510,000 (SL) "," 1,222 ",136.8,145,
P80 (rocket stage),//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Avio,Vega (rocket),Active,1st,HTPB,280[26]," 3,015,000[26] "," 96,000 with fuel ",,,
P120 (rocket stage),//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Avio,Ariane 6 Ariane 6,Development," Solid rocket booster, 1st ",HTPB,279[27]," 4,650,000[27] "," 161,000 with fuel[27] ",,,
Ariane 5,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Avio,Ariane 5,Active,Solid rocket booster,HTPB,286[28]   259 (SL)," 6,470,000   5,860,000 (SL) "," 269,000 with fuel[28] ",,,
Polar Satellite Launch Vehicle,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Satish Dhawan Space Centre,PSLV,Active,1st,HTPB,269[29]," 4,860,000 "," 160,200 with fuel ",,58,
Raptor (rocket engine family)Raptor (rocket engine family),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,SpaceX,SpaceX Starship,Development," 1st, 2nd ",Liquid methane / Liquid methane,356[31]  330 (SL)," 2,205,000 (SL, est)[32] "," ~1,360 (goal)[33] ",≥170 (goal)[33],330[34],3.6[35]
Raptor (rocket engine family)Raptor (rocket engine family),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,SpaceX,Starship,Development,2nd,Liquid methane / Liquid methane,380+[36]," 2,150,000[37] "," ~1,360 (goal)[33] ",≤120 (goal)[33],330[34],3.6[35]
RD-0124  14Д23,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,KBKhA,Soyuz-2 (rocket) Soyuz-2 (rocket) Soyuz-2 (rocket),Active," 2nd, 3rd ",RP-1 / RP-1,359[38]," 294,300 ",520,57.7,160,
RD-0146,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,KBKhA,Angara (rocket family),Development,Upper,Liquid hydrogen / Liquid hydrogen,470[39]," 68,600 ",,,59,
RD-107   14Д22,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,NPO Energomash,Soyuz-FG Soyuz-FG,Active,1st,RP-1 / RP-1,320.2[40]  263.3 (SL)," 1,019,892   839,449 (SL) "," 1,090 ",78.53,61.2,
RD-107   14Д21,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,NPO Energomash,Soyuz-FG Soyuz-FG,Active,2nd,RP-1 / RP-1,320.6[40]  257.7 (SL)," 921,825   792,377 (SL) "," 1,075 ",75.16,55.5,
RD-170 (rocket engine)RD-170 (rocket engine)11Д520,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,NPO Energomash,Zenit-2M Zenit-2M Zenit-2M Zenit-2M Zenit-2M,Active,1st,RP-1 / RP-1,337.2[41]  309.5 (SL)," 7,904,160   7,256,921 (SL) "," 9,300 ",79.57,250,
RD-180,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,NPO Energomash,Atlas V Atlas V,Active,1st,RP-1 / RP-1,338.4[42]  311.9 (SL)," 4,152,136   3,826,555 (SL) "," 5,480 ",71.2,261.7,2.72
RD-181,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,NPO Energomash,Antares 200,Active,1st,RP-1 / RP-1,339.2[43]  311.9 (SL)," 2,085,000   1,922,000 (SL) "," 2,200 ",89,262.6,
RD-191,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,NPO Energomash,Angara (rocket family),Active,1st,RP-1 / RP-1,337.5[44]  311.2 (SL)," 2,084,894   1,922,103 (SL) "," 2,200 ",89.09,262.6,
RD-193,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,NPO Energomash,Soyuz-2-1v,Development,1st,RP-1 / RP-1,337.5[45]  311.2 (SL)," 2,084,894   1,922,103 (SL) "," 1,900 ",103.15,,
RD-276   14Д14М,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,NPO Energomash,Proton-M,Active,1st,Dinitrogen tetroxide / Dinitrogen tetroxide,315.8[46]  288 (SL)," 1,831,882   1,671,053 (SL) "," 1,120 ",171.2,168.5,
RD-8   11D513,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,Yuzhnoye Design Office/Yuzhnoye Design Office,Zenit (rocket family),Active,2nd vernier,RP-1 / RP-1,342," 78,450 ",380,,77.47,2.4
RD-801,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png Ukraine,Yuzhnoye Design Office/Yuzhnoye Design Office,Mayak (rocket family),Development,1st,RP-1 / RP-1,336 [47] 300.7 (SL)," 1,339,255 1,198,608 (SL) "," 1,630 ",,180,2.65
RD-809K,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png Ukraine,Yuzhnoye Design Office/Yuzhnoye Design Office,Mayak (rocket family),Development,Upper,RP-1 / RP-1,352 [47]," 98,067 ",330,,,2.62
RD-810,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png Ukraine,Yuzhnoye Design Office/Yuzhnoye Design Office," Mayak (rocket family), Mayak (rocket family) ",Development,1st,RP-1 / RP-1,335.5 [48] 299 (SL)," 2,104,890 1,876,149 (SL) "," 2,800 ",,180,2.65
RD-843,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png Ukraine,Yuzhnoye Design Office/Yuzhnoye Design Office,Vega (rocket),Active,upper,Dinitrogen tetroxide / Dinitrogen tetroxide,315.5," 2,452 ",15.93,,20.4,2.0
RD-861K,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png Ukraine,Yuzhnoye Design Office/Yuzhnoye Design Office,Cyclone-4M,Development,2nd,Dinitrogen tetroxide / Dinitrogen tetroxide,330 [49]," 77,629 ",207,,,2.41
RD-120,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png Ukraine,Yuzhnoye Design Office/Yuzhnoye Design Office,Cyclone-4M,Development,1st,RP-1 / RP-1,340 [50] 301.5 (SL)," 876,715 777,667 (SL) "," 1,353 ",,,2.684
Firefly Alpha,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Firefly Aerospace,Firefly Alpha,Development,1st,RP-1 / RP-1,295.6[19]," 184,000[19] ",,,,
RL10RL10,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Aerojet Rocketdyne,Atlas IIIB  Atlas III,Active,Upper,Liquid hydrogen / Liquid hydrogen,451," 99,195 ",168,60.27,42,5.5
RL10RL10,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Aerojet Rocketdyne,Delta III Delta III Delta III,Active,Upper,Liquid hydrogen / Liquid hydrogen,465.5," 110,093 ",301,37.27,44,5.88
RL10RL10,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Aerojet Rocketdyne," Delta III Delta III Delta III, Delta III ",Active,Upper,Liquid hydrogen / Liquid hydrogen,450," 101,820 ",191,54.5,44,5.5
RS-25,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Rocketdyne,Space Shuttle Space Shuttle,Active,1st,Liquid hydrogen / Liquid hydrogen,452.3 366 (SL)," 2,279,000 1,860,000 (SL)[52] "," 3,526 ",53.79,206.4,
RS-68ARS-68A,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Pratt &amp; Whitney Rocketdyne,Delta IV Delta IV,Active,1st,Liquid hydrogen / Liquid hydrogen,411[53] 362 (SL)," 3,558,577   3,135,996 (SL) "," 6,686 ",54.31,109,5.97
Rutherford (rocket engine),//upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/23px-Flag_of_New_Zealand.svg.png New Zealand //upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/23px-Flag_of_New_Zealand.svg.png New Zealand,Rocket Lab,Electron (rocket),Active,1st,RP-1 / RP-1,311," 24,465   16,890 (SL) ",,,,
Rutherford (rocket engine),//upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/23px-Flag_of_New_Zealand.svg.png New Zealand //upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/23px-Flag_of_New_Zealand.svg.png New Zealand,Rocket Lab,Electron (rocket),Active,2nd,RP-1 / RP-1,343," 24,465 ",,,,
GSLV Mk III,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Satish Dhawan Space Centre,GSLV Mk III,Active,Booster,HTPB,274.5[54]," 5,150,000[55][56][57] "," 207,000 with fuel[54] ",,,
SCE-200,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Liquid Propulsion Systems Centre,GSLV Mk III   GSLV Mk III,Development," Upper, main ",RP-1 / RP-1,335  299 (SL)," 2,030,000   1,820,000 (SL) "," 2,700 ",,180,
Space Launch System Solid Rocket BoosterSpace Launch System,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Orbital ATK,Space Launch System,Development,Solid Rocket Booster,Polybutadiene acrylonitrile,267," 16,000,000 "," 730,000   with fuel ",,,
Polar Satellite Launch Vehicle,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Godrej &amp; Boyce,PSLV,Active,Booster,HTPB,253[58]," 502,600 "," 10,800   with fuel ",,43,
SRB-A,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,IHI Corporation IHI Corporation,H-IIA H-IIA  H-IIA,Active,Solid rocket booster,HTPB,283.6[59]," 2,305,000   2,150,000 (SL) "," 76,600   with fuel ",,111,
TEPREL,//upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/23px-Flag_of_Spain.svg.png Spain,PLD Space,Miura 1 Miura 1,Operational,1st,RP-1 / RP-1,122," 32,000 (SL) ",,,,
TQ-12 (page does not exist)TQ-12 (page does not exist),//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Landspace,ZQ-2 (rocket) (page does not exist),Development,1st,Liquid methane / Liquid methane,284," 667,000 (SL) ",,,101,
Vikas (rocket engine),//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Liquid Propulsion Systems Centre,PSLV PSLV PSLV,Active," 2nd, main, booster ",Dinitrogen tetroxide / Dinitrogen tetroxide,262," 680,500–804,500  600,500–756,500 (SL) ",,,53.0–58.5,
Vinci (rocket engine),//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Snecma,Ariane 6,Development,Upper,Liquid hydrogen / Liquid hydrogen,467[61]," 180,000 ",280,65.60,61,
Vulcain (rocket engine),//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Snecma,Ariane 5,Active,1st,Liquid hydrogen / Liquid hydrogen,429[62]   318 (SL)[63]," 1,359,000[62]   939,500 (SL)[63] "," 1,800[62] ",77.04,117.3[62],
YF-100,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,Long March 5 Long March 5 Long March 5,Active," Booster, 1st ",RP-1 / RP-1,335[64]   300 (SL)," 1,340,000   1,200,000 (SL) ",,,180,
YF-115,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,Long March 6 Long March 6,Active,2nd,RP-1 / RP-1,341.5," 176,500 ",,,,
YF-20,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,Long March 2E Long March 2E Long March 2E,Active," Booster, 1st ",Dinitrogen tetroxide / Dinitrogen tetroxide,260.66 (SL)[65]," 740,400 (SL)[65] ",,,,
YF-20,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,Long March 2C Long March 2C Long March 2C Long March 2C Long March 2C Long March 2C Long March 2C,Active,1st,Dinitrogen tetroxide / Dinitrogen tetroxide,260.7 (SL)[65]," 740,400 (SL)[65] ",,,,
YF-20,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,Long March 3B Long March 3B,Active,Booster,Dinitrogen tetroxide / Dinitrogen tetroxide,260.66 (SL)[65]," 740,400 (SL)[65] ",,,,
YF-20,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,Long March 2E Long March 2E,Active,2nd,Dinitrogen tetroxide / Dinitrogen tetroxide,298.0[65]," 738,400 ",,,,
YF-20,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,Long March 2C Long March 2C Long March 2C Long March 2C,Active,2nd,Dinitrogen tetroxide / Dinitrogen tetroxide,298.0[65]," 742,040 ",,,,
YF-20,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,Long March 3,Active,2nd,Dinitrogen tetroxide / Dinitrogen tetroxide,298.0[65]," 741,400 ",,,,
YF-20,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,Long March 3A Long March 3A Long March 3A,Active,2nd,Dinitrogen tetroxide / Dinitrogen tetroxide,298.0[65]," 741,400 ",,,,
YF-40,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,Long March 4B Long March 4B,Active,3rd,Dinitrogen tetroxide / Dinitrogen tetroxide,303," 103,000 ",,,,
Yuanzheng-1,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,Long March 3B Long March 3B Long March 3B Long March 3B,Active,Upper,Dinitrogen tetroxide / Dinitrogen tetroxide,315.5," 6,500 ",,,,
YF-73,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,Long March 3,Active,3rd,Liquid hydrogen / Liquid hydrogen,420.0," 44,150 ",,,,
YF-75,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,Long March 3A Long March 3A Long March 3A,Active,3rd,Liquid hydrogen / Liquid hydrogen,438.0[65]," 167,170 ",,,,
YF-75D,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,Long March 5,Active,2nd,Liquid hydrogen / Liquid hydrogen,442.0," 86,260 ",,,,
YF-77,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,Long March 5,Active,1st,Liquid hydrogen / Liquid hydrogen,430 310.2 (SL)," 700,000 510,000 (SL) "," 2,700 ",,102,
YF-90 (page does not exist),//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,Long March 9,Development,2nd,Liquid hydrogen / Liquid hydrogen,453," 2,300,000 ",,,,
YF-100,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation," Long March 7, Long March 7 ",Active,1st,RP-1/ LOX,300," 1,223,500 "," 2,700 ",,133,
YF-130 (page does not exist),//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,Long March 9,Development,1st,RP-1/ LOX,306," 4,800,000 ",,,,
Zefiro (rocket stage),//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png European Union,Avio,Vega (rocket),Active,3rd,HTPB,295.2[66]," 314,000[66] "," 11,400 with fuel ",,75,
Zefiro (rocket stage),//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png European Union,Avio,Vega (rocket),Active,2nd,HTPB,287.5[67]," 1,122,000[67] "," 25,935 with fuel ",,,
Delphin (rocket engine) (page does not exist),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Astra Space,Rocket 3.0[68],Active,1st,RP-1/RP-1RP-1,," 27,000[70] ",,,,
