Resort name and website, Nearest city, State/province, Peak elevation (ft), Base elevation (ft), Vertical drop (ft), Skiable acreage, Total trails, Total lifts, Avg annual snowfall (in), Adult weekend lift ticket window price (USD), Date statistics updated
Kewaunee Winter Park, Kewaunee, Wisconsin, 740, 580, 160, , 5, 1, , $15, December 9 2019[338]
Keyes Peak Ski Hill, Florence, Wisconsin, 1480, 1250, 230, , 5, 2, 60, $12, December 9 2019[339]
Little Switzerland Ski Area, Slinger, Wisconsin, 1269, 1069, 200, 50, 18, 8, 45, $43, December 9 2019[340]
Mont Du Lac Resort, Superior, Wisconsin, 920, 640, 270, 10, 11, 2, 55, $40, December 9 2019[341]
Grand Geneva Resort and Spa, Lake Geneva, Wisconsin, 1000, 789, 211, 30, 20, 5, 25, $55, December 9 2019[342]
Mount Ashwabay Ski and Recreation Area, Bayfield, Wisconsin, , , 317, 65, 13, 2, , $26, December 9 2019[343]
Mount La Cross, La Crosse, Wisconsin, 1010, 594, 516, 100, 19, 4, 40, $58, December 9 2019[344]
Navarino Hills, Shiocton, Wisconsin, 885, 785, 100, , , 4, , Temporarily Closed, December 9 2019[345]
Nordic Mountain, Wild Rose, Wisconsin, 1137, 872, 265, 60, 18, 7, 80, $39, December 9 2019[346]
Nutt Hill Ski Area, Plymouth, Wisconsin, , , 100, 10, 2, 1, , Temporarily Closed, December 9 2019[347]
Powers Bluff County Park and Winter Recreation Area, Arpin, Wisconsin, 1430, 1180, 250, , 3, 2, , $10, December 9 2019[348]
Standing Rocks County Park and Winter Recreation Area, Portage, Wisconsin, , , 125, , 5, 1, , $16, December 9 2019[349]
Sunburst Winter Sports Park, West Bend, Wisconsin, 1100, 866, 214, 40, 12, 9, 50, $44, December 9 2019[350]
Triangle Sports Area, Green Bay, Wisconsin, 710, 640, 70, , 2, 3, , $5, December 9 2019[351]
Trollhaugen, Dresser, Wisconsin, 1200, 920, 280, 86, 24, 10, 50, $55, December 9 2019[352]
Tyrol Basin, Mount Horeb, Wisconsin, 1130, 870, 260, 30, 16, 6, 41, $48, December 9 2019[353]
Whitecap Mountains Resort, Upson, Wisconsin, 1750, 1295, 400, 400, 43, 5, 200, $65, December 9 2019[354]
Whitetail Ridge Ski Area, Fort McCoy, Wisconsin, 1050, 865, 185, , , 1, , $37, December 9 2019[355]
Wilmot Mountain Ski Resort, Wilmot, Wisconsin, 960, 770, 190, 120, 23, 11, 48, $65, December 9 2019[356]
Alpine Valley, White Lake, Michigan, 500, 126, 374, 100, 25, 14, 20, $48, December 9 2019[357]
Apple Mountain, Freeland, Michigan, 820, 600, 220, 80, 12, 6, 52, Temporarily Closed, December 9 2019[358]
Big Powderhorn Mountain Resort, Bessemer, Michigan, 1800, 1200, 600, 253, 45, 10, 214, $69, December 9 2019[359]
Bittersweet Ski Resort, Otsego, Michigan, 850, 450, 400, 100, 20, 12, 90, $50, December 9 2019[360]
Big Snow Resort (includes Blackjack and Indianhead Mountain), Bessemer, Michigan, 1935, 1297, 638, 321, 56, 17, 205, $65, December 9 2019[361]
Boyne Highlands Resort, Harbor Springs, Michigan, 1290, 745, 545, 435, 55, 10, 140, $75, December 9 2019[362]
Caberfae Peaks, Cadillac, Michigan, 1569, 1060, 485, 200, 34, 5, 140, $59, December 9 2019[363]
Cannonsburg Ski Area, Belmont, Michigan, 1100, 850, 250, 100, 21, 10, 100, $39, December 9 2019[364]
Crystal Mountain, Thompsonville, Michigan, 1132, 757, 375, 102, 58, 8, 132, $74, December 9 2019[365]
Hickory Hills Ski Area, Traverse City, Michigan, , , 237, 125, 8, 5, , $25, December 9 2019[366]
The Homestead, Glen Arbor, Michigan, 900, 580, 320, 16, 15, 5, 150, $39, December 9 2019[367]
Marquette Mountain Ski Area, Marquette, Michigan, 1257, 800, 457, 169, 25, 4, 117, $54, December 9 2019[368]
Mont Ripley Ski Area, Hancock, Michigan, 1140, 700, 440, 112, 25, 4, 275, $52, December 9 2019[369]
Mount Bohemia, Mohawk, Michigan, 1500, 600, 900, 585, 102, 2, 273, $74, December 9 2019[370]
Mount Brighton, Brighton, Michigan, 1330, 1100, 230, 130, 26, 13, 60, $64, December 9 2019[371]
Mount Holiday Ski and Recreational Area, Traverse City, Michigan, 440, 240, 200, 45, 12, 4, 120, $34, December 9 2019[372]
Mount McSauba, Charlevoix, Michigan, 650, 400, 150, 80, 10, 4, , $18, December 9 2019[373]
Mount Zion Ski Hill, Ironwood, Michigan, 1400, 1100, 300, 20, 9, 2, , $25, December 9 2019[374]
Mulligan's Hollow Ski Bowl, Grand Haven, Michigan, 700, 570, 130, 10, 7, 5, 60, $20, December 9 2019[375]
Norway Mountain Resort, Norway, Michigan, 1335, 835, 500, 186, 17, 6, 100, $45, December 9 2019[376]
Nub's Nob Ski Area, Harbor Springs, Michigan, 1338, 911, 427, 248, 53, 10, 123, $88, December 9 2019[377]
Otsego Club and Resort, Gaylord, Michigan, 1380, 1080, 300, 160, 30, 5, 150, $65, December 9 2019[378]
Petoskey Winter Sports Park, Petoskey, Michigan, 790, 720, 70, , , 1, , Free, December 9 2019[379]
Pine Knob, Clarkston, Michigan, 1308, 1009, 300, 80, 14, 6, , $47, December 9 2019[380]
Pine Mountain Resort, Iron Mountain, Michigan, 1650, 1150, 500, 220, 31, 4, 60, $49, December 9 2019[381]
Porcupine Mountains Ski Area, Ontonagon, Michigan, 1360, 720, 640, 200, 19, 3, , $45, December 9 2019[382]
Shanty Creek Resort, Bellaire, Michigan, 1125, 675, 450, 70, 42, 8, 160, $74, December 9 2019[383]
Ski Brule, Stambaugh, Michigan, 1861, 1361, 500, 150, 17, 11, 150, $55, December 9 2019[384]
Snow Snake Mountain Ski Area, Harrison, Michigan, 1230, 1020, 210, 40, 12, 6, , $35, December 9 2019[385]
Timber Ridge, Gobles, Michigan, 850, 650, 200, 50, 16, 8, , $45, December 9 2019[386]
Treetops Resort, Gaylord, Michigan, 1345, 1120, 225, 80, 23, 5, 175, $43, December 9 2019[387]
Belleyare Ski Center, Kingston, New York, 3429, 2024, 1405, 173, 52, 8, 141, $80, December 10 2019[388]
Gore Mountain Ski Resort, Glens Falls, New York, 3600, 1000, 2600, 428, 109, 15, 150, $94, December 10 2019[389]
Holiday Valley, Buffalo, New York, 2250, 1500, 750, 290, 58, 13, 180, $85, December 10 2019[390]
Peek'n Peak Resort, Erie, New York, 1800, 1400, 400, 130, 27, 9, 105, $64, December 10 2019[391]
Catamount Ski Area, Great Barrington, New York, 2000, 1000, 1000, 119, 36, 7, 75, $30, December 10 2019[392]
Greek Peak Mountain Resort, Virgil, New York, 2200, 1148, 952, 220, 55, 9, 122, $79, December 10 2019[393]
Titus Mountain Family Ski Center, Malone, New York, 2025, 825, 1200, 380, 50, 10, 150, $49, December 10 2019[394]
Kissing Bridge, Glenwood, New York, 1700, 1150, 550, 700, 39, 10, 120, $65, December 10 2019[395]
Holiday Mountain, Monticello, New York, 1550, 1150, 400, 37, 9, 4, 50, $42, December 9 2019[396]
Bristol Mountain Ski Resort, Rochester, New York, 2150, 1000, 1150, 160, 35, 6, 130, $79, December 9 2019[397]
Buffalo Ski Center, Colden, New York, 3429, 2025, 500, 225, 43, 6, , $50, December 9 2019[398]
Big Tupper Ski Area, Tupper Lake, New York, , , , , , , , Temporarily Closed, December 9 2019[399]
Hickory Ski Center, , New York, , , , , , , , Temporarily Closed, December 9 2019[400]
Four Season Ski Center, Fayetteville, New York, 604, 545, 59, 12, 4, 2, , $24, December 10 2019[401]
Maple Ski Ridge, Schenectady, New York, 1200, 750, 450, 25, 10, 3, , $39, December 10 2019[402]
McCauley Mountain Ski Center, Old Forge, New York, 2280, 1647, 633, 70, 21, 5, 200, $35, December 10 2019[403]
Mount Pisgah Ski Area, Saranac Lake, New York, 2060, 1770, 290, 15, 5, 1, , $15, December 10 2019[404]
Beartown Ski Area, Plattburgh, New York, 1000, 850, 150, 32, 9, 2, , $22, December 10 2019[405]
Mount Peter, Warwick, New York, 1250, 800, 450, 69, 14, 5, 50, $62, December 10 2019[406]
Oak Mountain, Speculator, New York, 2400, 1650, 750, 46, 22, 4, 120, $40, December 10 2019
Royal Mountain Ski Area, Johnstown, New York, 1800, 1250, 550, 35, 14, 3, 90, $45, December 10 2019[407]
Song Mountain Resort, Tully, New York, 1940, 1240, 700, 93, 24, 5, 125, $61, December 10 2019[408]
Snow Ridge Ski Resort, Turin, New York, 2000, 1350, 650, 130, 21, 6, 230, $48, December 10 2019[409]
Labrador Mountain, Truxton, New York, 1825, 1125, 700, 250, 23, 4, 125, $61, December 10 2019[408]
Swain Resort, Grove, New York, 1970, 1320, 650, 130, 35, 5, 120, $65, December 10 2019[410]
Dry Hill Ski Area, Watertown, New York, 950, 650, 300, 37, 7, 3, 125, $38, December 10 2019[411]
Thunder Ridge Ski Area, Patterson, New York, 1270, 670, 600, 90, 21, 7, , $57, December 10 2019
Tuxedo Ridge Ski Center, , New York, , , , , , , , Temporarily Closed, December 10 2019[412]
West Mountain, Glens Falls, New York, 1470, 460, 1010, 124, 30, 7, 80, $79, December 10 2019[413]
Willard Mountain, Greenwich, New York, 1415, 910, 505, 50, 16, 5, 80, $47, December 10 2019[414]
Toggenburg Mountain Ski Center, Fabius, New York, 2000, 1300, 700, 85, 22, 5, 130, $57, December 10 2019[415]
Woods Valley Ski Area, Rome, New York, 1400, 900, 500, 25, 21, 6, 180, $39, December 10 2019[416]
Brantling Ski Slopes, Sodus, New York, 850, 600, 250, 20, 10, 5, 110, $32, December 10 2019[417]
Plattekill Mountain, Roxbury, New York, 3500, 2400, 1100, 110, 38, 4, 175, $68, December 10 2019[418]
Bromley Mountain Resort, Manchester, Vermont, 3284, 1950, 1334, 178, 47, 9, 168, $92, December 10 2019[419]
Burke Mountain, Lyndonville, Vermont, 3267, 1210, 2011, 178, 50, 6, 217, $75, December 10 2019[420]
Cochran's Ski Area, Richmond, Vermont, 950, 600, 350, 15, 8, 3, 150, $19, December 10 2019[421]
Hard'ack Recreation Area, St. Albans, Vermont, , , 100, , , 1, , Free, December 10 2019[422]
Living Memorial Park, Brattleboro, Vermont, 1126, 922, 204, 8, 2, 1, , $5, December 10 2019[423]
Lyndon Outing Club, Lyndon, Vermont, 1247, 814, 433, 32, 10, 2, , $15, December 10 2019[424]
Mad River Glen, Waitsfield, Vermont, 3637, 1600, 2037, 115, 52, 5, 230, $79, December 10 2019
Jay Peak, Jay, Vermont, 3968, 1815, 2153, 385, 79, 9, 350, $89, December 10 2019[425]
Magic Mountain, Londonderry, Vermont, 2850, 1350, 1500, 205, 51, 6, 150, $74, December 10 2019[426]
Middlebury College Snow Bowl, Hancock, Vermont, 2720, 1720, 1000, 110, 17, 3, 250, $60, December 10 2019[427]
Pico Mountain, Killington, Vermont, 3967, 2000, 1967, 468, 57, 7, 250, $85, December 10 2019[428]
Suicide Six, Pomfret, Vermont, 1200, 550, 650, 100, 23, 3, 110, $79, December 10 2019[429]
Searchmont, Sault Ste. Marie Ontario, Ontario, 912, 1470, 700, 100, 21, 4, 132, $59, March 9 2020[430][431]
