NTFS,255 characters," In Win32 namespace: any Win32 code unit (case-insensitive) except /\:*""?<>| as well as Win32 In Win32 namespace: any Win32 code unit (case-sensitive) except / as well as Win32Win32  "," 32,767 Unicode characters with each path component (directory or filename) up to 255 characters long[f] ",16 EiB[n],16 EiB[n],232
ReFS,255 UTF-16 characters[17]," Any Unicode except NUL, /Unicode "," 32,767 Unicode characters with each path component (directory or filename) up to 255 characters long[17] ",16 EiB[17][18],1 YobibyteYobibyte,?
HFS Plus,255 UTF-16 characters[o],Any valid UnicodeUnicodeUnicode,Unlimited,slightly less than 8 EiB,slightly less than 8 EiB[19][20],?
Berkeley Fast File System,255 bytes,Any byte except NUL[e],No limit defined[f],4 Gibibyte,256 Tebibyte,?
HAMMER (file system),255 bytes[21],Any byte except NUL[e],?,?,1 ExbibyteExbibyte,?
UFS1 (file system),255 bytes,Any byte except NUL[e],No limit defined[f],16 Gibibyte to 256 Gibibyte,16 Exbibyte," Subdirectory per directory is 32,767[23] "
UFS2 (file system),255 bytes,Any byte except NUL[e],No limit defined[f],512 Gibibyte to 32 Gibibyte,512 ZebibyteZebibyte (279 bytes)," Subdirectory per directory is 32,767[23] "
Extended file system,255 bytes,Any byte except NUL[e],No limit defined[f],2 Gibibyte,2 Gibibyte,?
Xiafs,248 bytes,Any byte except NUL[e],No limit defined[f],64 Mebibyte,2 Gibibyte,?
Ext2,255 bytes," Any byte except NUL, /[e] ",No limit defined[f],16 Gibibyte to 2 GibibyteGibibyte,2 Tebibyte to 32 Tebibyte,?
Ext3,255 bytes," Any byte except NUL, /[e] ",No limit defined[f],16 Gibibyte to 2 GibibyteGibibyte,2 Tebibyte to 32 Tebibyte,?
Ext4,255 bytes[25]," Any byte except NUL, /[e] ",No limit defined[f],16 Gibibyte to 16 GibibyteGibibyteGibibyte,1 EiB,232
NOVA (filesystem),255 bytes," Any byte except NUL, /[e] ",No limit defined[f],16 Exbibyte,16 Exbibyte,?
Lustre (file system),255 bytes,Any byte except NUL[e],No limit defined[f],16 Exbibyte on Exbibyte,16 Exbibyte,?
General Parallel File System,255 UTF-8 Codepoint,Any byte except NUL[e],No limit defined[f],No limit found,299 bytes (2 Petabyte tested),?
Global File System,255 bytes,Any byte except NUL[e],No limit defined[f],2 Tebibyte to 8 TebibyteTebibyte,2 Tebibyte to 8 TebibyteTebibyte,?
NILFS,255 bytes,Any byte except NUL[e],No limit defined[f],8 EiB,8 EiB,?
ReiserFS," 4,032 bytes/255 characters ",Any byte except NUL or '/'[e],No limit defined[f]," 8 TebibyteTebibyte (v3.6), 4 Tebibyte (v3.5) ",16 Tebibyte,?
Reiser4," 3,976 bytes ",Any byte except / and NUL,No limit defined[f],8 Tebibyte on x86,?,?
OCFS,255 bytes,Any byte except NUL[e],No limit defined[f],8 Tebibyte,8 Tebibyte,?
OCFS2,255 bytes,Any byte except NUL[e],No limit defined[f],4 Pebibyte,4 Pebibyte,?
XFS,255 bytes[s],Any byte except NUL[e],No limit defined[f],8 ExbibyteExbibyte,8 ExbibyteExbibyte,?
JFS file system,255 bytes,Any byte except NUL[e],No limit defined[f],8 Exbibyte,512 Tebibyte to 4 Tebibyte,?
JFS file system,255 bytes,Any Unicode except NUL,No limit defined[f],4 Pebibyte,32 Pebibyte,?
QFS,255 bytes,Any byte except NUL[e],No limit defined[f],16 ExbibyteExbibyte,4 PebibytePebibyte,?
Be File System,255 bytes,Any byte except NUL[e],No limit defined[f]," 12,288 bytes to 260 GibibyteGibibyte ",256 Pebibyte to 2 Pebibyte,?
AdvFS,255 characters,Any byte except NUL[e],No limit defined[f],16 Tebibyte,16 Tebibyte,?
Novell Storage Services,256 characters,Depends on namespace used[w],Only limited by client,8 Tebibyte,8 Tebibyte,?
NetWare File System,80 bytes[x],Depends on namespace used[w],No limit defined[f],4 Gibibyte,1 Tebibyte,?
ODS-5,236 bytes[y],?," 4,096 bytes[z] ",1 Tebibyte,1 Tebibyte,?
Veritas File System,255 bytes,Any byte except NUL[e],No limit defined[f],16 Exbibyte,?,?
Universal Disk Format,255 bytes,Any Unicode except NUL," 1,023 bytes[aa] ",16 Exbibyte,512 Mebibyte to 16 Mebibyte,?
ZFS,255 bytes,Any Unicode except NUL,No limit defined[f],16 EiB,256 Zebibyte (278 bytes),2128
Btrfs,255 bytes,Any byte except '/' and NUL,No limit defined,16 EiB,16 EiB,264
Minix file system," 14 or 30 bytes, set at filesystem creation time ",Any byte except NUL[e],No limit defined[f],256.5 Mebibyte Mebibyte,64 Mebibyte,?
Minix file system," 14 or 30 bytes, set at filesystem creation time ",Any byte except NUL[e],No limit defined[f],2 Gibibyte Gibibyte,1 Gibibyte,?
Minix file system,60 bytes,Any byte except NUL[e],No limit defined[f],2 Gibibyte,4 Gibibyte,?
VMFS2,128,Any byte except NUL or /[e]," 2,048 ",4 TebibyteTebibyte,64 Tebibyte,?
VMFS3,128,Any byte except NUL or /[e]," 2,048 ",2 TebibyteTebibyte,64 Tebibyte,?
ISO 9660:1988," Level 1: 8.3, Level 2 &amp; 3: ~ 180 ",Depends on Level[ad],~ 180 bytes?,4 GiB (Level 1 &amp; 2) to 8 GiB (Level 3)GiB,8 TiBTiB,?
Joliet (file system),64 Unicode characters," All UCS-2 code except *, /, \, :, ;, and ?UCS-2 ",?,same as ISO 9660:1988,same as ISO 9660:1988,?
Rock Ridge,255 bytes,Any byte except NUL or /[e],No limit defined[f],same as ISO 9660:1988,same as ISO 9660:1988,?
UniFS (page does not exist),No limit defined (depends on client),?,No limit defined (depends on client),Available cache space at time of write (depends on platform),No limit defined,No limit defined
ISO 9660:1999,?,?,?,?,?,?
High Sierra Format,?,?,?,?,?,?
SquashFS,?,?,No limit defined,16 Exbibyte,16 Exbibyte,?
File system,Maximum filename length,Allowable characters in directory entries[c],Maximum pathname length,Maximum file size,Maximum volume size[d],Max number of files
