Format,Full name,Owner,Based Format,File extension,MIME type,Application,Patented
Computer Graphics Metafile,Computer Graphics Metafile,,,.cgm,image/cgm," CGM files are editable using programs that support the format, such as IBM Lotus Freelance Graphics, Inkscape, etc. ",
Cineon,Cineon,,,.cin,image/cineon,,
Corel Paint Shop Pro Pattern,,,,.pat,,Supported by Corel Paint Shop Pro,
Cartesian Perceptual Compression,Cartesian Perceptual Compression," Cartesian Products, Inc. ",," .cpc, .cpi ",image/cpi,Highly compressed raster imaging format.,Yes
CPKT,APP5-CPKT Format,,JPEG," .jpg, .jpe, .jpeg ",image/jpeg,Used by PROSERPINE.,
CPT,Corel Photo-Paint Image,,,.cpt,,Variant of TIFF up to and including version 6.0; proprietary as of 7.0 (1997),
Crack Art,,Detlef Röttger &amp; Jan Borchers,," .ca1, .ca2, .ca3 ",,An application on Atari ST,
CUT,,,,.cut,,Used by DSHELL.,
CMYK,,,,.cmyk,,,
CMYKA,,,,.cmyka,,,
Raw image format,Kodak DCS Pro RAW,Kodak,,.dcs,,,
Raw image format,Digital Camera Raw,Kodak,TIFF,.dcr,,,
DirectDraw Surface,DirectDraw Surface,Microsoft,,.dds,,,
Degas,Design &amp; Entertainment Graphic Arts System,Integral Solutions,," .pi1, .pi2, .pi3, .pc1, .pc2, .pc3 ",,An application on Atari ST,
Digital Negative (file format),Digital Negative,Adobe Systems," Compatible with ISO 12234-2, Tag Image File Format / Electronic PhotographyTag Image File Format / Electronic Photography ",.dng,,A Raw image format suitable as an archival format and as the native raw format of digital camerasRaw image format,No: no known intellectual property encumbrances or license requirements[5]
DIA,Dia Drawing,,XML,.dia,,Used by Dia (software),
DICOM,Digital Imaging and Communications in Medicine,National Electrical Manufacturers Association,," .dcm, .dicom ",application/dicom[6]," Numerous biomedical imaging applicationsOsiriX (e.g. OsiriX, XMedCon), some general bitmap graphics applications (e.g. OsiriX, OsiriX) ",
DjVu,DjVu,AT&amp;T Research,," .djvu, .djv ",image/vnd.djvu,,
Doodle,,,,.doo,,An application on Atari ST,
Digital Picture Exchange,Digital Picture eXchange file format,,,.dpx,image/dpx,,
Raw image format,Kodak Pro Back RAW,Kodak,,.drf,,,
Dr. Halo,,,,.cut,,,
Encapsulated PostScript,page description/scripting language (see PostScript),Adobe Systems,," .epi, .eps, .eps2, .eps3, .epsf, .epsi, .ept ",application/postscript,printing/publishing industry standard format,
ECW (file format),Enhanced Compressed Wavelet,ERDAS,,.ecw,,Wavelet image format used primarily with geo-referenced aerial and satellite imagery,Yes
EDG,EDGE2 Original Format,TAKABO,,.edg,,Used by EDGE2,
EGI,Exclusive Graphics Format,,,.egi,,,
Enhanced Metafile,Enhanced Metafile Format,Microsoft,," .emf, .emz ",,Microsoft Office,
Enhanced Metafile,Enhanced Metafile Format Plus Extensions,Microsoft,," .emf, .emz ",,,
Raw image format,EPSON RAW,EPSON,TIFF,.erf,,,
ERI,Entis Rasterized Image format,,,.eri,,,
Exchangeable image file format,Exchangeable Image File Format,,,.exif,,,
Extended Vector Animation,Extended Vector Animation,Sharp Corporation,,.eva,application/x-eva,,
OpenEXR,OpenEXR,Industrial Light &amp; Magic,,.exr,image/exr,Used in film effects for 3d rendering and hdr images.,?
Farbfeld,,Laslo Hunhold,,.ff,,Very simple lossless bitmap format used for image processing.,No
FIF,Fractal Image Format,,,.fif,,,
FIG,FIG format,,,.fig,application/x-xfig,Supported by Xfig,
FITS,Flexible Image Transport System,,," .fit, .fits ",,Scientific (esp. astronomical) data acquisition,
FLA,Flash Source File,,,.fla,,,
FLIC (file format),,Autodesk,," .fli, .flc, .flx, .flh, .flt ",,Supported by GIMP,
Free Lossless Image Format,Free Lossless Image Format,,," .flif, .flf ",," General-purpose lossless image compression, superior compression. ",No
Kivio Document,,,.flw,,Supported by Kivio,
FlashPix,FlashPix (1.0.2),,,.fpx,image/vnd.fpx,,
FreeHand,,Adobe Systems,," .fh4, .fh5, .fh7, .fh8, .fhc, .fh ",image/x-freehand,,
FutureSplash,,Adobe Systems,,.spl,application/futuresplash,,
FXT,,3DFX,,.fxt,,,
GEGL composition,,,XML,.xml,application/xml,Used by GEGL,
Gerber Format,The Gerber Format Specification[7],Ucamco (page does not exist),Printable ASCII,.gbr,application/vnd.gerber,Printed Circuit Board or PCB software,No
GIF,Graphics Interchange Format," CompuServe, CompuServe (compression algorithm) ",," .gif, .gfa, .giff ",image/gif,Supported by most web browsers. Supports transparency and animation.,Expired
GIMP brush,,The GIMP Team,,.gbr,,Supported by GIMP,
GIMP compressed XJT image,,The GIMP Team," JPEG, tar "," .xjt, .xjtgz (compressed), .xjtbz2 (compressed) "," None. Lossy format, not suitable for editing ",Supported by GIMP,
GIH,Gimp image hose,The GIMP Team,,.gih,,Supported by GIMP,
GIMP patterns,,The GIMP Team,,.pat,,Supported by GIMP,
GRA,,,,.gra,,Used by QSV and QLD.,
G3 Fax,,,,.g3,,Supported by GIMP,
Hasselblad 3FR RAW,,,TIFF,.3fr,,,
Hasselblad/Imacon FFF,,,,.fff,,,
HEIF,High Efficiency Image Format,Motion Pictures Expert Group (MPEG),," .heif, .heic "," image/heif, image/heic, image/heic-sequence, image/heif-sequence ",,Yes
HDRi (data format),,,TIFF," .tif, .tiff ",image/tiff,,
HG,Hyper Graphic Press,,,.hg,,Supported by some old Japanese applications.,
ICER,,NASA NASA,,,,,
IIQ RAW,Intelligent Image Quality RAW,Phase One (company),,.iiq,,,
IMA,.ima,.ima team,,.ima,,Format for Photograph images with Photograph encoding.,No
IMG (GEM Paint),,,,.img,,Supported by GEM Paint,
IMG (ERDAS IMAGINE),ERDAS IMAGINE,ERDAS,Hierarchical File Architecture (HFA),.img,," Image format used primarily with geo-referenced imagery, thematic grid data, and elevation grid data. ",Yes
im4,,Masahide Hirabayashi,,.im4,,,
Inkscape SVG,,The Inkscape Team,SVG," .svg, .svgz ",image/svg+xml,Used by Inkscape,
ICO (icon image file format),ICO file format,Microsoft,," .ico, .cur "," image/vnd.Microsoft.icon, image/x-icon ",Used by Microsoft Windows and Microsoft Windows as Microsoft Windows,
Image Cytometry Standard,Image Cytometry Standard,,," .ics, .ids ",,,
IGES,Initial Graphics Exchange Specification,,,.igs,image/iges,Computer-aided technologies Computer-aided technologies,No
ILBM,InterLeaved BitMap,Electronic Arts and Electronic Arts,Interchange File Format," .iff, .ilbm, .lbm ",image/x-ilbm,Planar (computer graphics) graphics format designed for Planar (computer graphics) graphics hardware.,No
IPTC/NAA,IPTC/NAA,,Tagged Image File Format,,,,
JBIG,,Joint Bi-level Image Experts Group,," .jbig, .bie, .jbg ",,,
JBIG2,,Joint Bi-level Image Experts Group,,,,,
JPEG Network Graphics,JPEG Network Graphics,,,.jng,image/x-jng,,No
JPEG,Joint Photographic Experts Group,Joint Photographic Experts Group,," .jpg, .jpeg, .jpe (containers: .jif, .jfif, .jfi) ",image/jpeg,Photograph images. Supported by most web browsers.,Expired (see also Forgent)
JPEG 2000,Joint Photographic Experts Group 2000,Joint Photographic Experts Group,," .jp2, .j2c, .jpc, .j2k, .jpx ",image/jp2," Photograph images, eventual replacement for Photograph. ",Yes (no licence costs for part 1)
JPEG-LS,,Joint Photographic Experts Group,,.jls,,,
JPEG-HDR,,Dolby Laboratories/Dolby Laboratories,JPEG,,,High dynamic range imaging format based on High dynamic range imaging floating-point encoding and backward-compatible extensions to High dynamic range imaging format; included in JPEG XT Part 2.,
JPEG XT,,Joint Photographic Experts Group,,,,Backwards-compatible extension of the JPEG format for high bit depth and floating point High dynamic range imaging encoding of lossy and lossless images,
JPEG XR / JPEG XR,JPEG XR / HD Photo,Microsoft,," .wdp, .hdp, .jxr ",image/vnd.ms-photo,TIFF-like container format with High dynamic range imaging encoding for photographic images,Yes (royalty-free)
J6I,,RICOH,JPEG,.j6i,,Used by RICOH DC-1/2,
Raw image format,Kodak DC40/DC50 RAW,Kodak,TIFF,.kdc,,,
KOA,,,," .koa, .gg (compressed) ",,Supported by Koala Paint,
KIFF,Kt Interchange File Format,,," .kif, .kiff ",,,
KISS CEL,,,,.cel,,Supported by GIMP,
Kodak TIFF extensions,,Kodak,TIFF,.tif,,,
Kodak YCC,,Kodak,,.pcd,,,
KQP,,Minolta,JPEG,.kqp,,,
Raw image format,Kodak DC25 RAW,Kodak,TIFF,.k25,,,
Leaf Mosaic RAW,,,TIFF,.mos,,,
LightStream Picture,,,,.lsp,,,
Logluv TIFF,,Greg Ward,TIFF,,,Supported by Libtiff,
Mac Paint,,,," .pnt, .mac ",,,
MDC,Minolta RD175 Format,Minolta,,.mdc,,,
MET,OS/2 Metafile Format,,,.met,,Supported by SAS/GRAPH,
Multiple-image Network Graphics,Multiple-image Network Graphics,,Portable Network Graphics,.mng,video/x-mng,,No
MO:DCA,MO:DCA,IBM,," .mda, .ica, .mmr, .afp ",image,IBM's Content Manager and Image Plus,Yes
MSP,Microsoft Paint,Microsoft,,.msp,,,
MYD,Myd format,,,.myd,,,
MYV,Myv vector format,,,.myv,,,
Raw image format,Nikon RAW,Nikon,TIFF,.nef,,,
MEF,Mamiya RAW,Mamiya,TIFF,.mef,,,
Neochrome,,Dave Staugas,,.neo,,An application on Atari ST,
MAG,MAKIchan Graphic loader,Woody-Rinn,,.mag,,Used by many old Japanese applications.,
MAKI,MAKIchan net format,Woody-Rinn,,.mki,,,
Magick Image File Format,Magick image file format,ImageMagick Studio,,.miff,,Supported by ImageMagick,
MSA,Misachan File,Hirohumi Iguchi,,.msa,,Supported by old Japanese applications,
MSL,Magick Scripting Language,ImageMagick Studio,,.msl,,Supported by ImageMagick,
MVG,Magick Vector Graphics,ImageMagick Studio,,.mvg,,Supported by ImageMagick,
MPC,Magick Persistent Cache image file format,ImageMagick Studio,,.mpc,,Supported by ImageMagick,
Raw image format,Minolta RAW,Minolta,,.mrw,,,
NSK-TIFF,NSK-TIFF,Japan Newspaper Publishers and Editors Association,Tagged Image File Format,,,,
OAZ,OAZ Fax,Oaz Communications,,.oaz,,Used by NetFax Manager,
ODG,OpenDocument drawing,,,.odg,,,
ORA,OpenRaster,freedesktop.org,OpenDocument/XML,.ora,," DrawPile, GIMP, GIMP, MyPaint, Nathive, GIMP ",No
Raw image format,Olympus RAW,Olympus Corporation,TIFF,.orf,,,
ORTL,Ortelius file format," Mapdiva, LLC ",,.ortl,,Vector image/map format; used by Ortelius,
PAM graphics format,portable arbitrary map file format,,,.pam,image/x-portable-arbitrarymap,,No
Panasonic RAW,,Panasonic,TIFF," .raw, .rw2 ",,,
PCIF,Polyomino Compressed Image Format,,,.pcf,,,
PhaseOne P25/P30/P45 RAW,,Phase One (company),," .tif, .tiff ",,,
PictureGear Pocket Image,,,,.prc,,,
Netpbm format,Portable Bitmap File Format,,ASCII,.pbm,image/x-portable-bitmap,,No
PCD,Kodak ImagePac Photo CD,Kodak,,.pcd,image/jpcd,,
PCF,Pixel Coordination Format,,,.pcf,image/pcf,,
PCX,ZSoft PC Paintbrush File,ZSoft Corporation,," .pcx, .pcc, .dcx ",image/x-pcx," Dated rle packed indexed image format, used in some early 3d shooting games like Unreal Tournament as it takes up very little space and is easy to decode. ",?
PDF,Portable Document Format,Adobe Systems,," .pdf, .epdf ",application/pdf,,
PDN,Paint.NET Image,dotPDN LLC,,.pdn,,Preferred and supported by Paint.NET,
Raw image format,PENTAX RAW,PENTAX,TIFF,.pef,,,
Progressive Graphics File,Progressive Graphics File,xeraina GmbH,,.pgf,," Photograph images, eventual replacement for Photograph. ",No
Netpbm format,Portable Graymap File Format,,ASCII,.pgm,image/x-portable-graymap,,No
Precision Graphics Markup Language,Precision Graphics Markup Language," Adobe Systems, Adobe Systems, Adobe Systems, Adobe Systems ",,,,,No
Photochrome,,,,.pcs,,,
Netpbm format,Portable Anymap File Format,,ASCII,.pnm,image/x-portable-anymap,,No
PTX,Pentax RAW Bitmap Graphic,Pentax,,.ptx,,,
Pi,,Yanagisawa,,.pi,,Used by some old Japanese applications.,
PIC,Yanagisawa PIC,Yanagisawa,,.pic,,Used by many old Japanese applications.,
PIC,DoGA PIC,Project Team DoGA,,.pic,,Used by DoGA CGA System.,
PICT,Macintosh PICT Format,Apple Inc.,," .pict, .pic, .pct, .pct1, .pct2 ",image/pict," Metafile for Metafile, not meant for print publishing. ",Likely expired
PICtor PIC image format,," John Bridges, Doug Wolfgram ",,.pic,,Supported by PCPaint,
PIC2,,Yanagisawa,,.p2,,Supported by some old Japanese applications.,
PLD,PhotoLine Document,Computerinsel GmbH,,.pld,application/pld,Native format of the PhotoLine image editing program.,?
PMP,,Sony,JPEG,.pmp,,Used by Sony Cyber-Shot,
Portable Network Graphics,Portable Network Graphics,World Wide Web Consortium,,.png,image/png,W3C endorsed replacement for W3C. Supported by most web browsers.,No
PostScript," page description/scripting language, levels 1–3 ",Adobe Systems,," .ps, .ps2, .ps3 ",,printing/publishing industry standard format,
Netpbm format,Portable Pixmap File Format,,ASCII,.ppm,image/x-portable-pixmap,Very easy to understand. Programs to analyze and write to this format are easily written.,No
Adobe Photoshop,Photoshop Document,Adobe Systems,," .psd, .psb, .pdb, .pdd ",image/vnd.adobe.photoshop[8],Used mainly for storing image manipulation &amp; editing data.,Yes
Corel Paint Shop Pro,Paint Shop Pro Document,Corel Corporation,," .psp, .tub, .pspimage ",image/x-psp," Supported by Paint Shop Pro, Paint Shop Pro ",?
PSX TIM,,,,.tim,,,
PSX TIM2,Sony PlayStation Tim2,Sony,," .tm2, .str ",,Used by PlayStation 2,
PXA,,,,.pxa,,Used by Pixia,
QuickTime Image,,Apple Inc.,," .qtif, .qti, .qif ",,,
Q0,,,,.q0,,,
Q4,XLD4,MAJYO,,.q4,,,
Radiance (software),,Gregory Ward Larson,,.rad,,Radiance (software),
Raw image format,Fujifilm RAW,Fujifilm,,.raf,,,
RGB,image/colourmap data in RGB format,,,.rgb,,,
RGBA," image/colourmap data in RGB format, with Alpha channel ",,,.rgba,,,
RGBE image format,,Gregory Ward Larson,,.hdr,image/vnd.radiance," Radiance (software), most HDR imaging software ",
RHIF,Rhapsoft Image Format,Romain Piveteau,SQLite,.rhif,,LiveQuarz (page does not exist) file format,
R3D,RED REDCODE RAW,RED Digital Camera Company,,.r3d,,,
SAI,,SYSTEMAX,,.sai,,Supported by SAI (software),
SCT,Scitex Continuous Tone Picture,,,.sct,,,
SDA,,Sun Microsystems,,.sda,,Supported by StarOffice Draw 3–5,
SDD,,Sun Microsystems,,.sdd,,Supported by StarOffice Draw 3–5,
SFW,Seattle File Works image,Seattle File Works,JPEG (JFIF)," .sfw, .pwp ",,JPEG-converters sfwjpg and pwpjpg for Unix/Linux and Windows,
SGB,,Sun Microsystems,,.sgb,,Supported by StarOffice Graphics 2,
Silicon Graphics Image,Silicon Graphics Image,,," .sgi, .rgb, .rgba, .bw, .int, .inta, .icon ",,,
Shockwave Director,,Adobe Systems,," .dir, .dcr, .dxr, .fgd ",application/x-director,Used by Adobe Shockwave.,
SHAPE,Dia Stencil,,SVG,.shape,,Used by Dia (software).,
SK,,,,.sk,,Supported by Skencil,
SketchUp Format,,,," .skp, .skb ",,Supported by SketchUp,
SML,Kivio stencil,,,.sml,,Supported by Kivio,
Raw image format,Sony RAW File,Sony,TIFF," .srf, .sr2 ",,,
SUN,Sun rasterfile,Sun Microsystems,," .sun, .ras, .rs, .im1, .im8, .im24, .im32 ",,Supported by GIMP,
STX,SBIG CCD camera ST-x,,," .stx, .st4, .st5, .st6, .st7, .st8, .st9 ",,,
SView5 Graphics,,Andreas Kleinert,,.svg/.sgx,,Used by SView5-Library/SDK,
Scalable Vector Graphics,Scalable Vector Graphics,World Wide Web Consortium,XML," .svg, .svgz (compressed) ",image/svg+xml," Scriptable vector image format; supported by major web browsers, occasionally via plug-in. ",No
SWF,Shockwave Flash,Adobe Systems,,.swf,application/x-shockwave-flash,Supported by many web browsers via plug-in.,
SXD,OpenOffice.org 1.0 drawing format,,,.sxd,,,
Truevision TGA,Truevision Targa,Truevision Inc.,," .tga, .tpic ",image/tga,Used by many 3D rendering applications and 3d games.,Yes?
Tagged Image File Format,Tagged Image File Format,Adobe Systems,," .tiff, .tif ",image/tiff," Document scanning and imaging format, also functions as a container. ",No
TIFF/EP,Tag Image File Format / Electronic Photography,International Organization for Standardization,Tagged Image File Format," .tiff, .tif ",,,
TIFF-FX,Tag Image File Format Fax eXtended,,Tagged Image File Format," .tiff, .tif ",image/tiff-fx,,
Tiny Stuff,,David Mumper,," .tny, .tn1, .tn2, .tn3, .tn4, .tn5, tn6 ",,An application on Atari ST,
TLG5,,,,.tlg,,Used by KiriKiri,
TLG6,,,,.tlg,,Used by KiriKiri,
Ulead PhotoImpact,Ulead File for Objects,,,.ufo,,,
Vector Markup Language,Vector Markup Language,Microsoft,XML," .htm, .html ",application/vnd. openxmlformats-officedocument. vmlDrawing," Internet Explorer, Internet Explorer ",No
Wireless Application Protocol Bitmap Format,Wireless Application Protocol Bitmap Format,Open Mobile Alliance (formerly WAP Forum),," .wbmp, .wbm, .wbp ",image/vnd.wap.wbmp,Used in Wireless Application Protocol-pages,No
WebP,WebP image format,Google,,.webp,image/webp," Provides an alternative to JPEG, PNG and GIF with superior compression ",Yes (royalty-free)
WinFax,,NortonLifeLock,," .wfx, fxs, fxo ",,,
Windows Metafile,Windows Metafile Format,Microsoft,," .wmf, .wmz ",,,
WordPerfect Graphics File,,,,.wpg,,,
XAML,Extensible Application Markup Language,Microsoft,XML,.xaml,application/xaml+xml,Used by Windows Presentation Foundation and Windows Presentation Foundation.,?
Xar (graphics),Xar,Xara,Xar (graphics),.xar,application/vnd.xara,Used by Xara Photo &amp; Graphic Designer,No
XBM," X BitMap, colour variant of original black-and-white bitmap (bmp) format ",,," .xbm, .bm, .icon, .bitmap ",image/x-xbitmap,Used by many legacy Unix applications.,
XCF (file format)," XCF, name derived from EXperimental Computing Facility ",The GIMP Team,," .xcf, .xcfbz2 (compressed), .xcfgz (compressed) ",application/x-gimp-image,Used by GIMP,
XPM (image format),X-Pixmap,,," .xpm, .pm ",image/x-xpm,Used by many legacy Unix applications.,
Raw image format,SIGMA RAW,SIGMA,,.x3f,,,
XWD,xwud X11 window dumper/undumper screenshot image,,," .xwd, .x11 ",,Used by X Window System,
XYZ,RPG Maker image file,ASCII (company),,.xyz,,RPG Maker,No
YCbCr,,,,.ycbcr,,,
YCbCrA,,,,.ycbcra,,,
YUV,,,,.yuv,,,
ZDT,,,,.zdt,,Used by TECH Win,
