#, Country, GDP (USD million)
184, IMG The Bahamas, 12664
185, IMG Madagascar, 12550
186, IMG Nicaragua, 12528
187, IMG Brunei, 12455
188, IMG Equatorial Guinea, 12142
189, IMG Moldova, 11688
190, IMG Republic of Congo, 11576
191, IMG Chad, 11026
192, IMG Rwanda, 10209
193, IMG Niger, 9443
194, IMG Somalia, 9819
195, IMG Kyrgyzstan, 8261
196, IMG Tajikistan, 8152
197, IMG Kosovo, 7996
198, IMG Malawi, 7522
199, IMG Maldives, 5786
200, IMG Fiji, 5708
201, IMG Mauritania, 5651
202, IMG Togo, 5502
203, IMG Montenegro, 5424
204, IMG Barbados, 5189
205, IMG Haiti, 4958
206, IMG Eswatini, 4657
207, IMG Sierra Leone, 4229
208, IMG Guyana, 4121
209, IMG Suriname, 3774
210, IMG South Sudan, 3681
211, IMG Burundi, 3573
212, IMG Liberia, 3222
213, IMG Djibouti, 3166
214, IMG Timor-Leste, 2938
215, IMG Aruba, 2903
216, IMG Bhutan, 2842
217, IMG Lesotho, 2741
218, IMG Central African Republic, 2321
219, IMG Eritrea, 2110
220, IMG Cape Verde, 2013
221, IMG Belize, 2001
222, IMG St. Lucia, 1992
223, IMG The Gambia, 1773
224, IMG Antigua and Barbuda, 1688
225, IMG Seychelles, 1644
226, IMG San Marino, 1591
227, IMG Solomon Islands, 1440
228, IMG Guinea-Bissau, 1397
229, IMG Grenada, 1238
230, IMG Comoros, 1179
231, IMG St. Kitts and Nevis, 1032
232, IMG Vanuatu, 951
233, IMG Samoa, 905
234, IMG St. Vincent and the Grenadines, 856
235, IMG Dominica, 593
236, IMG Tonga, 488
237, IMG São Tomé and Príncipe, 430
238, IMG Micronesia, 381
239, IMG Palau, 291
240, IMG Marshall Islands, 220
241, IMG Kiribati, 184
242, IMG Nauru, 108
243, IMG Tuvalu, 42
