Name,Language,License,Type,Configurable Titlebar buttons,Graphical configuration,Hotkey,Inter-Client Communication Conventions Manual/Inter-Client Communication Conventions Manual compliant,Panel for window switching,Tab (GUI),Themeable,Memory (MB)[1],Initial Release,Latest Stable Release
SithWM (page does not exist),C (programming language),GNU General Public License,Stacking window manager,no titlebar buttons,No,Yes,,No,No,Yes,,,
Spectrwm (page does not exist),C (programming language),ISC license,Dynamic window manager,no titlebar buttons,No,Yes,Yes,No,No,solid colors,,,
steamcompmgr,C (programming language) C (programming language),BSD License BSD License,Compositing window manager,No,No,Yes,,No,No,No,,2013,
StumpWM,Common Lisp,GNU General Public License,Tiling window manager,No,No,Yes,No,No,No,No,,,
Twm,C (programming language),MIT License,Stacking window manager,Yes,No,Yes,,Yes,No,solid colors,1.2,1987,
Window Manager From Scratch (page does not exist),C (programming language),BSD License,Tiling window manager,Yes,No,Yes,Yes,Yes,Yes,Yes,,,
Window Maker,C (programming language),GNU General Public License,Stacking window manager,No,Yes,Yes,Partial,Yes,Yes,Yes,7,1997,2017-03-11
Wingo (window manager) (page does not exist),Go (programming language),WTFPL,Dynamic window manager,Yes,No,Yes,Yes,Yes,No,Yes,,,
Wmii,C (programming language),MIT License,Dynamic window manager,Yes,No,Yes,Yes,No,Yes,Yes,,2005-06-01,
Xfce," C (programming language), C (programming language) (C (programming language)) "," GNU General Public License, GNU General Public License ",Compositing window manager,Yes,Yes,Yes,Yes,Yes,No,Yes,70,1996,2019-08-12
Xmonad,Haskell (programming language),BSD License,Dynamic window manager,Yes,No,Yes,Yes / ?,third-party,Yes,Yes,2,2007-03-06,
Ultrix Window Manager,C (programming language),Similar to BSD License license,Stacking window manager,,,,,,,,,1985,
Name,Language,License,Type,Configurable Titlebar buttons,Graphical configuration,Hotkey,Inter-Client Communication Conventions Manual/Inter-Client Communication Conventions Manual compliant,Panel for window switching,Tab (GUI),Themeable,Memory (MB),Initial release,Last Stable Release
