Vehicle,Origin,Manufacturer,Payload mass to ... (kg),,,Launches[note 5],Date of flight,
,,,Low Earth orbit,Geostationary transfer orbit,Other,,First[note 6],Latest
GSLV Mk III,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,ISRO," 10,000[53] "," 4,000 ",,3[54],2017[note 17],2019
H-IIA 202,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Mitsubishi Heavy Industries," 8,000[56]:67 "," 4,000[56]:48 "," 5,100 to SSO[note 18] [56]:64–65 ",26[57],2001,2018
H-IIA 204,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Mitsubishi Heavy Industries,," 5,950[56]:48 ",,4[57],2006,2017
H-IIB,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Mitsubishi Heavy Industries," 16,500 (ISS)ISS "," 8,000 ",,8[59],2009,2019
H3 (rocket),//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Mitsubishi Heavy Industries," 4,000[60] "," 6,500[58] "," 4,000 to SSO[61] ",0,2020[61][62],
Hyperbola-1,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,I-Space (Chinese company),300[63],,,1[64],2019[65][note 19],2019
Hyperbola-2,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,I-Space (Chinese company)," 2,000[63] ",,,0,2021[63],
Jielong 1Jielong 1,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology,,,200 (SSO),1[66],2019,2019
Kaituozhe-2,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Aerospace Science and Technology Corporation,800[67],,,1[67],2017,2017
Kuaizhou 1/1A,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,ExPace,400[68],,,8[68],2013,2019
Kuaizhou 11,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,ExPace," 1,500[69] ",," 1,000 to SSO[70] ",0,2019[71],
Kuaizhou 21,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,ExPace," 20,000[72] ",,,0,2025[70],
LauncherOne,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Virgin Orbit,500[73],,300 to SSO[74],0,2019[75],
Long March 2C,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology," 3,850 [ Wikipedia:Citation needed ] "," 1,250 with CTS2 "," 2,000 to SSO with YZ-1SYZ-1 ",57[77],1982,2019
Long March 2D,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Shanghai Academy of Spaceflight Technology," 4,000 ",," 1,150 to SSO ",44[77],1992,2019
Long March 2F,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology," 8,600 ",,,13[77],1999,2016
Long March 3A,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology," 6,000[78] "," 2,600 "," 5,000 to SSO ",27[79],1994,2018
Long March 3B/E,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology," 11,500[78] "," 5,500 "," 6,900 to SSO ",51[79],2007,2019
Long March 3C,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology," 9,100[78] "," 3,800 "," 6,500 to SSO ",17[79],2008,2019
Long March 4B,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Shanghai Academy of Spaceflight Technology," 4,200[80] "," 1,500 "," 2,800 to SSO ",34[80],1999,2019
Long March 4C,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Shanghai Academy of Spaceflight Technology," 4,200[81] "," 1,500 "," 2,800 to SSO ",26[80],2006,2019
Long March 5,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China Academy of Launch Vehicle Technology," 25,000[82] "," 14,000 "," 15,000 to SSO[83]   8,200 to TLI[84]   5,000 to TMI[84] ",2[85],2016,2017
Long March 6,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Shanghai Academy of Spaceflight Technology,,," 1,080 to SSO[86] ",3[87],2015,2019
