GXemul,Anders Gavare,Any," ARM architecture, ARM architecture, ARM architecture, PowerPC, ARM architecture ",Unix-like," NetBSD, NetBSD, NetBSD, NetBSD, NetBSD ",BSD licenses
Hercules emulator,Roger Bowler,Any,Z/Architecture," Windows, Windows, Windows, Windows, Windows "," Linux on IBM Z, Linux on IBM Z, Linux on IBM Z, Linux on IBM Z, Linux on IBM Z, Linux on IBM Z, Linux on IBM Z, Linux on IBM Z, Linux on IBM Z, Linux on IBM Z ",Q Public License
Hyper-V (2008),Microsoft,x86-64 with Intel VT-x or Intel VT-x," x86-64, x86 (up to 8 physical CPUs) "," Windows Server 2008 (Windows Server 2008) w/Hyper-V role, Microsoft Hyper-V Server "," Supported drivers for Windows 2000, Windows 2000, Windows 2000, Windows 2000, Windows 2000, Windows 2000, Windows 2000 (Windows 2000 10 released, more announced) ",Proprietary software
Hyper-V (2012),Microsoft," x86-64 with Intel VT-x or AMD-V, ARMv8[4] "," x86-64, (up to 64 physical CPUs), ARMv8 "," Windows 8, 8.1, 10, and Windows 8 (Windows 8) w/Hyper-V role, Microsoft Hyper-V Server "," Supported drivers for Windows NT, FreeBSD, Linux (Windows NT 10, Windows NT 6, Windows NT 6) ",Proprietary software. Component of various Windows editions.
ICore Virtual Accounts,ICore Networks,x86,x86,Windows XP,Windows XP,Proprietary software
Integrity (operating system),Green Hills Software," ARM, x86, PowerPC ",Same as host," Linux, Windows "," INTEGRITY native, Linux, Android (operating system), Android (operating system), Windows (on some platforms) ",Proprietary software
HP Integrity Virtual Machines,Hewlett-Packard,IA-64,IA-64,HP-UX," HP-UX, Windows, Linux (HP-UX announced) ",Proprietary software
Java PC,Oxford University,Any running the Java Virtual Machine,x86,Java Virtual Machine," DOS, Linux, Windows up to 3.0 ",Gpl version 2
Kernel-based Virtual Machine," Qumranet, now Red Hat "," x86, x86-64, IA-64, with X86 virtualization, s390, PowerPC,X86 virtualization X86 virtualization X86 virtualization ",Same as host," Linux, FreeBSD, illumos "," FreeBSD, Linux, Solaris, Windows, Plan 9 from Bell Labs ",Gpl version 2
Linux-VServer,Community project," x86, x86-64, IA-64, Alpha, PowerPC 64, PA-RISC 64, SPARC64, ARM, PA-RISC, SH/66, MIPS ",Compatible,Linux,Linux variants,Gpl version 2
LynxSecure,LynuxWorks,x86,x86,No host OS," LynxOS, Linux, Windows ",Proprietary software
LXC," Community project, Canonical Ltd. "," x86, x86-64, IA-64, PowerPC 64, SPARC64, Itanium, ARM ",Same as host,Linux,Linux variants,Gpl version 2
Open Kernel Labs," Open Kernel Labs, acquired by Open Kernel Labs "," ARM, x86, MIPS "," ARM (v5, v6, v7, v8; Paravirtualization), ARMv7VE (hardware virtualization) ",No Host OS," Various OSes and RTOSes including Linux, Android, QNX ",Proprietary software
OpenVZ," Community project, supported by SWsoft, now SWsoft "," x86, x86-64, IA-64, PowerPC 64, SPARC64 ",Same as host,Linux," same as host (shared Linux kernel), choice of userland distribution ",GNU General Public License
Oracle VM Server for x86,Oracle Corporation," x86, x86-64 "," x86, x86-64 ",No host OS," Microsoft Windows, Oracle Linux, Oracle Linux, Oracle Linux "," GPLv2, Oracle VM Server; Manager is proprietary "
OVPsim,OVP,x86," OR1K, MIPS32, ARC600/700, ARM; and public API which enables users to write custom processor models, RISC, CISC, DSP, VLIW all possible "," Microsoft Windows, Linux "," Depends on target machine, for example includes MIPS Malta that runs Linux or SMP-Linux; and includes public API which enables users to write custom peripheral and system models "," Proprietary software, Proprietary software for models "
Parallels Desktop for Mac," Parallels, Inc. ",x86," x86, x86-64 ",macOS," DOS, Windows, Linux, macOS, FreeBSD, OS/2, eComStation, Solaris, Haiku (operating system) ",Proprietary software
Parallels Workstation (discontinued 2013)," Parallels, Inc. ",x86,x86," Windows, Linux "," Windows, Linux, FreeBSD, OS/2, OS/2, DOS, Solaris, OS/2 ",Proprietary software
PearPC,Sebastian Biallas (page does not exist)," x86, x86-64, PowerPC ",PowerPC," Windows, Linux, OS X, FreeBSD, NetBSD "," Mac OS X, Darwin (operating system), Linux ",GNU General Public License
PikeOS,SYSGO AG," PowerPC, x86, ARM, MIPS, SPARC, SuperH ",Same as host," No host OS, Linux or Windows as dev. hosts "," PikeOS native, Linux, POSIX, AUTOSAR, Android, RTEMS, RTEMS, RTEMS APEX, RTEMS ",Proprietary software
Proxmox VE,Proxmox,x86-64," x86, x86-64 ",Debian Based," Windows, Linux, Linux variants, Solaris, FreeBSD, OSx86 (as FreeBSD), OSx86, Netware, OS/2, SCO, BeOS, OSx86, OSx86 ",GNU Affero General Public License
Oracle VM Server for SPARC (LDoms),Oracle Corporation," UltraSPARC T1, UltraSPARC T1, UltraSPARC T2+, UltraSPARC T1, UltraSPARC T1 ",Compatible,Solaris (operating system)," Oracle support: Solaris; unsupported: Linux, FreeBSD ",Proprietary software
PowerVM,IBM," POWER4, POWER4, POWER4, POWER4, POWER4 "," POWER4/5/6/7/8, x86 (Lx86) ",PowerVM Firmware," Linux PowerPC, x86; AIX, AIX ",Proprietary software
QEMU," Fabrice Bellard, other developers "," x86, x86-64, IA-64, PowerPC, SPARC 32/64, ARM, S/390, MIPS "," x86, x86-64, Alpha, ARM, CRIS, LM32, M68k, MicroBlaze, MIPS, OpenRisc32, PowerPC, S/390, SH4, SPARC 32/64, Unicore32, Xtensa "," Windows, Linux, macOS, Solaris, FreeBSD, OpenBSD, BeOS ",Changes regularly[7],GNU General Public License/GNU General Public License
QEMU w/ Kqemu module,Fabrice Bellard," x86, x86-64 ",Same as host," Linux, FreeBSD, OpenBSD, Solaris, Windows ",Changes regularly[7],GNU General Public License/GNU General Public License
QEMU w/ Qvm86 module,Paul Brook,x86,x86," Linux, NetBSD, Windows ",Changes regularly,GNU General Public License
QuickTransit,Transitive Corp.," x86, x86-64, IA-64, POWER "," MIPS, PowerPC, SPARC, x86 "," Linux, OS X, Solaris "," Linux, OS X, Irix, Solaris ",Proprietary software
Real-Time Systems (company) Hypervisor,Real-Time Systems (company)," x86, x86-64 "," x86, x86-64 ",No host OS," Windows, Linux, Windows Embedded, QNX, RTOS-32, VxWorks, OS-9, T-Kernel ",Proprietary software
ScaleMP vSMP Foundation,ScaleMP," x86, x86-64 ",Same as host,No host OS,Linux,Proprietary software
SIMH," Bob Supnik, The Computer History Simulation Project "," Alpha, ARM, HPPA, x86, IA-64, x86-64, M68K, MIPS, MIPSel, POWER, s390, SPARC "," Data General Data General, Data General; Data General Data General, Data General, Data General, Data General, Data General, Data General, PDP-11, Data General, VAX; GRI Corporation GRI-909; Data General Data General, Data General, Data General, Data General, Data General; Data General (Data General) 16b/Data General systems; Hewlett-Packard 2114, 2115, 2116, 2100, 21MX; Data General H316/H516; Data General Data General with Data General and Data General; Data General Data General, LGP-21; Data General Data General "," BSD, Linux, Solaris, VMS, Windows "," Depends on target machine, includes NetBSD/VAX, OpenBSD/VAX, OpenVMS, OpenVMS, OpenVMS, OpenVMS, OpenVMS, OpenVMS "," BSD-like, unique "
Simics,Wind River Systems," x86, x86-64 "," 8051, 68000, ARM (v4, v5, v6, v7), MIPS32, MIPS64, Cavium cnMIPS, Broadcom XLR MIPS, Freescale (e300, e500, e600, e5500, e6500), IBM (POWER, PPC44x, PPC46x, 47x), SPARC v8 (LEON), SPARC v9 (UltraSparc), x86 (from 80286 to Sandy Bridge), x86-64 (from Pentium4 to Sandy Bridge), TI Texas Instruments TMS320, Renesas H8, Renesas SH "," Windows 32-bit and 64-bit, Linux 32-bit and 64-bit "," Depends on target machine, typically runs unmodified software stacks from the corresponding real target, including VxWorks, VxWorks 653, VxWorks, QNX, Linux, Solaris, Windows, FreeBSD, VxWorks, VxWorks, Wind River Hypervisor, VMware ESX, and others ",Proprietary software
Sun xVM Server,Sun Microsystems," x86-64, SPARC ",Same as host,No host OS," Windows XP, 2003 Server (x86-64 only), Linux, Solaris ",Gpl version 3
SVISTA 2004,Serenity Systems International (page does not exist),x86,x86," Windows, OS/2, Linux "," Windows, Linux, OS/2, BSD ",Proprietary software
Trango Virtual Processors," TRANGO Virtual Processors, Grenoble, France "," ARM, XScale, MIPS, PowerPC "," Paravirtualization ARM, MIPS, PowerPC "," No host OS, Linux or Windows as dev. hosts "," Linux, ECos, ECos, ECos, ECos, VxWorks ",Proprietary software
User Mode Linux," Jeff Dike (page does not exist), other developers "," x86, x86-64, PowerPC ",Same as host,Linux,Linux,Gpl version 2
VirtualBox," Innotek, acquired by Oracle Corporation "," x86, x86-64 "," x86, x86-64 (with Intel VT-x or AMD-V, and VirtualBox 2 or later) "," Windows, Linux, macOS, Solaris, FreeBSD, eComStation "," DOS, Linux, macOS,Haiku (operating system) FreeBSD, Haiku (operating system), OS/2, Solaris, Syllable, Windows, and OpenBSD (with Intel VT-x or AMD-V, due to otherwise tolerated incompatibilities in the emulated memory management).Haiku (operating system) ",GPL version 2; full version with extra enterprise features is proprietary:
Virtual Iron 3.1," Virtual Iron Software, Inc., acquired by Oracle "," x86 VT-x, x86-64 AMD-V "," x86, x86-64 ",No host OS," Windows, Linux "," Proprietary software, some components GPLv2Proprietary software "
Microsoft Virtual PC 2007 (discontinued),Connectix and Connectix," x86, x86-64 ",x86," Windows Vista (Business, Enterprise, Ultimate), XP Pro, XP Tablet PC Edition "," DOS, Windows, OS/2, Linux (SUSE, Xubuntu), OpenSolaris (Belenix) ",Proprietary software
Windows Virtual PC (discontinued),Connectix and Microsoft," x86, x86-64 with Intel VT-x or AMD-V ",x86,Windows 7," Windows XP, Windows Vista, Windows 7, Windows Server 2003, Windows Server 2008 ",Proprietary software
Microsoft Virtual PC 7 for Mac,Connectix and Microsoft,PowerPC,x86,Mac OS X," Windows, OS/2, Linux ",Proprietary software
VirtualLogix VLX,VirtualLogix," ARM, TI DSP C6000, x86, PowerPC ",Same as host,No host OS," Linux, Windows XP, C5, VxWorks, Nucleus, VxWorks, proprietary ",Proprietary software
Microsoft Virtual Server 2005 R2,Connectix and Microsoft," x86, x86-64 "," x86, x86-64 "," Windows Server 2003, 2008, XP (Requires IIS) "," Windows NT, 2000, 2003, 2008, Linux (Red Hat, SUSE, Ubuntu) ",Proprietary software
CoWare CoWare,CoWare," x86, x86-64, SPARC v9 "," Devices including (multi) cores from ARM, MIPS, PowerPC, Toshiba Toshiba, Toshiba SH, Toshiba, Toshiba, Toshiba "," Windows, Linux, Solaris "," Depends on guest CPU; includes: Linux (various flavors), Linux (various flavors), Windows CE, Linux, more ",Proprietary software
Virtuozzo," SWsoft, now SWsoft "," x86, IA-64, x86-64 ",same as host,Linux,save as host (shared Linux kernel),Proprietary software
Vkernel,Matthew Dillon / Matthew Dillon,x86-64,same as host,DragonFly BSD,any compatible vkernel binary of DragonFly,BSD licence
VMM,OpenBSD," x86, x86-64 ",same as host,OpenBSD,OpenBSD and Linux guests,BSD licenses
VMware ESX Server,VMware," x86, x86-64 "," x86, x86-64 ",No host OS," Windows, Linux, Solaris, FreeBSD, OSx86 (as FreeBSD), OSx86, Netware, OS/2, SCO, BeOS, OSx86, OSx86, others: runs arbitrary OSOSx86 ",Proprietary software
VMware ESXi,VMware," x86, x86-64 "," x86, x86-64 ",No host OS,Same as VMware ESX Server,Proprietary software
VMware Fusion,VMware," x86, x86-64 "," x86, x86-64 ",macOS,Same as VMware ESX Server,Proprietary software
VMware Server,VMware," x86, x86-64 "," x86, x86-64 "," Windows, Linux ",Same as VMware ESX Server,Proprietary software
VMware Workstation,VMware,x86-64[b]," x86, x86-64 "," Windows, Linux ",Same as VMware ESX Server,Proprietary software
" VMware Player, later VMware Workstation Player ",VMware,x86-64[c]," x86, x86-64 "," Windows, Linux ",Same as VMware ESX Server," Proprietary software, free for personal non-commercial useProprietary softwareProprietary software "
Wind River Systems Hypervisor,Wind River," x86, x86-64, PowerPC, ARM ",Same as host,No host OS," Linux, VxWorks, unmodified guests (including MS Windows and RTOSes such ach OSE, QNX and others), bare metal virtual board ",Proprietary software
Xen," Xensource, Now Xensource "," x86, x86-64, ARM, IA-64 (inactive), PowerPC (inactive) ",Same as host," GNU/Linux, Unix-like "," GNU/Linux, FreeBSD, MiniOS, NetBSD, Solaris, Windows 7/XP/Vista/Server 2008 (requires Intel VT-x (Vanderpool) or AMD-V (Pacifica)-capable CPU), Plan 9 from Bell Labs ",GNU GPLv2 +
XCP-ng,By Vates SAS," x86, x86-64, ARM, IA-64 (inactive), PowerPC (inactive) ",Same as host,No host OS," GNU/Linux, FreeBSD, MiniOS, NetBSD, Solaris, Windows, Windows Server 2008 (with Intel VT-x or AMD-V), Plan 9 from Bell Labs ",GNU GPLv2 +GNU GPLv2
XenServer,By Citrix Systems," x86, x86-64, ARM, IA-64 (inactive), PowerPC (inactive) ",Same as host,No host OS," GNU/Linux, FreeBSD, MiniOS, NetBSD, Solaris, Windows 7/XP/Vista/Server 2008 (with Intel VT-x or AMD-V), Plan 9 from Bell Labs ",GNU GPLv2 +
XtratuM,fentISS," SPARC v8 LEON2/3/4, ARM v7 ",Same as host,No host OS," GPOS: Linux, RTOS: LithOS, RTEMS "," Proprietary software, Proprietary software depending on versions "
Z/VM,IBM,z/Architecture," z/Architecture, z/VM does not run on predecessor mainframes "," No host OS, itself (single or multiple levels/versions deep; e.g., VM/ESA running in z/VM 4.4 in z/VM 5.2 in z/VM 5.1.) "," Linux on IBM Z, Linux on IBM Z, Linux on IBM Z, Linux on IBM Z, z/VM, Linux on IBM Z, Linux on IBM Z, Linux on IBM Z, predecessors ",Proprietary software
z LPAR,IBM,z/Architecture,z/Architecture,Integrated in firmware of System z mainframes," Linux on IBM Z, z/OS, z/VSE, z/TPF, z/VM, MUSIC/SP, and predecessors ",Proprietary software
Name,Creator,Host CPU,Guest CPU,Host OS(s),Guest OS(s),License
