Rank, Country and (Argentine provinces), Intl. $
60, IMG Saint Kitts and Nevis, 13826
—, Mendoza, 13795
—, Córdoba, 13708
—, La Pampa, 13658
61, IMG Turkey, 13139
—, Jujuy, 13089
62, IMG Lebanon, 13006
63, IMG Venezuela, 12806
64, IMG Uruguay, 12785
65, IMG Romania, 12600
—, Salta, 12594
—, Santiago del Estero, 12532
—, Entre Ríos, 12420
66, IMG Bulgaria, 12322
67, IMG Belarus, 12313
—, Corrientes, 12148
—, Misiones, 12099
68, IMG Mauritius, 12011
—, Formosa, 11616
—, Chaco, 11516
69, IMG Grenada, 11464
70, IMG Kazakhstan, 11434
71, IMG Panama, 11362
72, IMG Montenegro, 11111
73, IMG Iran, 11052
74, IMG Serbia, 10810
75, IMG Saint Lucia, 10750
76, IMG Costa Rica, 10735
—, Tucuman, 10811
77, IMG Brazil, 10466
—, World[2], 10433
—, La Rioja, 10414
78, IMG Saint Vincent and the Grenadines, 10163
79, IMG South Africa, 10136
80, IMG Dominica, 10133
81, IMG Macedonia, 9164
82, IMG Jamaica, 8967
83, IMG Azerbaijan, 8634
84, IMG Dominican Republic, 8619
85, IMG Peru, 8594
86, IMG Thailand, 8239
87, IMG Colombia, 8229
88, IMG Suriname, 8188
89, IMG Tunisia, 8002
90, IMG Belize, 7954
91, IMG Ecuador, 7786
92, IMG Bosnia and Herzegovina, 7624
93, IMG El Salvador, 7564
94, IMG Ukraine, 7342
95, IMG Albania, 6897
96, IMG Algeria, 6709
97, IMG Namibia, 6612
98, IMG Angola, 6252
99, IMG Kiribati, 6122
100, IMG China People's Republic of, 5970
101, IMG Egypt, 5897
102, IMG Armenia, 5792
103, IMG Turkmenistan, 5757
104, IMG Swaziland, 5749
105, IMG Samoa, 5674
106, IMG Jordan, 5537
107, IMG Tonga, 5382
108, IMG Bhutan, 5312
109, IMG Maldives, 4967
110, IMG Guatemala, 4907
111, IMG Georgia, 4869
112, IMG Paraguay, 4786
113, IMG Syria, 4757
114, IMG Sri Lanka, 4589
115, IMG Morocco, 4362
116, IMG Bolivia, 4345
117, IMG Honduras, 4275
118, IMG Vanuatu, 4251
119, IMG Fiji, 4196
120, IMG Guyana, 4029
121, IMG Indonesia, 3980
122, IMG Republic of the Congo, 3919
123, IMG Mongolia, 3547
124, IMG Philippines, 3515
125, IMG Iraq, 3477
126, IMG Cape Verde, 3472
127, IMG Moldova, 2984
128, IMG Solomon Islands, 2917
129, IMG Vietnam, 2794
130, IMG India, 2780
131, IMG Nicaragua, 2698
132, IMG Uzbekistan, 2634
133, IMG Pakistan, 2624
134, IMG Yemen, 2411
135, IMG Djibouti, 2396
136, IMG Timor-Leste, 2368
137, IMG Sudan, 2309
138, IMG Kyrgyzstan, 2185
139, IMG Nigeria, 2162
140, IMG Cameroon, 2139
141, IMG Laos, 2127
142, IMG Papua New Guinea, 2108
143, IMG Cambodia, 2082
144, IMG Mauritania, 2055
145, IMG Tajikistan, 2023
146, IMG São Tomé and Príncipe, 1752
147, IMG Senegal, 1739
148, IMG Kenya, 1712
149, IMG Chad, 1663
150, IMG Côte d'Ivoire, 1643
151, IMG Benin, 1608
152, IMG Ghana, 1518
153, IMG Zambia, 1482
154, IMG Bangladesh, 1399
155, IMG The Gambia, 1395
156, IMG Tanzania, 1353
157, IMG Haiti, 1317
158, IMG Lesotho, 1305
159, IMG Burkina Faso, 1268
160, IMG Comoros, 1157
161, IMG Burma, 1156
162, IMG Uganda, 1147
163, IMG Nepal, 1144
164, IMG Mali, 1129
165, IMG Rwanda, 1043
166, IMG Guinea, 1014
167, IMG Madagascar, 996
168, IMG Mozambique, 903
169, IMG Ethiopia, 898
170, IMG Malawi, 836
171, IMG Togo, 812
172, IMG Afghanistan, 760
173, IMG Eritrea, 748
174, IMG Central African Republic, 740
175, IMG Niger, 740
176, IMG Sierra Leone, 725
177, IMG Guinea-Bissau, 486
178, IMG Burundi, 390
179, IMG Liberia, 373
180, IMG Democratic Republic of the Congo, 330
181, IMG Zimbabwe, 268
