Provider,Win.1,Linux1,Mac1,Android1,iOS1,Encrypted storage,Zero knowledge2,Secure Key Management3[1],Limited Megabyte planMegabyte,Unlimited Megabyte planMegabyte,$/Megabyte planMegabyte,Unlimited Bandwidth (computing) Bandwidth (computing),Provider,Cloud hosted Net Drive5,File synchronizationFile synchronization,Autodetect changes12,Public file hosting8,physical media restore9,Server location(s)10,Free online storage (non-trial)13,Maximum per-file size,External hard drive support14,Hybrid Option15,Green hosting,Software as a service
Dropbox (service),Yes,Does not work on filesystems other than ext4,Yes,Yes,Yes,Yes,No[27],?,,,Yes,,Dropbox (service),No,Yes,Yes,Yes,,,2 GB,No Limit[28],,,,No
Dropmysite,Yes,Yes,Yes,,,Yes,No,?,Yes,No,No,Yes,Dropmysite,,Yes,Yes,Yes,,Global,2 GB,No limit,,?,,
Egnyte,Yes,Yes,Yes,,,Optional[29],Optional[29],?,,,,,Egnyte,Yes[30],Yes,Yes,Yes,,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,No,No limit,,?,,
ElephantDrive,Yes,Yes[31],Yes,Yes[32],,Yes,Optional (off by default) [33],?,Yes,No,,,ElephantDrive,Yes[34],Yes[35],Yes,Yes[36],,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,2 GB,,Yes,?," No, Amazon AWS[37][38] ",
Google Drive,Yes," No, no provider-sanctioned Linux support.[39][40][41] ",Yes,Yes,Yes,Yes,No,?,,Yes (Enterprise Only) [42],Yes,Yes,Google Drive,No,Yes,Yes,Yes,," //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, Worldwide ",15 GB,5 TB[43],,,Partial: 34%[44],No
IASO Backup,Yes,Yes,Yes,,Yes[45],Yes[45],Yes,?,Yes,No,Yes,,IASO Backup,No,No,No,Yes,," //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, Worldwide ",No,No limit,Yes,Yes,,
ICloud,Yes," Yes, via Storage Made Easy client ",Yes," Yes, via Storage Made Easy client ",Yes,Yes,No,?,No,No,Yes,,ICloud,?,Yes,?,?,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China for mainland China accounts; China unknown for others,1 GB (everyone) [47] 5 GB (Apple users only) [48],,,," Yes, 94%[37] ",No
IDrive Inc.,Yes," Yes, but you have to manually run perl scripts.[49] ",Yes,Yes,Yes,Yes[50],No,,No,No,Yes[51],,IDrive Inc.,,Yes,Yes,Yes,Yes,unknown,5 GB,,Yes,,,
Infrascale,Yes,Yes,Yes,Yes,Yes,Yes,Optional,Optional,Yes,Yes,No,Yes,Infrascale,No,Yes,Yes,Yes,Yes," //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States ",No,No limit,Yes,Optional,,
Iperius Backup,Yes,No,No,,,Yes[52],Optional[52],?," 50, 100, 200, 500 GB ",No,No,Yes,Iperius Backup,,Yes,Yes,No,Iperius Backup,,,No limit,,,,
Intronis,Yes,No,Yes,Yes,Yes,Yes,Yes,configurable,Yes,No[53],Yes,Yes,Intronis,Yes,Yes[54],Yes,No,Yes[55]," //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States ",No,No limit,Yes,Optional,Yes,
Jumpshare,Yes,No,Yes,No,Yes,Yes[56],,,Yes,No,No,Yes[57],Jumpshare,,Yes,Yes,Yes,No," //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States ",2 GB," 250 MB on free, Unlimited on Jumpshare Plus ",,,Yes,
Jungle Disk,Yes,Yes,Yes,Yes,Yes,Yes[58],Yes[58],Yes,,,Yes,Yes,Jungle Disk,Yes[59],Yes,Yes,Yes,," //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States ",No,No limit in Backup Vault,Yes,," Partial, Amazon AWS[37][60] or Rackspace Cloud Files. ",
KeepVault,Yes,No,No,,,Yes[61],Yes[62],?,Yes,No,Yes,,KeepVault,,,Yes,,,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,,20 GB,,,,
Livedrive,Yes,No,Yes,Yes,Yes,No,No,?,Yes,Online Backup only,No,Yes,Livedrive,Yes (paid-only)[63],Yes,Yes,Yes,Yes,//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png United Kingdom,No,No limit,Yes,,,
MediaFire,Yes,Upload only [1],Yes,Yes,Yes,No,No,?,Yes,No,Yes,Yes,MediaFire,No,Yes,Yes,Yes,,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,10 GB,No Limit,No,No,,
Mega (service),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[64],Yes,No,Yes,Yes,Mega (service),No,Yes," Yes, using MEGAsync client ",Yes,No," //upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe, //upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe ",15 GB + 35 GB first 30 days,No limit,No,No,,
MiMedia,Yes,No,No,,,Yes[65],No,?,Yes,No,Yes,Yes,MiMedia,No[66],No,Yes,No,No,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,7 GB,3 GB,Yes,,,
OneDrive,Yes," No, see note[67] ",Yes,Yes[68],Yes,Yes[69],No,?,Yes,No,,,OneDrive,No,Yes,,,,," 5 GB for new users, 25 GB for older users ",100 GB [70],,," Partial, 29%[37] ",No
SpiderOak,Yes,Yes,Yes,Download Only,Download Only,Yes[71],Yes[72],?,Yes,Business only (min 10 users),Yes,Yes,SpiderOak,No[73],Yes,Yes,Yes,,,(2 GB free for 60 days only),No limit,Yes,Yes[74],,No
SugarSync,Yes,No,Yes,Yes,Yes,Yes[75],No[76],?,Yes,No,No,,SugarSync,,Yes,Yes,Yes (SugarSync account needed for folders),,,No,100 MB (web) No limit (client app)[77],,,,
Syncplicity,Yes,No,Yes,Yes,Yes,Yes[78],No[78],?,,,Yes,,Syncplicity,,Yes,Yes,Yes,,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,10 GB,,,,,
Tarsnap,Yes via Cygwin,Yes,Yes,No,No,Yes,Yes[79],?,No,No,Yes,,Tarsnap,No,,,,,,No,,,," No, Amazon AWS[37][80] ",No
Humyo,Yes,Partial,Yes," Yes, via Storage Made Easy client "," Yes, via Storage Made Easy client ",,No,?,,,Yes,,Humyo,Yes[ Wikipedia:Citation needed ],Yes,,Yes,,//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png United Kingdom,,,,,,
Tresorit,Yes,Yes[81],Yes,Yes,Yes,Yes,Yes,Yes[82],Yes,No,Yes,Yes,Tresorit,Yes[83],Yes,Yes,Yes,No," //upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/23px-Flag_of_Ireland.svg.png Republic of Ireland, //upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/23px-Flag_of_Ireland.svg.png Republic of IrelandRepublic of Ireland ",3 GB[85]," 0.5 GB (free), 10 GB (paid)[86] ",Yes,No,,
Unitrends,Yes,Yes,Yes,,,Yes[87],No,?,No,Yes,Yes,,Unitrends,Yes[ Wikipedia:Citation needed ],Yes,,No,Yes,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,No,,,,,
UpdateStar,Yes,No,No,,,Yes[88],No[89],?,Yes[90],Yes,,,UpdateStar,,,,,,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,,,,,,
Yandex Disk,Yes,Yes[91],Yes,Yes,Yes,No[92],No,?,Yes,,,,Yandex Disk,Yes[93],Yes,Yes,Yes,,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,10 GB,50 GB,,,,
Zetta.net,Yes[94],Yes,Yes,,,Yes,No,?,Yes,No,Yes[95],Yes,Zetta.net,Yes[96],Yes,Yes,No,Yes,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United StatesUnited States,No,No limit,Yes,Yes,,
Zmanda Cloud Backup,Yes,No,No,,,Optional[98],Optional[98],?,,,Yes,,Zmanda Cloud Backup,Yes[ Wikipedia:Citation needed ],,,,Yes," //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States ",,No limit,Yes,Yes," Partial, Amazon AWS or Google Cloud Storage[37][99] "
