,Maintainer,First public release date,Latest stable version,Latest release date,License,Public issues list
NexusDB,NexusDB Pty Ltd,2003,4.00.14,2015-06-25,Proprietary software,No
Nonstop sql,Hewlett-Packard,1987,SQL/MX 3.4,,Proprietary software,No
NuoDB,NuoDB,2013,3.0.1,,Proprietary software,No
Omnis,TigerLogic Inc,1982-07,6.1.3 Release 1no,2015-12,Proprietary software,No
OpenBase,OpenBase International,1991,11.0.0,,Proprietary software,No
OpenEdge Database,Progress Software Corporation,1984,11.6.3,2016-08-19,Proprietary software,No
Virtuoso Universal Server,OpenLink Software,1998,7.2.5.1,2018-08-15,GNU General Public License v2 or GNU General Public License,Yes[23]
Oracle Database,Oracle Corporation,1979-11,18.1.0.0,2018-07-23[24],Proprietary software,No
Oracle Rdb,Oracle Corporation,1984,7.3.3.1.0,2019-03-21[25],Proprietary software,No
Paradox (database),Corel Corporation,1985,11,2009-09-07,Proprietary software,No
Percona Server for MySQL,Percona,2006,8.0.18-9[26],2019-12-11,GNU General Public License v2,Yes
Pervasive PSQL,Pervasive Software,1982,v12,2015,Proprietary software,No
Polyhedra DBMS,ENEA AB,1993,9.0,2015-06-24," Proprietary software, with Polyhedra Lite available as Proprietary softwareProprietary software ",No
PostgreSQL,PostgreSQL Global Development Group,1989-06,12.1,2019-11-14[28],PostgreSQL Licence (a liberal Open Source license)[29],No[30]
R:Base,R:BASE Technologies,1982,10.0,2016-05-26,Proprietary software,No
Raima Database Manager,Raima Inc.,1984,14.1,2018-03-23,Proprietary software,No
RDM Server,Raima Inc.,1993,8.4,2012-10-31,Proprietary software,No
SAP HANA,SAP AG,2010,2.0 SPS04,2019-08-08,Proprietary software,No
SolidDB,UNICOM Global,1992,7.0.0.10,2014-04-29,Proprietary software,No
SQL Anywhere,SAP AG,1992,17.0.0.48,2019-07-26,Proprietary software,No
SQLBase,Unify Corp.,1982,11.5,2008-11,Proprietary software,No
SQLite,D. Richard Hipp,2000-09-12,3.30.1,2019-10-11[31],Public domain,Yes[32]
SQream DB,SQream Technologies,2014,2.1[33],2018-01-15,Proprietary software,No
Superbase database,Superbase database,1984,Scientific (2004),,Proprietary software,No
Teradata,Teradata,1984,15,2014-04,Proprietary software,No
Tibero,TmaxSoft,1992,6,2015-04,Proprietary software,No
TiDB,Apache Software Foundation,2016,3.0.0,2019-06-28[34],Apache license,Yes[35]
UniData,Rocket Software,1988,8.2.1,2017-07,Proprietary software,No
